Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
9182,Fashion Design,Fashion Forecasting,29hrs 18min,"Fashion Buyer and What is a Trend Forecaster | S1, E4 | Future of Fashion | British Vogue",https://www.youtube.com/watch?v=CQcOmHphL-4,Module 1: Introduction to Fashion Forecasting,1
9183,Fashion Design,Fashion Forecasting,,How companies predict fashion trends and kill individuality | Mahir Can Işik | TED Institute,https://www.youtube.com/watch?v=xlgnWJx9oxc,Module 1: What is Trend Forecasting?,1
9184,Fashion Design,Fashion Forecasting,,As a Fashion Design Student | All about Trend Forecasting,https://www.youtube.com/watch?v=Ig80s7haF_s,Module 1: How Companies Predict Fashion Trends,1
9185,Fashion Design,Fashion Forecasting,,Trend Forecasting with WGSN,https://www.youtube.com/watch?v=9IouItawTOE,Module 1:  The Future of Fashion ,1
9186,Fashion Design,Fashion Forecasting,,5 Big Trends For Spring/Summer 2019,https://www.youtube.com/watch?v=BigYSIm86zs,Module 2: Trend Forecasting for Fashion Designers,2
9187,Fashion Design,Fashion Forecasting,,How to Forecast Fashion Trends for your Brand in 2019,https://www.youtube.com/watch?v=gyRRNvNXZyg,Module 2: Trend Forecasting with WGSN,2
9188,Fashion Design,Fashion Forecasting,,Fashion Trend Forecasting,https://www.youtube.com/watch?v=Rnf0ZjJMUsw,Module 2: 5 Big Trends For Spring/Summer 2019,2
9189,Fashion Design,Fashion Forecasting,,"Feminism In Fashion with Alexa Chung | S1, E5 | The Future Of Fashion | British Vogue",https://www.youtube.com/watch?v=_443sz0XP6E,Module 2: How to Forecast Fashion Trends for your Brand,2
9190,Fashion Design,Fashion Forecasting,,WWD Studios Presents: Trend Forecasting with Trendera,https://www.youtube.com/watch?v=_9Npa2xudzo,Module 3: Fashion Trend Forecasting Techniques,3
9191,Fashion Design,Fashion Forecasting,,"What Type of Forecasting Does a Fashion Company Use? : Marketing, Branding, & Work Life",https://www.youtube.com/watch?v=S9PuTgkVCaE,Module 3: Fashion Forecasting with Excel,3
9192,Fashion Design,Fashion Forecasting,,SPRING SUMMER 2019 FASHION TRENDS & COLOURS,https://www.youtube.com/watch?v=FgL2II5DnL8,Module 3: Linear Trend Forecasting,3
9193,Fashion Design,Fashion Forecasting,,SPRING SUMMER 2020 FASHION TRENDS & COLOURS,https://www.youtube.com/watch?v=o1jAcSrx8kI,"Module 3: Forecasting: Exponential Smoothing, MSE",3
9194,Fashion Design,Fashion Forecasting,,Lecture about Fashion Trend Forecasting,https://www.youtube.com/watch?v=RBYnFOAXgLA,Module 4: Spring/Summer Fashion Trends & Colors,4
9195,Fashion Design,Fashion Forecasting,,AMM 101 Fashion Forecasting Explanation,https://www.youtube.com/watch?v=mwBiWmuScHk,Module 4: SPRING SUMMER 2019 FASHION TRENDS & COLOURS,4
9196,Fashion Design,Fashion Forecasting,,Color Trends Fall/Winter 2018-2019,https://www.youtube.com/watch?v=S4a7g6m5F_o,Module 4: SPRING SUMMER 2020 FASHION TRENDS & COLOURS,4
9197,Fashion Design,Fashion Forecasting,,Introduction to Fashion Forecasting,https://www.youtube.com/watch?v=ChJyFbscLHs,Module 4: Color Trends Fall/Winter 2018-2019,4
9198,Fashion Design,Fashion Forecasting,,"Forecasting: Exponential Smoothing, MSE",https://www.youtube.com/watch?v=k_HN0wOKDd0,Module 5: Fashion Forecasting in Action,5
9199,Fashion Design,Fashion Forecasting,,5 MUST HAVE APPS FOR FASHION DESIGNERS!,https://www.youtube.com/watch?v=c5_bvbt4duU,Module 5: AMM 101 Fashion Forecasting Explanation,5
9200,Fashion Design,Fashion Forecasting,,10 FASHION TRENDS FOR 2019 // Fashion Mumblr,https://www.youtube.com/watch?v=HYIsRJWpXBA,"Module 5: SPECIAL FEATURE: ""I.M International"" and The Birth of Fashion Forecasting",5
9201,Fashion Design,Fashion Forecasting,,Using Excel to Do Trend Forecasting,https://www.youtube.com/watch?v=DH_Pa7rUjkU,Module 5: Case Study: Feminism In Fashion with Alexa Chung,5
9202,Fashion Design,Fashion Forecasting,,Linear Trend Forecasting,https://www.youtube.com/watch?v=kAdPvMPaMRo,Module 6: The Fashion Cycle and Adoption,6
9203,Fashion Design,Fashion Forecasting,,Operations Management using Excel: Seasonality and Trend Forecasting,https://www.youtube.com/watch?v=RoKGvvMJAME,Module 6:  Fashion Trends & Fashion Cycle,6
9204,Fashion Design,Fashion Forecasting,,"SPECIAL FEATURE: ""I.M International"" and The Birth of Fashion Forecasting",https://www.youtube.com/watch?v=t3X2TAUnqpw,Module 6: Fashion Forecasting & Fashion Adoption,6
