Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
9540,Fashion Design,Retail Management,26hrs 19min,Retail Management | Introduction to Retail | Tutorialspoint,https://www.youtube.com/watch?v=5iRDd-f1nmg,Module 1: Introduction to Retail Management,1
9541,Fashion Design,Retail Management,,Retail Management | Traditional and Modern Retail | Tutorialspoint,https://www.youtube.com/watch?v=O6k6KoW7ejM,Module 1: Traditional & Modern Retail,1
9542,Fashion Design,Retail Management,,Retail Management | Operating a Retail Store | Tutorialspoint,https://www.youtube.com/watch?v=gv80nU-9fEU,Module 1: Operating a Retail Store,1
9543,Fashion Design,Retail Management,,Retail Management | Modern Retail Operations | Tutorialspoint,https://www.youtube.com/watch?v=Yi4PvkH6DnA,Module 1: Modern Retail Operations,1
9544,Fashion Design,Retail Management,,Retail Management | Retail Maths | Tutorialspoint,https://www.youtube.com/watch?v=7UGsIc9cKDE,Module 2: Retail Maths & Store Operations,2
9545,Fashion Design,Retail Management,,Retail Management | Store Operations | Tutorialspoint,https://www.youtube.com/watch?v=P1v755q359M,Module 2: Category & Visual Merchandising,2
9546,Fashion Design,Retail Management,,Retail Management | Category Management | Tutorialspoint,https://www.youtube.com/watch?v=FNY-Gg8MJ-M,Module 2: Merchandising & the Retail Marketing Process,2
9547,Fashion Design,Retail Management,,Retail Management | Merchandising | Tutorialspoint,https://www.youtube.com/watch?v=uSw4hS979ZA,Module 3: Types & Techniques of Selling,3
9548,Fashion Design,Retail Management,,Retail Management | Visual Merchandising | Tutorialspoint,https://www.youtube.com/watch?v=em7dqAHhgRY,Module 3: Retail Selling Skills & Cashiering,3
9549,Fashion Design,Retail Management,,Retail Management | Retail Marketing Process | Tutorialspoint,https://www.youtube.com/watch?v=ePIlAsNHNYA,Module 3: The 7P's of Retail,3
9550,Fashion Design,Retail Management,,Retail Management | Types of Selling | 3 Biggest Selling Mistakes | Tutorialspoint,https://www.youtube.com/watch?v=Ka6ucSeWZOI,Module 4: Retail Supply Chain & Loss Prevention,4
9551,Fashion Design,Retail Management,,Retail Management | Retail Selling Skills | 7 Step Process | Tutorialspoint,https://www.youtube.com/watch?v=Tbe2fVljJ8Y,Module 4: Back Store Operations & Health & Safety,4
9552,Fashion Design,Retail Management,,Retail Management | Cashiering | Tutorialspoint,https://www.youtube.com/watch?v=4ZNvk5ZUrHs,Module 4: Customer Complaint Handling & Service,4
9553,Fashion Design,Retail Management,,Retail Management | 7P’s of Retail | Tutorialspoint,https://www.youtube.com/watch?v=5OX6IeFJ3fI,Module 5: Case Study 1: Analyzing Retail Success,5
9554,Fashion Design,Retail Management,,Retail Management | Retail Supply Chain | Tutorialspoint,https://www.youtube.com/watch?v=J0CyJ2IKoZM,Module 5: Case Study 2: Challenges in E-commerce,5
9555,Fashion Design,Retail Management,,Retail Management | Loss Prevention | Tutorialspoint,https://www.youtube.com/watch?v=n_FQBwzcH0k,Module 5: Case Study 3: Global Retail Trends,5
9556,Fashion Design,Retail Management,,Retail Management | Back Store Operations in Retail | Tutorialspoint,https://www.youtube.com/watch?v=X0O9hpXFY1w,Module 6: Retail Technology & Innovation,6
9557,Fashion Design,Retail Management,,Retail Management | Health & Safety | Tutorialspoint,https://www.youtube.com/watch?v=yPZx5Ieuco4,Module 6: Future of Retail & Sustainability,6
9558,Fashion Design,Retail Management,,Retail Management | Customer Complaint Handling Process | TutorialsPoint,https://www.youtube.com/watch?v=PY5oxW7hkZ0,Module 6: Career Paths in Retail,6
9559,Fashion Design,Retail Management,,Retail Management | Customer Service | Tutorialspoint,https://www.youtube.com/watch?v=Zt-wt5aziNw,Module 6: Building a Successful Retail Career,6
