Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
9651,Finance,Portfolio Management CFA,12hrs 0min,Portfolio Approach to Investing - Portfolio Management,https://www.youtube.com/watch?v=uLIzhtBeDYc,Module 1: Introduction to Portfolio Management
9652,Finance,Portfolio Management CFA,,Steps in Portfolio Management Process - Portfolio Management,https://www.youtube.com/watch?v=eX2I7tFra0U,Module 2: Portfolio Risk and Return: Part One
9653,Finance,Portfolio Management CFA,,Types of Investors and Their Characteristics - Portfolio Management,https://www.youtube.com/watch?v=_6lYkyRjzS0,Module 3: Portfolio Planning and Construction
9654,Finance,Portfolio Management CFA,,Defined Benefit vs Defined Contribution Pension Plan - Portfolio Management,https://www.youtube.com/watch?v=pjTQIuwNIH0,Module 4: Portfolio Risk and Return: Part Two
9655,Finance,Portfolio Management CFA,,Asset Management Industry - Portfolio Management,https://www.youtube.com/watch?v=FqHvqXogaas,Module 5: Risk Management
9656,Finance,Portfolio Management CFA,,Introduction to Mutual Funds - Portfolio Management,https://www.youtube.com/watch?v=BqQnX3D9aeg,Module 6: Fintech in Investment Management
9657,Finance,Portfolio Management CFA,,Other Pooled Investment Products - Portfolio Management,https://www.youtube.com/watch?v=JveY8o4L6d0,Module 7: Technical Analysis
9658,Finance,Portfolio Management CFA,,Measures of Returns - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=woLfIbVlazc,Module 7: Technical Analysis
9659,Finance,Portfolio Management CFA,,Money Weighted vs Time Weighted Rates of Return - Portfolio Risk and Return : Part One,https://www.youtube.com/watch?v=HeyGZwxRwSI,Module 7: Technical Analysis
9660,Finance,Portfolio Management CFA,,Characteristics of Major Asset Classes - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=hwfIOHRFBSM,Module 7: Technical Analysis
9661,Finance,Portfolio Management CFA,,"Mean, Variance, Covariance and Correlation of Asset Returns - Portfolio Risk and Return : Part One",https://www.youtube.com/watch?v=8mDY-OwoASc,Module 7: Technical Analysis
9662,Finance,Portfolio Management CFA,,Introduction to Risk Aversion - Portfolio Risk and Return : Part One - Portfolio Management,https://www.youtube.com/watch?v=6gKlKXYMtTI,Module 7: Technical Analysis
