Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
9717,Finance,Risk Management Knowledge Area - PMP Training,33hrs 23min,The Basics of Risk Management,https://www.youtube.com/watch?v=GF0nidJHEsI,Module 1: Introduction to Risk Management
9718,Finance,Risk Management Knowledge Area - PMP Training,,Risk: Themes and Attitudes,https://www.youtube.com/watch?v=2pPD5p_aVBQ,Module 1: Introduction to Risk Management
9719,Finance,Risk Management Knowledge Area - PMP Training,,Plan Risk Management Process,https://www.youtube.com/watch?v=QbE8fDkwz-I,Module 1: Introduction to Risk Management
9720,Finance,Risk Management Knowledge Area - PMP Training,,Risk Breakdown Structure (RBS) | Risk Categories | Risk Methodology,https://www.youtube.com/watch?v=K01FCO_7o2w,Module 2: Risk Identification and Analysis
9721,Finance,Risk Management Knowledge Area - PMP Training,,Risk Probability and Impact Assessment,https://www.youtube.com/watch?v=uTKoVa8krRs,Module 2: Risk Identification and Analysis
9722,Finance,Risk Management Knowledge Area - PMP Training,,Identify Risks Process,https://www.youtube.com/watch?v=a0pAWPrKiGk,Module 2: Risk Identification and Analysis
9723,Finance,Risk Management Knowledge Area - PMP Training,,Risk Register,https://www.youtube.com/watch?v=YArPMPSVbzA,Module 3: Risk Response and Monitoring
9724,Finance,Risk Management Knowledge Area - PMP Training,,Perform Qualitative Risk Analysis Process,https://www.youtube.com/watch?v=omrFMM3NPR4,Module 3: Risk Response and Monitoring
9725,Finance,Risk Management Knowledge Area - PMP Training,,Probability and Impact Matrix,https://www.youtube.com/watch?v=HK4zRmd4wFM,Module 3: Risk Response and Monitoring
9726,Finance,Risk Management Knowledge Area - PMP Training,,Perform Quantitative Risk Analysis Risk Process,https://www.youtube.com/watch?v=clRRVbDYQsM,Module 4: Advanced Risk Management Techniques
9727,Finance,Risk Management Knowledge Area - PMP Training,,Expected Monetary Value (EMV) Calculation | EMV Example,https://www.youtube.com/watch?v=xzC0kMqIrcQ,Module 4: Advanced Risk Management Techniques
9728,Finance,Risk Management Knowledge Area - PMP Training,,Plan Risk Responses Process,https://www.youtube.com/watch?v=8tZVKO4xfiw,Module 4: Advanced Risk Management Techniques
9729,Finance,Risk Management Knowledge Area - PMP Training,,Secondary Risks | Residual Risks | Workaround | Business Risks | Pure Risks,https://www.youtube.com/watch?v=lTLdkpcPwGg,Module 4: Advanced Risk Management Techniques
9730,Finance,Risk Management Knowledge Area - PMP Training,,Implement Risk Responses Process,https://www.youtube.com/watch?v=H0cIYtQqqKw,Module 4: Advanced Risk Management Techniques
9731,Finance,Risk Management Knowledge Area - PMP Training,,Monitor Risks Process,https://www.youtube.com/watch?v=0FGPn4BPZsg,Module 4: Advanced Risk Management Techniques
9732,Finance,Risk Management Knowledge Area - PMP Training,,What is a Watchlist in Risk Management?,https://www.youtube.com/watch?v=4nkUhqErB1s,Module 4: Advanced Risk Management Techniques
9733,Finance,Risk Management Knowledge Area - PMP Training,,Risk Trigger,https://www.youtube.com/watch?v=0VDFgtEYlcs,Module 4: Advanced Risk Management Techniques
9734,Finance,Risk Management Knowledge Area - PMP Training,,What are Contingency Reserve and Management Reserve? How are they used in the project?,https://www.youtube.com/watch?v=OMKqYclX9pQ,Module 4: Advanced Risk Management Techniques
9735,Finance,Risk Management Knowledge Area - PMP Training,,Sensitivity Analysis using Tornado Diagrams,https://www.youtube.com/watch?v=6ojHXG27w-s,Module 4: Advanced Risk Management Techniques
9736,Finance,Risk Management Knowledge Area - PMP Training,,Decision Tree Analysis for calculating Expected Monetary Value (EMV) | Decision Tree Example,https://www.youtube.com/watch?v=vmkdHT9VmZg,Module 4: Advanced Risk Management Techniques
9737,Finance,Risk Management Knowledge Area - PMP Training,,Risk Response Strategy - Escalate Risks,https://www.youtube.com/watch?v=eeV1lHivPXk,Module 4: Advanced Risk Management Techniques
