Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
13852,Fine Arts,Performance Art,3hrs 14min,Gender Self Pen Pal,https://www.youtube.com/watch?v=3w_x1TesfRc,Module 1: Gender Self Pen Pal | Sugar and Spice and Everything Nice | An ode to wanting what we can't have,1
13853,Fine Arts,Performance Art,,Sugar and Spice and Everything Nice,https://www.youtube.com/watch?v=aJyEUQ4m7l4,Module 1: Gender Self Pen Pal | Sugar and Spice and Everything Nice | An ode to wanting what we can't have,1
13854,Fine Arts,Performance Art,,An ode to wanting what we can't have,https://www.youtube.com/watch?v=K6vEuubZikA,Module 1: Gender Self Pen Pal | Sugar and Spice and Everything Nice | An ode to wanting what we can't have,1
13855,Fine Arts,Performance Art,,Voicemails I can't delete but I can't seem to pick up the phone,https://www.youtube.com/watch?v=mrs4e0gvcJc,Module 2: Voicemails I can't delete but I can't seem to pick up the phone | In a city in a building in a room in a window,2
13856,Fine Arts,Performance Art,,In a city in a building in a room in a window,https://www.youtube.com/watch?v=FeAAdipJB8E,Module 2: Voicemails I can't delete but I can't seem to pick up the phone | In a city in a building in a room in a window,2
13857,Fine Arts,Performance Art,,figuring it out,https://www.youtube.com/watch?v=6C0XwFy_Spg,Module 3: figuring it out | Life,3
13858,Fine Arts,Performance Art,,Life,https://www.youtube.com/watch?v=TX7fBYcAVN4,Module 3: figuring it out | Life,3
13859,Fine Arts,Performance Art,,Beach Dialogue,https://www.youtube.com/watch?v=Ie0-t6f31aw,Module 4: Beach Dialogue | Real Pleasures and Real Disappointments,4
13860,Fine Arts,Performance Art,,Real Pleasures and Real Disappointments,https://www.youtube.com/watch?v=Sj6xpkAVHzQ,Module 4: Beach Dialogue | Real Pleasures and Real Disappointments,4
13861,Fine Arts,Performance Art,,Walking myself through it,https://www.youtube.com/watch?v=W2ZH-g49XF8,Module 5: Walking myself through it | Trying to fit into an old me,5
13862,Fine Arts,Performance Art,,Trying to fit into an old me,https://www.youtube.com/watch?v=_IcpcPmFw1w,Module 5: Walking myself through it | Trying to fit into an old me,5
13863,Fine Arts,Performance Art,,Parts of the Head,https://www.youtube.com/watch?v=tNUgHchzxKE,Module 6: Parts of the Head,6
13864,Fine Arts,Performance Art,,Nightmares,https://www.youtube.com/watch?v=8MhpD4RyKuw,Module 7: Nightmares,7
