Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
8878,Healthcare Management,Health Information System (HISMLS),117hrs 22min,1 Overview on Health Information System for Medical Technologists (Filipino),https://www.youtube.com/watch?v=z-aL7af5-vY,Module 1: Introduction to Health Information Systems
8879,Healthcare Management,Health Information System (HISMLS),,2 Health Systems - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=6Lm_x2_N7Wo,Module 1: Introduction to Health Information Systems
8880,Healthcare Management,Health Information System (HISMLS),,3 Primary Health Care - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=ipcMqAh8JIY,Module 1: Introduction to Health Information Systems
8881,Healthcare Management,Health Information System (HISMLS),,4 Overview of Health Informatics - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=cL8Q5D3J1Ow,Module 2: Fundamentals of Health Informatics
8882,Healthcare Management,Health Information System (HISMLS),,5 Health Information System - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=gB_hxS3O-7Q,Module 2: Fundamentals of Health Informatics
8883,Healthcare Management,Health Information System (HISMLS),,6 Health Management Information System - HIS for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=LTer00VVml0,Module 3: Specialized Information Systems in Healthcare
8884,Healthcare Management,Health Information System (HISMLS),,7 HMIS Monitoring and Evaluation Filipino,https://www.youtube.com/watch?v=ll_h-gD5saw,Module 3: Specialized Information Systems in Healthcare
8885,Healthcare Management,Health Information System (HISMLS),,8 HMIS Data Quality - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=Yd-2g4mfBPk,Module 3: Specialized Information Systems in Healthcare
8886,Healthcare Management,Health Information System (HISMLS),,9 Hospital Information System - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=On4hW6RdJqA,Module 4: Data Management and Ethics in HIS
8887,Healthcare Management,Health Information System (HISMLS),,10 Laboratory Information System - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=o1XXC_hS2fw,Module 4: Data Management and Ethics in HIS
8888,Healthcare Management,Health Information System (HISMLS),,11 Cardiology and Radiology Information System - HIS for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=s4HDk_nHe7o,Module 4: Data Management and Ethics in HIS
8889,Healthcare Management,Health Information System (HISMLS),,12 Hospital Materials Management -Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=ys_ssS3yDw8,Module 4: Data Management and Ethics in HIS
8890,Healthcare Management,Health Information System (HISMLS),,13 Clinical Data Repository - Health Information System for Medical Technologists (FILIPINO),https://www.youtube.com/watch?v=RRtb0ryXdYs,Module 4: Data Management and Ethics in HIS
8891,Healthcare Management,Health Information System (HISMLS),,"14 Ethics, Privacy and Security - Health Information System for Medical Technologists (FILIPINO)",https://www.youtube.com/watch?v=Ni5F1Oj1in4,Module 4: Data Management and Ethics in HIS
