Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
6779,Information Systems,I.T Infrastructure,85hrs 17min,Lec.1 Introduction to IT Infrastructure | IT Infrastructure Architecture | Infrastructure Management,https://www.youtube.com/watch?v=X66tKUwVcQg,Module 1: Introduction to IT Infrastructure,1
6780,Information Systems,I.T Infrastructure,,Availability of IT Infrastructure  | MTBF | MTTR | Recovery Point Objective| Recovery Time Objective,https://www.youtube.com/watch?v=vp-VQMgYZto,Module 1: IT Infrastructure Architecture,1
6781,Information Systems,I.T Infrastructure,,Performance Concepts  Managing Bottlenecks  |Performance Testing |Horizontal | vertical Scalability,https://www.youtube.com/watch?v=ykrRB2WnsMI,Module 1: Infrastructure Management,1
6782,Information Systems,I.T Infrastructure,,Security Concepts | Computer Crimes | Risk Management | Risk calculation | Risk Response | Exploits,https://www.youtube.com/watch?v=PmLbu8Itu_o,Module 2: Availability of IT Infrastructure,2
6783,Information Systems,I.T Infrastructure,,Security Controls | Confidentiality | Integrity and Availability levels |Core Goals of Security  CIA,https://www.youtube.com/watch?v=8-K684efJs0,Module 2: MTBF | MTTR | Recovery Point Objective| Recovery Time Objective,2
6784,Information Systems,I.T Infrastructure,,Attack Vectors |Worms | Trojan Horses | DDoS & countermeasure|Social Engineering |Phishing |Baiting,https://www.youtube.com/watch?v=Ae-8Di9qYpA,Module 3: Performance Concepts | Managing Bottlenecks,3
6785,Information Systems,I.T Infrastructure,,Security Patterns | Identity and Access Management | Single Sign on | Federated Identity Management|,https://www.youtube.com/watch?v=Nmv0wjXgBHo,Module 3: Performance Testing | Horizontal | Vertical Scalability,3
6786,Information Systems,I.T Infrastructure,,What is Data center | Types of Data center | Front-End Data center Traffic | Location of Datacenter,https://www.youtube.com/watch?v=3SidKfzNlv8,Module 4: Security Concepts | Computer Crimes | Risk Management,4
6787,Information Systems,I.T Infrastructure,,Physical Structure of Data center | Fire prevention and Suppression | Cool Airflow | Floor Tiles,https://www.youtube.com/watch?v=PR5TVfGOTs8,Module 4: Risk calculation | Risk Response | Exploits | Security Controls,4
6788,Information Systems,I.T Infrastructure,,Datacenter Security  | Availability Tiers | Datacenter Performance,https://www.youtube.com/watch?v=9Ep_82yJB5Q,Module 5: Confidentiality | Integrity and Availability Levels | Core Goals of Security (CIA),5
6789,Information Systems,I.T Infrastructure,,I.T Infrastructure  | Networking,https://www.youtube.com/watch?v=cs4UgUV9nJE,Module 5: Attack Vectors | Worms | Trojan Horses | DDoS & Countermeasures | Social Engineering | Phishing | Baiting | Security Patterns | Identity and Access Management | Single Sign On | Federated Identity Management | What is Data center | Types of Data center | Front-End Data center Traffic | Location of Datacenter | Physical Structure of Data center | Fire prevention and Suppression | Cool Airflow | Floor Tiles | Datacenter Security | Availability Tiers | Datacenter Performance | I.T Infrastructure | Networking,5
