Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11455,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,33hrs 6min,How to create Storylines for Business Presentations (Consulting and PowerPoint skills),https://www.youtube.com/watch?v=4gGkhZeDrzE,Module 1: Introduction to Consulting Presentations,1
11456,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,MANAGEMENT CONSULTING PRESENTATION - How consulting firms create slide presentations (Ex-McKinsey),https://www.youtube.com/watch?v=PgOD1j2DhNg,Module 1: How to Create Storylines for Business Presentations,1
11457,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Ex-McKinsey consultant creates a Slide Presentation with you,https://www.youtube.com/watch?v=MbwFt8wWilU,Module 1: MANAGEMENT CONSULTING PRESENTATION - How consulting firms create slide presentations,1
11458,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,"Data Visualization for Slide Presentations - Storytelling, Charts, Formatting",https://www.youtube.com/watch?v=lIv2vDE6ENo,Module 1: Ex-McKinsey consultant creates a Slide Presentation with you,1
11459,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Consulting Presentation Tips from former McKinsey Consultant,https://www.youtube.com/watch?v=YXQWfTPQoSg,Module 2: Visual Design for Consulting Presentations,2
11460,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Effective Slide Blueprints for Business Presentations,https://www.youtube.com/watch?v=kIMyxshyqXk,"Module 2: Data Visualization for Slide Presentations - Storytelling, Charts, Formatting",2
11461,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,HOW CONSULTANTS MAKE SLIDES - Management consulting insights from former McKinsey consultant,https://www.youtube.com/watch?v=Qv3mrOtFMzM,Module 2: Consulting Presentation Tips from former McKinsey Consultant,2
11462,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,AVOID SMART ARTS IN POWERPOINT - Why you should not use SmartArt in PPT and what to do instead,https://www.youtube.com/watch?v=HHjI7VWIYfw,Module 2: Effective Slide Blueprints for Business Presentations,2
11463,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Management Consulting Presentations - How to use Icons for Slide Presentations,https://www.youtube.com/watch?v=5l6HcKWPxu8,Module 3: Advanced Slide Design Techniques,3
11464,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,FIX YOUR TEXT BOXES - Why PowerPoint breaks your text boxes by default and how to fix it,https://www.youtube.com/watch?v=VHF7RodnIoo,Module 3: HOW CONSULTANTS MAKE SLIDES - Management consulting insights from former McKinsey consultant,3
11465,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,"How to write Business Documents - Situation, Complication, Solution",https://www.youtube.com/watch?v=IGk5EWE169c,Module 3: AVOID SMART ARTS IN POWERPOINT - Why you should not use SmartArt in PPT and what to do instead,3
11466,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Data Storytelling – How to Turn Data into Decisions,https://www.youtube.com/watch?v=oONV0mgcd5c,Module 3: Management Consulting Presentations - How to use Icons for Slide Presentations,3
11467,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Consulting Slide Presentation Tips - Ex-McKinsey reviews corporate slides,https://www.youtube.com/watch?v=LTMA68vBZ34,Module 4: Structuring  Business Communication,4
11468,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Create Charts like leading Consulting Firms - Slide Presentation Tips,https://www.youtube.com/watch?v=QFkMfwqwGxQ,Module 4: FIX YOUR TEXT BOXES - Why PowerPoint breaks your text boxes by default and how to fix it,4
11469,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,What is special about Consulting Presentations? | Consulting Presentation Tips,https://www.youtube.com/watch?v=y4eIJlVvK40,"Module 4: How to write Business Documents - Situation, Complication, Solution",4
11470,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Improve your Business Slide Presentations - Concept of Clotheslines,https://www.youtube.com/watch?v=Fv5osgOM-Bg,Module 5: Data Storytelling and Presentation Review,5
11471,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,AUDIENCE EXPECTATIONS FOR PRESENTATIONS - Improve your communication skills for presentations,https://www.youtube.com/watch?v=cLHCOYzQLnw,Module 5: Data Storytelling – How to Turn Data into Decisions,5
11472,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,IMPROVE YOUR MANAGEMENT PRESENTATIONS - Every slide speaks for itself (key principle for slides),https://www.youtube.com/watch?v=7XDqGYP7Yyg,Module 5: Consulting Slide Presentation Tips - Ex-McKinsey reviews corporate slides,5
11473,Interior Design,How to Create Slide Presentations like Leading Consulting Firms,,Prepare your Business Presentations - Tips from Strategy Consultant,https://www.youtube.com/watch?v=kYAUUtUIEmw,Module 5: Create Charts like leading Consulting Firms - Slide Presentation Tips,5
