Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
9568,International Relations,Foreign Policy,0hrs 505min,What is Foreign Policy,https://www.youtube.com/watch?v=wCU4dqfK_cI,Module 1: Introduction to Foreign Policy,1
9569,International Relations,Foreign Policy,,Brief Introduction to Levels of Analysis,https://www.youtube.com/watch?v=M65RtjlqMf8,Module 1: Introduction to Foreign Policy,1
9570,International Relations,Foreign Policy,,Case Study: 1998 Embassy Bombings,https://www.youtube.com/watch?v=aH8kNXgvpLw,Module 1: Introduction to Foreign Policy,1
9571,International Relations,Foreign Policy,,Rationality and Foreign Policy,https://www.youtube.com/watch?v=Pl41HYx4D14,Module 1: Introduction to Foreign Policy,1
9572,International Relations,Foreign Policy,,Foreign Policy Crash Course: US-India Relations,https://www.youtube.com/watch?v=I3qaJ-70JYE,Module 2: Rationality and Foreign Policy in Action: Case Studies,2
9573,International Relations,Foreign Policy,,Foreign Policy Crash Course: US-Pakistan Relations,https://www.youtube.com/watch?v=AuKy5vZNru4,Module 2: Rationality and Foreign Policy in Action: Case Studies,2
9574,International Relations,Foreign Policy,,Foreign Policy Crash Course: the Middle East and Political Islam,https://www.youtube.com/watch?v=CoFfNmtcHSU,Module 2: Rationality and Foreign Policy in Action: Case Studies,2
9575,International Relations,Foreign Policy,,Foreign Policy Crash Course: The Middle East and Nationalism,https://www.youtube.com/watch?v=LFj41F5cPfc,Module 3: Conceptual Models and Group Dynamics in Foreign Policy,3
9576,International Relations,Foreign Policy,,Conceptual Models of Foreign Policy,https://www.youtube.com/watch?v=3p31Kup09GA,Module 3: Conceptual Models and Group Dynamics in Foreign Policy,3
9577,International Relations,Foreign Policy,,Group Think,https://www.youtube.com/watch?v=pM8bWsWPsOI,Module 3: Conceptual Models and Group Dynamics in Foreign Policy,3
9578,International Relations,Foreign Policy,,Psychology and Decision Making,https://www.youtube.com/watch?v=uVG3Zv8kQb8,Module 4: Psychology and Decision-Making in Foreign Policy,4
9579,International Relations,Foreign Policy,,Analogies and Decision Making,https://www.youtube.com/watch?v=wZQkdvSJKK0,Module 4: Psychology and Decision-Making in Foreign Policy,4
9580,International Relations,Foreign Policy,,Presidential Leadership Styles,https://www.youtube.com/watch?v=wOLpuGgT3KU,Module 4: Psychology and Decision-Making in Foreign Policy,4
9581,International Relations,Foreign Policy,,Leader Profiling,https://www.youtube.com/watch?v=238GPxWTJpI,"Module 5: Leadership, Intelligence, and Analysis in Foreign Policy",5
9582,International Relations,Foreign Policy,,Background on US Intelligence Community,https://www.youtube.com/watch?v=RdusTCa0eQc,"Module 5: Leadership, Intelligence, and Analysis in Foreign Policy",5
9583,International Relations,Foreign Policy,,Background on US Intelligence Community,https://www.youtube.com/watch?v=RdusTCa0eQc,"Module 5: Leadership, Intelligence, and Analysis in Foreign Policy",5
9584,International Relations,Foreign Policy,,Intelligence Analysis Skills: Judgement,https://www.youtube.com/watch?v=ctfjbVYBcYc,Module 6: Intelligence Analysis Skills and Applications,6
9585,International Relations,Foreign Policy,,Intelligence Analysis Skills: Forecasting,https://www.youtube.com/watch?v=CN11c8KW2b8,Module 6: Intelligence Analysis Skills and Applications,6
9586,International Relations,Foreign Policy,,Intelligence Analysis Skills: Analysis of Competing Hypotheses,https://www.youtube.com/watch?v=iuU_GI5WMpY,Module 6: Intelligence Analysis Skills and Applications,6
9587,International Relations,Foreign Policy,,Gender Theory and Foreign Policy,https://www.youtube.com/watch?v=ndOe70ASfI8,"Module 7: Gender, Media, and Public Opinion in Foreign Policy",7
9588,International Relations,Foreign Policy,,Intelligence Analysis Skills: An Example of the Analysis of Competing Hypotheses Method,https://www.youtube.com/watch?v=JRLK0rFNRiY,"Module 7: Gender, Media, and Public Opinion in Foreign Policy",7
9589,International Relations,Foreign Policy,,Intelligence Analysis Skills: Dealing with Uncertainty in Forecasting,https://www.youtube.com/watch?v=jtpdWEbrlcg,"Module 7: Gender, Media, and Public Opinion in Foreign Policy",7
9590,International Relations,Foreign Policy,,Nuclear Conflict Prevention,https://www.youtube.com/watch?v=8kCt4UkZ5RE,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9591,International Relations,Foreign Policy,,Introducing the Democratic Peace,https://www.youtube.com/watch?v=QLi6lnLJYNw,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9592,International Relations,Foreign Policy,,Explaining the Democratic Peace,https://www.youtube.com/watch?v=52MCDUdakUI,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9593,International Relations,Foreign Policy,,Public Opinion and Foreign Policy,https://www.youtube.com/watch?v=feFQaNdN-1M,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9594,International Relations,Foreign Policy,,The CNN Effect,https://www.youtube.com/watch?v=LzVTaxYlsZM,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9595,International Relations,Foreign Policy,,Foreign Policy and the Media,https://www.youtube.com/watch?v=sIBu34V8nEQ,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9596,International Relations,Foreign Policy,,Foreign Policy Bureaucrats,https://www.youtube.com/watch?v=Mlgoxi8QtYg,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
9597,International Relations,Foreign Policy,,"Geography and Security: Mackinder and ""The Geographical Pivot of History""",https://www.youtube.com/watch?v=g-15IHUiJBA,"Module 8: Foreign Policy, Bureaucracy, and Geopolitics",8
