Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
9669,International Relations,"MIT 14.771 Development Economics, Fall 2021",1hrs 671min,Lecture 1: Introduction to Development Economics,https://www.youtube.com/watch?v=fIFB6SBw2lU,Module 1: Intro to Development Economics & Poverty Traps,1
9670,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 2: Poverty Traps: Theory,https://www.youtube.com/watch?v=jOLB1V0pGhU,Module 1: Intro to Development Economics & Poverty Traps,1
9671,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 3: Poverty Traps: Graduation Programs,https://www.youtube.com/watch?v=mtE19r9w6Fc,Module 1: Intro to Development Economics & Poverty Traps,1
9672,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 4: Behavioral Development Economics: Introduction,https://www.youtube.com/watch?v=wG9h-_4xhgk,Module 2: Behavioral Development Economics & Human Capital,2
9673,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 5: Behavioral Development Economics: Psychology of Poverty,https://www.youtube.com/watch?v=dVvaurs76gk,Module 2: Behavioral Development Economics & Human Capital,2
9674,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 6: Investing in Human Capital: Theory,https://www.youtube.com/watch?v=9a0RQnfBDi8,Module 2: Behavioral Development Economics & Human Capital,2
9675,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 7: Demand for Education,https://www.youtube.com/watch?v=N-67gRDE3UQ,Module 3: Education & Savings,3
9676,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 8: Private and Social Returns to Education,https://www.youtube.com/watch?v=Had-EG2Af-w,Module 3: Education & Savings,3
9677,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 9: Supply of Education,https://www.youtube.com/watch?v=G6bUKW3S_Us,Module 3: Education & Savings,3
9678,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 10: Savings,https://www.youtube.com/watch?v=isycxGdK-1Q,Module 4: Health,4
9679,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 11: Demand for Health (Part 1),https://www.youtube.com/watch?v=1yk14xq4u5U,Module 4: Health,4
9680,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 12: Demand for Health (Part 2),https://www.youtube.com/watch?v=6Ee1tj3_4xQ,Module 4: Health,4
9681,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 13: Family,https://www.youtube.com/watch?v=Ay6wUNvEqxs,"Module 5: Family, Gender & Land Markets",5
9682,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 14: Supply of Health Care (Part 2)/ Gender (Part 1),https://www.youtube.com/watch?v=OlEM_etZCVE,"Module 5: Family, Gender & Land Markets",5
9683,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 15: Gender and the Labor Market,https://www.youtube.com/watch?v=Liy6fEbv8OU,"Module 5: Family, Gender & Land Markets",5
9684,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 16: Land Markets (Part 1),https://www.youtube.com/watch?v=cSgaMRF4NlY,Module 6: Land Markets & Public Finance,6
9685,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 17: Land Markets (Part 2),https://www.youtube.com/watch?v=9_UKNSPPrZ4,Module 6: Land Markets & Public Finance,6
9686,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 18: Land Markets (Part 3) / Public Finance (part 1),https://www.youtube.com/watch?v=1N_iAJq1dU4,Module 6: Land Markets & Public Finance,6
9687,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 19: Public Finance (Part 2),https://www.youtube.com/watch?v=Sl4JvEXA-lw,Module 7: Public Finance & Labor,7
9688,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 20: Public Finance (Part 3),https://www.youtube.com/watch?v=_RyRYO4v24w,Module 7: Public Finance & Labor,7
9689,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 21: PF (Part 4) / Labor (Part 1),https://www.youtube.com/watch?v=Zo23YuwWhZM,Module 7: Public Finance & Labor,7
9690,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 22: Labor (Part 2),https://www.youtube.com/watch?v=DhNkLYeApck,Module 8: Labor & Credit,8
9691,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 23: Labor (Part 3),https://www.youtube.com/watch?v=xpxx-uXnixA,Module 8: Labor & Credit,8
9692,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 24: Credit (Part 1),https://www.youtube.com/watch?v=73wmLvud_O8,Module 8: Labor & Credit,8
9693,International Relations,"MIT 14.771 Development Economics, Fall 2021",,Lecture 25: Credit (Part 2),https://www.youtube.com/watch?v=GbFm5N20gJk,Module 8: Labor & Credit,8
