Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
10433,Mathematics,1.11 GRAPH THEORY (Complete Playlist),1018hrs 13min,Complete DM Discrete Maths in one shot | Semester Exam | Hindi,https://www.youtube.com/watch?v=3zOtLEeHygg,Module 1: Introduction to Graphs,1
10434,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,1- Introduction to Graph Theory,https://www.youtube.com/watch?v=ru0PZSlSb00,Module 1: Introduction to Graphs,2
10435,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,"2- Adjacent Edges, Adjacent Vertex, Self loop, Parallel Edge In Simple Terms",https://www.youtube.com/watch?v=CIWwdWowj8A,Module 1: Introduction to Graphs,3
10436,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,"3- Finite Graph, Null Graph, Trivial Graph, Complete Graph in Graph Theory",https://www.youtube.com/watch?v=kzqyzP6n594,Module 1: Introduction to Graphs,4
10437,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,4- Number of Simple Graph Possible With n Vertices,https://www.youtube.com/watch?v=3-oUfRnXl_g,Module 2: Degrees and Sequences,5
10438,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,5- Number of Simple Graph Possible With n Vertices and e Edges,https://www.youtube.com/watch?v=7QFBpzzm7_U,Module 2: Degrees and Sequences,6
10439,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,6- Handshaking Theorem or Sum of Degrees of Vertices Theorem,https://www.youtube.com/watch?v=4uilSwVeg0g,Module 2: Degrees and Sequences,7
10440,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,7- Practice problem on Handshaking Theorem or Sum of Degrees of Vertices Theorem,https://www.youtube.com/watch?v=UuFc7kXtqjI,Module 2: Degrees and Sequences,8
10441,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,8- Minimum Degree of a Vertex in a Graph δ(G),https://www.youtube.com/watch?v=j94vc827rrk,Module 3: Types of Graphs,9
10442,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,9- Maximum Degree of a Vertex in a Graph Δ(G),https://www.youtube.com/watch?v=w61Cwm3iqX0,Module 3: Types of Graphs,10
10443,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,10- Degree Sequence of a Graph,https://www.youtube.com/watch?v=C2bwdO1vQcM,Module 3: Types of Graphs,11
10444,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,11- Havel Hakimi Theorem For Degree Sequence of a Graph,https://www.youtube.com/watch?v=07Q6N-WeaGM,Module 3: Types of Graphs,12
10445,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,12- Regular Graph and Cycle Graph,https://www.youtube.com/watch?v=H7pKZt_PQAk,Module 4: Euler and Hamiltonian Graphs,13
10446,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,13- Bipartite Graph in Discrete Mathematics,https://www.youtube.com/watch?v=yelUNp4l740,Module 4: Euler and Hamiltonian Graphs,14
10447,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,14- Complement of a Graph in Graph Theory Discrete Mathematics,https://www.youtube.com/watch?v=uJUuRE3Itb0,Module 4: Euler and Hamiltonian Graphs,15
10448,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,15- Practice Problem on Complement of a Graph,https://www.youtube.com/watch?v=M0xA9P8QToU,Module 4: Euler and Hamiltonian Graphs,16
10449,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,16- All About Euler Graph With Example,https://www.youtube.com/watch?v=T3V0eUr6hwQ,Module 5: Graph Isomorphism,17
10450,Mathematics,1.11 GRAPH THEORY (Complete Playlist),,17- Practice problems on Euler Graph,https://www.youtube.com/watch?v=fePkCuunnjk,Module 5: Graph Isomorphism,18
