Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
9747,Mathematics,Differential Equations,24hrs 16min,Introduction to Ordinary Differential Equations,https://www.youtube.com/watch?v=5UqNZZx8e_A,Module 1: Introduction to Ordinary Differential Equations,1
9748,Mathematics,Differential Equations,,Directly Integrable Differential Equations,https://www.youtube.com/watch?v=F9bche3KH3E,Module 1: Directly Integrable Differential Equations,1
9749,Mathematics,Differential Equations,,Separable Differential Equations (Introduction),https://www.youtube.com/watch?v=irtzsCr6k8M,Module 2: Separable Differential Equations (Introduction),2
9750,Mathematics,Differential Equations,,Separable Differential Equations (Examples),https://www.youtube.com/watch?v=RvQMacjlolw,Module 2: Separable Differential Equations (Examples),2
9751,Mathematics,Differential Equations,,Separable Differential Equations (Initial-Value Problem Examples),https://www.youtube.com/watch?v=mVEaIqJ8Plg,Module 2: Separable Differential Equations (Initial-Value Problem Examples),2
9752,Mathematics,Differential Equations,,Exponential Change (Separable Differential Equations),https://www.youtube.com/watch?v=8jix8zeq6Kg,Module 3: Exponential Change (Separable Differential Equations),3
9753,Mathematics,Differential Equations,,Logistic Growth (Separable Differential Equations),https://www.youtube.com/watch?v=sKTmI7PQdzo,Module 3: Logistic Growth (Separable Differential Equations),3
9754,Mathematics,Differential Equations,,Newton's Law of Cooling (Separable Differential Equations),https://www.youtube.com/watch?v=VvVeTpfMiiM,Module 3: Newton's Law of Cooling (Separable Differential Equations),3
9755,Mathematics,Differential Equations,,First-Order Linear Differential Equations & Integrating Factors (Introduction),https://www.youtube.com/watch?v=NLYpSMpSuMg,Module 4: First-Order Linear Differential Equations & Integrating Factors (Introduction),4
9756,Mathematics,Differential Equations,,First-Order Linear Differential Equations (Examples),https://www.youtube.com/watch?v=8Yso2JXuMYE,Module 4: First-Order Linear Differential Equations (Examples),4
9757,Mathematics,Differential Equations,,Linear First-Order Equations (Initial-Value Problem Examples),https://www.youtube.com/watch?v=ZY4yNsoRHjE,Module 4: Linear First-Order Equations (Initial-Value Problem Examples),4
9758,Mathematics,Differential Equations,,Newton's Law of Cooling (First-Order Linear Differential Equation),https://www.youtube.com/watch?v=3MJ8c1dbkOE,Module 5: Newton's Law of Cooling (First-Order Linear Differential Equation),5
9759,Mathematics,Differential Equations,,Mixture/Concentration Example (Linear 1st-Order Differential Equation),https://www.youtube.com/watch?v=EZ2kp-RnPTg,Module 5: Mixture/Concentration Example (Linear 1st-Order Differential Equation),5
9760,Mathematics,Differential Equations,,RL Series Circuit (Linear First-Order Differential Equation),https://www.youtube.com/watch?v=zsOQ4lbeiWI,Module 5: RL Series Circuit (Linear First-Order Differential Equation),5
9761,Mathematics,Differential Equations,,Homogeneous First-Order Differential Equations (Introduction),https://www.youtube.com/watch?v=Wyhg1h_EGfQ,Module 6: Homogeneous First-Order Differential Equations (Introduction),6
9762,Mathematics,Differential Equations,,Homogeneous First-Order Differential Equations (Examples),https://www.youtube.com/watch?v=Go5hX8UvqiQ,Module 6: Homogeneous First-Order Differential Equations (Examples),6
9763,Mathematics,Differential Equations,,Bernoulli First-Order Differential Equations (Introduction),https://www.youtube.com/watch?v=IZQa5jGMVS8,Module 7: Bernoulli First-Order Differential Equations (Introduction),7
9764,Mathematics,Differential Equations,,Bernoulli First-Order Differential Equations (Examples),https://www.youtube.com/watch?v=xusz7nX56JU,Module 7: Bernoulli First-Order Differential Equations (Examples),7
9765,Mathematics,Differential Equations,,Exact Differential Equations (First-Order Differential Equations),https://www.youtube.com/watch?v=qpPoI9gFF0g,Module 8: Exact Differential Equations (First-Order Differential Equations),8
9766,Mathematics,Differential Equations,,Slope Fields (First-Order Differential Equations),https://www.youtube.com/watch?v=dk6Ki8peaxA,Module 8: Slope Fields (First-Order Differential Equations),8
9767,Mathematics,Differential Equations,,Euler's Method (Numerical Solutions for Differential Equations),https://www.youtube.com/watch?v=Atvaac3_NlM,Module 9: Euler's Method (Numerical Solutions for Differential Equations),9
