Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
10379,Mathematics,Discrete Math II/Combinatorics (Entire course),49hrs 1min,Discrete Math II - 6.1.1 The Rules of Sum and Product,https://www.youtube.com/watch?v=spEjNcd37IQ,Module 1: The Rules of Counting,1
10380,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.1.2 The Complement Rule and Complex Counting Problems,https://www.youtube.com/watch?v=RhKYPnd0M4Y,Module 1: The Rules of Counting,1
10381,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.1.3 The Subtraction and Division Rules,https://www.youtube.com/watch?v=_DPdmSNHgQc,Module 1: The Rules of Counting,1
10382,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.2.1 The Pigeonhole Principle,https://www.youtube.com/watch?v=xEuPd4k_IPo,Module 1: The Rules of Counting,1
10383,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math - 6.2.2 A Pigeonhole Proof,https://www.youtube.com/watch?v=PeErJk98NRA,Module 2: The Pigeonhole Principle,2
10384,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.3.1 Permutations,https://www.youtube.com/watch?v=DXfQTp4cCBI,Module 2: The Pigeonhole Principle,2
10385,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.3.2 Combinations,https://www.youtube.com/watch?v=KdxrOsvUEh4,Module 3: Permutations and Combinations,3
10386,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.3.3 More Combinations and Combinatorial Proof,https://www.youtube.com/watch?v=RF71svepC5s,Module 3: Permutations and Combinations,3
10387,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.4.1 The Binomial Theorem,https://www.youtube.com/watch?v=EdZjEtiPmrM,Module 3: Permutations and Combinations,3
10388,Mathematics,Discrete Math II/Combinatorics (Entire course),,Discrete Math II - 6.4.2 Pascal's Identity and Triangle,https://www.youtube.com/watch?v=Yc8_EFZbXuc,Module 4: The Binomial Theorem,4
