Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
10042,Mathematics,Real Analysis (Full Course),128hrs 4min,Lecture 1 | Basics of R.A. - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=9yNYG0DkRzg,Module 1: Basics of R.A. - Set,1
10043,Mathematics,Real Analysis (Full Course),,Lecture 2 | Set - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=fFAghhivcns,Module 1: Basics of R.A. - Set,1
10044,Mathematics,Real Analysis (Full Course),,Lecture 3 | Set - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=O-Okz6OgnYc,Module 1: Basics of R.A. - Set,1
10045,Mathematics,Real Analysis (Full Course),,Lecture 4 | Set - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=W8saQ4jx7LA,Module 1: Basics of R.A. - Set,1
10046,Mathematics,Real Analysis (Full Course),,Lecture 5 | Set - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=c-fv2HfixsU,Module 2: Archimedean property - Neighbourhood,2
10047,Mathematics,Real Analysis (Full Course),,Lecture 6 | Archimedean property - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=wCtRP5hh7ew,Module 2: Archimedean property - Neighbourhood,2
10048,Mathematics,Real Analysis (Full Course),,Lecture 7 | Archimedean property - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=dmhEdaGdDOk,Module 2: Archimedean property - Neighbourhood,2
10049,Mathematics,Real Analysis (Full Course),,Lecture 8 | Neighbourhood of a point - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3XjjIlI5soQ,Module 3: Open Set - Closed Set,3
10050,Mathematics,Real Analysis (Full Course),,Lecture 9 | Open Set | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3NWGfQgHBK4,Module 3: Open Set - Closed Set,3
10051,Mathematics,Real Analysis (Full Course),,Lecture 10 | Closed Set | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=EGPVQJlCz2E,Module 3: Open Set - Closed Set,3
10052,Mathematics,Real Analysis (Full Course),,Lecture 11 | Closed Set - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=uTMd41DjCR8,Module 4: Compact Set - Isolated & Adherent point,4
10053,Mathematics,Real Analysis (Full Course),,Lecture 12 | Closed Set - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=xv-JV-jp_8E,Module 4: Compact Set - Isolated & Adherent point,4
10054,Mathematics,Real Analysis (Full Course),,Lecture 13 | Compact Set - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=sZlMm92U1bQ,Module 4: Compact Set - Isolated & Adherent point,4
10055,Mathematics,Real Analysis (Full Course),,Lecture 14 | Compact Set - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=SPhurmb_Zf0,Module 5: Dense Set & Interior point - Boundary points - Connected Set,5
10056,Mathematics,Real Analysis (Full Course),,Lecture 15 | Isolated & Adherent point | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Bxs9Uw7FvTw,Module 5: Dense Set & Interior point - Boundary points - Connected Set,5
10057,Mathematics,Real Analysis (Full Course),,Lecture 16 | Dense Set & Interior point | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=SEflpCog5xk,Module 5: Dense Set & Interior point - Boundary points - Connected Set,5
10058,Mathematics,Real Analysis (Full Course),,Lecture 17 | Boundary Points & Connected Set | Real Analysis| IIT JAM | CSIR NET | GATE | Vivekmaths,https://www.youtube.com/watch?v=tSLrjwRhiHU,Module 6: Functions,6
10059,Mathematics,Real Analysis (Full Course),,Lecture 18 | Functions - 1 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=IPt_OsGHcTA,Module 6: Functions,6
10060,Mathematics,Real Analysis (Full Course),,Lecture 19 | Functions - 2 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=bvhU6Kq3bdg,Module 6: Functions,6
10061,Mathematics,Real Analysis (Full Course),,Lecture 20 | Functions - 3 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=aP10UkZ7Eyo,Module 6: Functions,6
10062,Mathematics,Real Analysis (Full Course),,Lecture 21 | Functions - 4 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=8B91wIOfH1E,Module 7: Functions,7
10063,Mathematics,Real Analysis (Full Course),,Lecture 22 | Functions - 5 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=3T7NZiKMbLc,Module 7: Functions,7
10064,Mathematics,Real Analysis (Full Course),,Lecture 23 | Functions - 6 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=Ffm4C47Reec,Module 7: Functions,7
10065,Mathematics,Real Analysis (Full Course),,Lecture 24 | Functions - 7 | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=MztNJ-se7_g,Module 8: Periodic Function - Countability of Sets,8
10066,Mathematics,Real Analysis (Full Course),,Lecture 25 | Periodic Function | Real Analysis | IIT JAM | CSIR NET | GATE | Vivek maths,https://www.youtube.com/watch?v=TfxhDamzsX8,Module 8: Periodic Function - Countability of Sets,8
