Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11799,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),8hrs 4min,John Travolta And Olivia Newton John - You're The One That I Want,https://www.youtube.com/watch?v=itRFjzQICJU,Module 1: Disco Hits,1
11800,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Bonnie Tyler - Total Eclipse of the Heart (Turn Around) (Official Video),https://www.youtube.com/watch?v=lcOxhH8N3Bo,Module 1: Disco Hits,1
11801,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Abba - Dancing Queen (Official Music Video Remastered),https://www.youtube.com/watch?v=xFrGuyw1V8s,Module 1: Disco Hits,1
11802,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Village People - YMCA OFFICIAL Music Video 1978,https://www.youtube.com/watch?v=CS9OO0S5w2k,Module 1: Disco Hits,1
11803,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Kim Carnes - Bette Davis Eyes,https://www.youtube.com/watch?v=EPOIS5taqA8,Module 2: Pop Icons of the 80s,2
11804,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Kool & The Gang - Celebration,https://www.youtube.com/watch?v=3GwjfUFyY6M,Module 2: Pop Icons of the 80s,2
11805,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Survivor - Eye Of The Tiger (Official HD Video),https://www.youtube.com/watch?v=btPJPFnesV4,Module 2: Pop Icons of the 80s,2
11806,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,I love Rock n roll - Joan jett The Blackhearts,https://www.youtube.com/watch?v=xL5spALs-eA,Module 2: Pop Icons of the 80s,2
11807,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Michael Jackson - Billie Jean (Official Video),https://www.youtube.com/watch?v=Zi_XLOBDo_Y,Module 2: Pop Icons of the 80s,2
11808,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Police - Every Breath You Take (Official Music Video),https://www.youtube.com/watch?v=OMOGaugKpzs,Module 2: Pop Icons of the 80s,2
11809,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Ray Parker Jr. - Ghostbusters (Official Video),https://www.youtube.com/watch?v=Fe93CLbHjxQ,Module 2: Pop Icons of the 80s,2
11810,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Cyndi Lauper - Girls Just Want To Have Fun (Official Video),https://www.youtube.com/watch?v=PIb6AZdTr-A,Module 3: Power Ballads & Rock Anthems,3
11811,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,George Michael - Careless Whisper (Official Video),https://www.youtube.com/watch?v=izGwDsrQ1eQ,Module 3: Power Ballads & Rock Anthems,3
11812,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Wham! - Last Christmas (Official Video),https://www.youtube.com/watch?v=E8gmARGvPlI,Module 3: Power Ballads & Rock Anthems,3
11813,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Foreigner - 'I Want To Know What Love Is' [Official Music Video],https://www.youtube.com/watch?v=raNGeq3_DtM,Module 3: Power Ballads & Rock Anthems,3
11814,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Berlin - Take My Breath Away (Official Video - Top Gun),https://www.youtube.com/watch?v=Bx51eegLTY8,Module 3: Power Ballads & Rock Anthems,3
11815,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Europe - The Final Countdown (Official Video),https://www.youtube.com/watch?v=9jK-NcRmVcw,Module 4:  The Rise of MTV,4
11816,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Bon Jovi - Livin' On A Prayer,https://www.youtube.com/watch?v=lDK9QqIzhwk,Module 4:  The Rise of MTV,4
11817,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Whitney Houston - I Wanna Dance With Somebody (Official 4K Video),https://www.youtube.com/watch?v=eH3giaIzONA,Module 4:  The Rise of MTV,4
11818,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Los Lobos - La Bamba (Original Videoclip),https://www.youtube.com/watch?v=nLAWPrCUQQ0,Module 4:  The Rise of MTV,4
11819,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Rick Astley - Never Gonna Give You Up (Official Music Video),https://www.youtube.com/watch?v=dQw4w9WgXcQ,Module 4:  The Rise of MTV,4
11820,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Madonna - Like A Prayer (Official Video),https://www.youtube.com/watch?v=79fzeNUqQbQ,Module 4:  The Rise of MTV,4
11821,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Bangles - Eternal Flame (Official Video),https://www.youtube.com/watch?v=PSoOFn3wQV4,Module 4:  The Rise of MTV,4
11822,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Madonna - Vogue (Official Video),https://www.youtube.com/watch?v=GuJQSAiODqI,Module 5: Divas of the 90s,5
11823,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Scorpions - Wind Of Change (Official Music Video),https://www.youtube.com/watch?v=n4RjJKxsamQ,Module 5: Divas of the 90s,5
11824,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Michael Jackson - Black Or White (Official Video - Shortened Version),https://www.youtube.com/watch?v=F2AitTPI5U0,Module 5: Divas of the 90s,5
11825,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Whitney Houston - I Will Always Love You (Official 4K Video),https://www.youtube.com/watch?v=3JWTaaS7LdU,Module 5: Divas of the 90s,5
11826,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Haddaway - What Is Love [Official],https://www.youtube.com/watch?v=HEXWRTEbj1I,Module 5: Divas of the 90s,5
11827,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,4 Non Blondes - What's Up (Official Music Video),https://www.youtube.com/watch?v=6NXnxTNIWkc,Module 5: Divas of the 90s,5
11828,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Mariah Carey - All I Want For Christmas Is You (Official Video),https://www.youtube.com/watch?v=yXQViqx6GMY,Module 5: Divas of the 90s,5
11829,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Mariah Carey - Without You (Official HD Music Video),https://www.youtube.com/watch?v=Hat1Hc9SNwE,Module 6: Europop and Dance Hits,6
11830,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,TLC - Waterfalls (Official HD Video),https://www.youtube.com/watch?v=8WEtxJ4-sh4,Module 6: Europop and Dance Hits,6
11831,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Cranberries - Zombie (Official Music Video),https://www.youtube.com/watch?v=6Ejga4kJUts,Module 6: Europop and Dance Hits,6
11832,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Fugees - Killing Me Softly With His Song (Official Video),https://www.youtube.com/watch?v=oKOtzIo-uYw,Module 6: Europop and Dance Hits,6
11833,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Spice Girls - Wannabe (Official Music Video),https://www.youtube.com/watch?v=gJLIiF15wjQ,Module 6: Europop and Dance Hits,6
11834,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,ELTON JOHN - CANDLE IN THE WIND (English - Español - Lyrics - Subs),https://www.youtube.com/watch?v=DH8yRSDkx5M,Module 7:  The Power of Hip-Hop and R&B,7
11835,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Toni Braxton - Un-Break My Heart (Official HD Video),https://www.youtube.com/watch?v=p2Rch6WvPJE,Module 7:  The Power of Hip-Hop and R&B,7
11836,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Aqua - Barbie Girl (Official Music Video),https://www.youtube.com/watch?v=ZyhrYis509A,Module 7:  The Power of Hip-Hop and R&B,7
11837,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Aerosmith - I Don't Want to Miss a Thing (Official HD Video),https://www.youtube.com/watch?v=JkK8g6FMEXE,Module 7:  The Power of Hip-Hop and R&B,7
11838,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Savage Garden - Truly Madly Deeply,https://www.youtube.com/watch?v=WQnAxOQxQIU,Module 7:  The Power of Hip-Hop and R&B,7
11839,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Des'ree - Life (Official Video),https://www.youtube.com/watch?v=BKtrWU4zaaI,Module 7:  The Power of Hip-Hop and R&B,7
11840,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Christina Aguilera - Genie In A Bottle (Official Video),https://www.youtube.com/watch?v=kIDWgqDBNXA,Module 7:  The Power of Hip-Hop and R&B,7
11841,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Britney Spears - ...Baby One More Time (Official Video),https://www.youtube.com/watch?v=C-u5WLJ9Yk4,Module 8: Girl Power and Boy Bands,8
11842,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Lou Bega - Mambo No. 5 (A Little Bit of...),https://www.youtube.com/watch?v=EK_LN3XEcnw,Module 8: Girl Power and Boy Bands,8
11843,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Ricky Martin - Livin' La Vida Loca (Official Video),https://www.youtube.com/watch?v=p47fEXGabaY,Module 8: Girl Power and Boy Bands,8
11844,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Madonna - Music (Official Video),https://www.youtube.com/watch?v=Sdz2oW0NMFk,Module 8: Girl Power and Boy Bands,8
11845,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,U2 - Beautiful Day (Official Music Video),https://www.youtube.com/watch?v=co6WMzDOh1o,Module 8: Girl Power and Boy Bands,8
11846,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Britney Spears - Oops!...I Did It Again (Official HD Video),https://www.youtube.com/watch?v=CduA0TULnow,Module 8: Girl Power and Boy Bands,8
11847,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Bon Jovi - It's My Life (Official Music Video),https://www.youtube.com/watch?v=vx2u5uUu3DE,Module 8: Girl Power and Boy Bands,8
11848,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Shaggy - It Wasn't Me (Video),https://www.youtube.com/watch?v=2g5Hz17C4is,Module 9: Latin Pop Explosion,9
11849,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Kylie Minogue - Can't Get You Out Of My Head (Official Video),https://www.youtube.com/watch?v=c18441Eh_WE,Module 9: Latin Pop Explosion,9
11850,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,In The End [Official HD Music Video] - Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4,Module 9: Latin Pop Explosion,9
11851,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Vanessa Carlton - A Thousand Miles,https://www.youtube.com/watch?v=Cwkej79U3ek,Module 10: Pop Princesses and R&B Kings,10
11852,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,"Christina Aguilera, Lil' Kim, Mya, P!nk - Lady Marmalade",https://www.youtube.com/watch?v=RQa7SvVCdZk,Module 10: Pop Princesses and R&B Kings,10
11853,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Alicia Keys - Fallin' (Official HD Video),https://www.youtube.com/watch?v=Urdlvw0SSEc,Module 10: Pop Princesses and R&B Kings,10
11854,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,"Shakira - Suerte (Whenever, Wherever)",https://www.youtube.com/watch?v=a8Rwz6zBJSE,Module 10: Pop Princesses and R&B Kings,10
11855,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Eminem - Without Me (Official Music Video),https://www.youtube.com/watch?v=YVkUvmDQ3HY,Module 10: Pop Princesses and R&B Kings,10
11856,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Las Ketchup - The Ketchup Song (Asereje) (Spanish Version) (Official Video),https://www.youtube.com/watch?v=V0PisGe66mY,Module 10: Pop Princesses and R&B Kings,10
11857,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Avril Lavigne - Complicated (Official Video),https://www.youtube.com/watch?v=5NPBIwQyPWE,Module 10: Pop Princesses and R&B Kings,10
11858,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Nickelback - How You Remind Me,https://www.youtube.com/watch?v=1cQh1ccqu8M,Module 10: Pop Princesses and R&B Kings,10
11859,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Evanescence - Bring Me To Life (Official HD Music Video),https://www.youtube.com/watch?v=3YxaaGgTQYM,Module 11: The New Millennium,11
11860,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Black Eyed Peas - Where Is The Love? (Official Music Video),https://www.youtube.com/watch?v=WpYeekQkAdc,Module 11: The New Millennium,11
11861,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Beyoncé - Crazy In Love ft. JAY Z,https://www.youtube.com/watch?v=ViwtNLUqkMY,Module 11: The New Millennium,11
11862,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Numb (Official Music Video) [4K UPGRADE] – Linkin Park,https://www.youtube.com/watch?v=kXYiU_JCYtU,Module 11: The New Millennium,11
11863,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Eminem - Lose Yourself [HD],https://www.youtube.com/watch?v=_Yhyp-_hX2s,Module 11: The New Millennium,11
11864,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Maroon 5 - This Love (Official Music Video),https://www.youtube.com/watch?v=XPpTgCho5ZA,Module 11: The New Millennium,11
11865,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,"Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris",https://www.youtube.com/watch?v=GxBSyx85Kp8,Module 11: The New Millennium,11
11866,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Green Day - Boulevard Of Broken Dreams [Official Music Video],https://www.youtube.com/watch?v=Soa3gO7tL-c,Module 11: The New Millennium,11
11867,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Hoobastank - The Reason (Official Music Video),https://www.youtube.com/watch?v=fV4DiAyExN0,Module 11: The New Millennium,11
11868,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Shakira - La Tortura (Official HD Video) ft. Alejandro Sanz,https://www.youtube.com/watch?v=Dsp_8Lm1eSk,Module 12: Emo & Pop Punk,12
11869,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Pussycat Dolls - Don't Cha (Official Music Video) ft. Busta Rhymes,https://www.youtube.com/watch?v=YNSxNsr4wmA,Module 12: Emo & Pop Punk,12
11870,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,James Blunt - You're Beautiful (Official Music Video) [4K],https://www.youtube.com/watch?v=oofSnsGkops,Module 12: Emo & Pop Punk,12
11871,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Shakira - Hips Don't Lie (Official 4K Video) ft. Wyclef Jean,https://www.youtube.com/watch?v=DUT5rEU6pqM,Module 12: Emo & Pop Punk,12
11872,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Justin Timberlake - SexyBack (Official Video) ft. Timbaland,https://www.youtube.com/watch?v=3gOHvDP_vCs,Module 12: Emo & Pop Punk,12
11873,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Amy Winehouse - Back To Black,https://www.youtube.com/watch?v=TJAfLE39ZZ8,Module 12: Emo & Pop Punk,12
11874,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Gnarls Barkley - Crazy,https://www.youtube.com/watch?v=bd2B6SjMh_w,Module 12: Emo & Pop Punk,12
11875,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Rihanna - Umbrella (Orange Version) (Official Music Video) ft. JAY-Z,https://www.youtube.com/watch?v=CvBfHwUxHIk,Module 13:  The Rise of Digital Music,13
11876,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Nelly Furtado - Say It Right (Official Music Video),https://www.youtube.com/watch?v=6JnGBs88sL0,Module 13:  The Rise of Digital Music,13
11877,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Rihanna - Don't Stop The Music,https://www.youtube.com/watch?v=yd8jh9QYfEs,Module 13:  The Rise of Digital Music,13
11878,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Fergie - Big Girls Don't Cry (Personal) (Official Music Video),https://www.youtube.com/watch?v=agrXgrAgQ0U,Module 13:  The Rise of Digital Music,13
11879,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Take That - Rule The World (Official Video),https://www.youtube.com/watch?v=KII1ruAfvsg,Module 13:  The Rise of Digital Music,13
11880,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Leona Lewis - Bleeding Love (Official Video),https://www.youtube.com/watch?v=7_weSk0BonM,Module 13:  The Rise of Digital Music,13
11881,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Katy Perry - I Kissed A Girl (Official Music Video),https://www.youtube.com/watch?v=tAp9BKosZXs,Module 13:  The Rise of Digital Music,13
11882,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Timbaland - Apologize ft. OneRepublic,https://www.youtube.com/watch?v=ZSM3w1v-A_Y,Module 13:  The Rise of Digital Music,13
11883,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Coldplay - Viva La Vida (Official Video),https://www.youtube.com/watch?v=dvgZkm1xWPE,Module 14: Global Fusion,14
11884,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Katy Perry - Hot N Cold (Official Music Video),https://www.youtube.com/watch?v=kTHNpusq654,Module 14: Global Fusion,14
11885,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Kings Of Leon - Sex on Fire (Official Video),https://www.youtube.com/watch?v=RF0HhrwIwp0,Module 14: Global Fusion,14
11886,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Low [from Step Up 2 The Streets O.S.T. / Mail On Sunday] (st,https://www.youtube.com/watch?v=UDAaevTq51I,Module 14: Global Fusion,14
11887,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Lady Gaga - Poker Face (Official Music Video),https://www.youtube.com/watch?v=bESGLojNYSo,Module 14: Global Fusion,14
11888,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Black Eyed Peas - I Gotta Feeling (Official Music Video),https://www.youtube.com/watch?v=uSD4vsh1zDA,Module 14: Global Fusion,14
11889,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Pussycat Dolls - Buttons (Official Music Video) ft. Snoop Dogg,https://www.youtube.com/watch?v=VCLxJd1d84s,Module 14: Global Fusion,14
11890,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,The Black Eyed Peas - Boom Boom Pow (Official Music Video),https://www.youtube.com/watch?v=4m48GqaOz90,Module 15: The Evolution of Pop Divas,15
11891,Music,HIT SONGS THROUGH THE YEARS: 1977 - 2017 (EVOLUTION OF MUSIC),,Flo Rida - Right Round (feat. Ke$ha) (Official Video) [HD],https://www.youtube.com/watch?v=CcCw1ggftuQ,Module 15: The Evolution of Pop Divas,15
