Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
12024,Music,Instrumental Covers of Popular Songs,9hrs 9min,Adele - Rolling in the Deep (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=lUjWJSnGVB0,Module 1: Popular Piano/Cello Covers,1
12025,Music,Instrumental Covers of Popular Songs,,Christina Perri - A Thousand Years (Piano/Cello Cover),https://www.youtube.com/watch?v=QgaTQ5-XfMM,Module 1: Popular Piano/Cello Covers,1
12026,Music,Instrumental Covers of Popular Songs,,Over the Rainbow/Simple Gifts (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=jzF_y039slk,Module 1: Popular Piano/Cello Covers,1
12027,Music,Instrumental Covers of Popular Songs,,Titanium / Pavane (Piano/Cello Cover) - David Guetta / Faure - The Piano Guys,https://www.youtube.com/watch?v=fz4MzJTeL0c,Module 1: Popular Piano/Cello Covers,1
12028,Music,Instrumental Covers of Popular Songs,,David Guetta - Without You ft. Usher (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=dfRtPbBFoGg,Module 2: Piano/Cello Covers from Movies & Musicals,2
12029,Music,Instrumental Covers of Popular Songs,,Bring Him Home (from Les Misérables) - The Piano Guys,https://www.youtube.com/watch?v=5mJ08-pyDLg,Module 2: Piano/Cello Covers from Movies & Musicals,2
12030,Music,Instrumental Covers of Popular Songs,,All of Me (Jon Schmidt original tune) - The Piano Guys,https://www.youtube.com/watch?v=9fAZIQ-vpdw,Module 2: Piano/Cello Covers from Movies & Musicals,2
12031,Music,Instrumental Covers of Popular Songs,,Can't Help Falling in Love (Elvis) - The Piano Guys,https://www.youtube.com/watch?v=RZQNe8IMLtQ,Module 3: The Piano Guys' Original Compositions,3
12032,Music,Instrumental Covers of Popular Songs,,Phillip Phillips - Home (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=aF-Z1A0ujlg,Module 3: The Piano Guys' Original Compositions,3
12033,Music,Instrumental Covers of Popular Songs,,Rockelbel's Canon (Pachelbel's Canon in D) - 4 Cellos - The Piano Guys,https://www.youtube.com/watch?v=LV5_xj_yuhs,Module 4: Classical & Traditional Pieces,4
12034,Music,Instrumental Covers of Popular Songs,,Just the Way You Are - Bruno Mars (Piano/Cello Cover) - The Piano Guys,https://www.youtube.com/watch?v=rIBRcQdzWQs,Module 4: Classical & Traditional Pieces,4
12035,Music,Instrumental Covers of Popular Songs,,Nearer My God to Thee (for 9 cellos) - The Piano Guys,https://www.youtube.com/watch?v=gosY-UrpHcA,Module 4: Classical & Traditional Pieces,4
12036,Music,Instrumental Covers of Popular Songs,,Beethoven's 5 Secrets - OneRepublic - The Piano Guys,https://www.youtube.com/watch?v=mJ_fkw5j-t0,Module 5: The Piano Guys Meet Pop,5
12037,Music,Instrumental Covers of Popular Songs,,The Cello Song - (Bach is back with 7 more cellos) - The Piano Guys,https://www.youtube.com/watch?v=Ry4BzonlVlw,Module 5: The Piano Guys Meet Pop,5
12038,Music,Instrumental Covers of Popular Songs,,Desert Symphony (Southern Utah's Landscape) - The Piano Guys,https://www.youtube.com/watch?v=RQ5ljyGg-ig,Module 6: The Piano Guys in Concert,6
12039,Music,Instrumental Covers of Popular Songs,,Waterfall (Jon Schmidt Original) - The Piano Guys,https://www.youtube.com/watch?v=8P9hAN-teOU,Module 6: The Piano Guys in Concert,6
12040,Music,Instrumental Covers of Popular Songs,,Charlie Brown Medley - The Piano Guys,https://www.youtube.com/watch?v=tyPDQpel8bI,Module 7: Instrumental Worship,7
12041,Music,Instrumental Covers of Popular Songs,,Taylor Swift -- Begin Again (Piano/Cello Cover) The Piano Guys,https://www.youtube.com/watch?v=P94DusN4LsY,Module 7: Instrumental Worship,7
12042,Music,Instrumental Covers of Popular Songs,,Heart of Worship - Instrumental with lyrics,https://www.youtube.com/watch?v=5Pju9ITqLaY,Module 7: Instrumental Worship,7
12043,Music,Instrumental Covers of Popular Songs,,Revelation song - Instrumental with lyrics,https://www.youtube.com/watch?v=o42YvxvSQPU,Module 8: Instrumental Worship with Lyrics,8
12044,Music,Instrumental Covers of Popular Songs,,Healer (instrumental track),https://www.youtube.com/watch?v=y_T26SAg4Dw,Module 8: Instrumental Worship with Lyrics,8
12045,Music,Instrumental Covers of Popular Songs,,Kari Jobe - Steady My Heart - Instrumental with lyrics,https://www.youtube.com/watch?v=Gwg9gK8zhkA,Module 8: Instrumental Worship with Lyrics,8
12046,Music,Instrumental Covers of Popular Songs,,what love is this -  kari jobe ♥ instrumental with lyrics ♥,https://www.youtube.com/watch?v=RgR36i5YFHE,Module 8: Instrumental Worship with Lyrics,8
12047,Music,Instrumental Covers of Popular Songs,,The Piano Guys Love Story meets Viva la Vida,https://www.youtube.com/watch?v=3VhMU5sVtdQ,Module 9: The Piano Guys Mashups,9
