Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
13592,Nonprofit Management,HR Basics,17hrs 3min,HR Basics: Human Resource Management,https://www.youtube.com/watch?v=A2HFusWQIeE,Module 1: Introduction to Human Resources,1
13593,Nonprofit Management,HR Basics,,HR Basics: Employee Recognition,https://www.youtube.com/watch?v=uiufOswSxGI,Module 1: Human Resource Management,1
13594,Nonprofit Management,HR Basics,,HR Basics: Equal Employment Opportunity,https://www.youtube.com/watch?v=3lRjzlnR1i0,Module 1: Organizational Culture,1
13595,Nonprofit Management,HR Basics,,HR Basics: Giving Employee Feedback 2e,https://www.youtube.com/watch?v=3-mv33vrqBs,Module 1: Human Resource Planning,1
13596,Nonprofit Management,HR Basics,,HR Basics: Form I9 2e,https://www.youtube.com/watch?v=k9qf31qvx2s,Module 2: Employee Recognition,2
13597,Nonprofit Management,HR Basics,,HR Basics: Organziational Culture,https://www.youtube.com/watch?v=jJW2RDOAv7k,Module 2: Equal Employment Opportunity,2
13598,Nonprofit Management,HR Basics,,HR Basics: Onboarding 2e,https://www.youtube.com/watch?v=p7ILj-EWZ88,Module 2: Giving Employee Feedback,2
13599,Nonprofit Management,HR Basics,,HR Basics: Workplace Conflict 2e,https://www.youtube.com/watch?v=ayRRyjqFxrA,Module 2: Form I9,2
13600,Nonprofit Management,HR Basics,,HR Basics: Protected Classes 2e,https://www.youtube.com/watch?v=Pjh-JV9jfbw,Module 3: Onboarding,3
13601,Nonprofit Management,HR Basics,,HR Basics: Human Reosurce Ethics 2e,https://www.youtube.com/watch?v=pvtFRY4H1ok,Module 3: Workplace Conflict,3
13602,Nonprofit Management,HR Basics,,HR Basics: Workplace Investigations 2e,https://www.youtube.com/watch?v=tTLA9KJiG2E,Module 3: Protected Classes,3
13603,Nonprofit Management,HR Basics,,HR Basics: Performance Management 2e,https://www.youtube.com/watch?v=RbGBpMDZYf4,Module 3: Human Resource Ethics,3
13604,Nonprofit Management,HR Basics,,HR Basics: Job Evaluation 2e,https://www.youtube.com/watch?v=IMNyyIO-85k,Module 4: Workplace Investigations,4
