Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
4918,Nursing,Patient Education Playlist,1hrs 22min,VARILUX® X SERIES™ BY ESSILOR - BENEFITS,https://www.youtube.com/watch?v=lmD4qKKMI-w,Module 1: Understanding Progressive Lenses,1
4919,Nursing,Patient Education Playlist,,Varilux X Series - A Revolution in Progressive Lenses,https://www.youtube.com/watch?v=N53oqioHouU,Module 1: Understanding Progressive Lenses,1
4920,Nursing,Patient Education Playlist,,ZEISS lenses for your digital life on Lifetime (Access Health),https://www.youtube.com/watch?v=Q-ohxg5Us7o,Module 1: Understanding Progressive Lenses,1
4921,Nursing,Patient Education Playlist,,ZEISS DriveSafe: Protect Your Eyes from Glare,https://www.youtube.com/watch?v=0XWG3ZbfFCA,Module 1: Understanding Progressive Lenses,1
4922,Nursing,Patient Education Playlist,,ZEISS DriveSafe: See the Difference,https://www.youtube.com/watch?v=Kwb7imky9h8,Module 2: ZEISS Lenses & Digital Eye Strain,2
4923,Nursing,Patient Education Playlist,,How to Put in Contacts -- DAILIES TOTAL1® Contact Lenses,https://www.youtube.com/watch?v=45kvj5E7sA4,Module 2: ZEISS Lenses & Digital Eye Strain,2
4924,Nursing,Patient Education Playlist,,How to Take Out Contacts -- DAILIES TOTAL1®  Contact Lenses,https://www.youtube.com/watch?v=kuz87HNV_1Y,Module 2: ZEISS Lenses & Digital Eye Strain,2
4925,Nursing,Patient Education Playlist,,Polarized Sunglasses | What Are the Benefits of Polarized Lenses,https://www.youtube.com/watch?v=vAmAIkNRv_0,Module 3: Contact Lens Basics & Eye Health,3
4926,Nursing,Patient Education Playlist,,Anti-Reflective Coatings on Glasses | What Are The Real Benefits of AR Coatings?,https://www.youtube.com/watch?v=p1FKEwPHKsU,Module 3: Contact Lens Basics & Eye Health,3
4927,Nursing,Patient Education Playlist,,How Macular Degeneration Affects Your Vision - 3D animation,https://www.youtube.com/watch?v=ozZQIZ_52YY,Module 4: Protecting Your Vision,4
4928,Nursing,Patient Education Playlist,,ZEISS DuraVision BlueProtect: Protecting your eyes from dangerous blue-violet light,https://www.youtube.com/watch?v=IB-O7UygO_U,Module 4: Protecting Your Vision,4
4929,Nursing,Patient Education Playlist,,Think About Your Eyes - Seeing is a Gift (Adults),https://www.youtube.com/watch?v=n_vAG2NiK1U,Module 4: Protecting Your Vision,4
4930,Nursing,Patient Education Playlist,,These Eyes Depend On You,https://www.youtube.com/watch?v=z3I3iBqDSKw,Module 5: Eye Health Awareness,5
