Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
4415,Petroleum Engineering,Well logging,105hrs 11min,"Lecture 1 Introduction to Well Logging Well Logging Course at Petroleum Engineering Department, NEDU",https://www.youtube.com/watch?v=zQup9HyyVEQ,Module 1: Introduction to Well Logging,1
4416,Petroleum Engineering,Well logging,,"Lecture 2 Basics of Well Logging Well Logging Course at Petroleum Engineering Department, NEDUET Fai",https://www.youtube.com/watch?v=kgzEsjkVhyY,Module 1: Basics of Well Logging,1
4417,Petroleum Engineering,Well logging,,"Lecture 3 Gamma Ray Log Well Logging Course at Petroleum Engineering Department, NEDUET Faizan Ali",https://www.youtube.com/watch?v=ewHBEANrkxg,Module 1: Gamma Ray Log,1
4418,Petroleum Engineering,Well logging,,Lecture 4 Spectral Gamma ray and Caliper Log Well Logging Course at Petroleum Engineering Department,https://www.youtube.com/watch?v=M4oQec_M2jI,Module 1: Spectral Gamma ray and Caliper Log,1
4419,Petroleum Engineering,Well logging,,"Lecture 5 Basics of Density Log I Well Logging Course at Petroleum Engineering Department, NEDUET Fa",https://www.youtube.com/watch?v=J9a3ZB_w_64,Module 2: Basics of Density Log I,2
4420,Petroleum Engineering,Well logging,,Lecture 6 Density Logging–II and PEF Logging Well Logging Course at Petroleum Engineering Department,https://www.youtube.com/watch?v=W3yxaM-XmX4,Module 2: Density Logging–II and PEF Logging,2
4421,Petroleum Engineering,Well logging,,"Lecture 7 Neutron Log I Well Logging Course at Petroleum Engineering Department, NEDUET Faizan Ali",https://www.youtube.com/watch?v=vaF2FpXmr-w,Module 2: Neutron Log I,2
4422,Petroleum Engineering,Well logging,,"Lecture 8 Neutron Log II Well Logging Course at Petroleum Engineering Department, NEDUET Faizan Ali",https://www.youtube.com/watch?v=JcZUl80f954,Module 2: Neutron Log II,2
4423,Petroleum Engineering,Well logging,,"Lecture 9 Neutron Log III and Sonic Log I Well Logging Course at Petroleum Engineering Department, N",https://www.youtube.com/watch?v=wfXs2-RgAmg,Module 3: Neutron Log III and Sonic Log I,3
4424,Petroleum Engineering,Well logging,,"Lecture 10 Sonic Log–II Well Logging Course at Petroleum Engineering Department, NEDUET Faizan Ali",https://www.youtube.com/watch?v=iXR1ZTrusAc,Module 3: Sonic Log–II,3
4425,Petroleum Engineering,Well logging,,"Lecture 11 SP Spontaneous Potential Log – I Well Logging Course at Petroleum Engineering Department,",https://www.youtube.com/watch?v=iknuW36ACPI,Module 3: SP Spontaneous Potential Log – I,3
4426,Petroleum Engineering,Well logging,,Lecture 12 SP Spontaneous Potential Log– II and Introduction to Resistivity Log Well Logging Course,https://www.youtube.com/watch?v=zTmR84-La1Y,Module 3: SP Spontaneous Potential Log– II and Introduction to Resistivity Log,3
4427,Petroleum Engineering,Well logging,,"Lecture 13 Resistivity Log I Well Logging Course at Petroleum Engineering Department, NEDUET Faizan",https://www.youtube.com/watch?v=Y0dHC3XnT00,Module 4: Resistivity Log I,4
4428,Petroleum Engineering,Well logging,,"Lecture 14 Resistivity Log II Well Logging Course at Petroleum Engineering Department, NEDUET Faizan",https://www.youtube.com/watch?v=q_i6X2yeC7A,Module 4: Resistivity Log II,4
4429,Petroleum Engineering,Well logging,,"Lecture 15 Resistivity Log Interpretation I Well Logging Course at Petroleum Engineering Department,",https://www.youtube.com/watch?v=_WEM9Yhcs60,Module 4: Resistivity Log Interpretation I,4
4430,Petroleum Engineering,Well logging,,Lecture 16 Resistivity Log Interpretation II Well Logging Course at Petroleum Engineering Department,https://www.youtube.com/watch?v=bE6KFiuBjHY,Module 4: Resistivity Log Interpretation II,4
4431,Petroleum Engineering,Well logging,,Lecture 17 Overview of Well Logging Interpretation and Formation Testing Well Logging Course at Petr,https://www.youtube.com/watch?v=xgzeKTUclEI,Module 5: Overview of Well Logging Interpretation and Formation Testing,5
4432,Petroleum Engineering,Well logging,,"Lecture 18 Formation Testing Well Logging Course at Petroleum Engineering Department, NEDUET Faizan",https://www.youtube.com/watch?v=pzH-M6gRwS4,Module 5: Formation Testing,5
4433,Petroleum Engineering,Well logging,,"Lecture 19 Mud Logging and Coring Well Logging Course at Petroleum Engineering Department, NEDUET Fa",https://www.youtube.com/watch?v=1QrXwiFqi_M,Module 5: Mud Logging and Coring,5
4434,Petroleum Engineering,Well logging,,"Lecture 20 Coring and NMR Logging Well Logging Course at Petroleum Engineering Department, NEDUET Fa",https://www.youtube.com/watch?v=tAPB22d9Nuw,Module 5: Coring and NMR Logging,5
