Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
8163,Physics,Physics -  Condensed Matter Physics,72hrs 3min,Mod-01 Lec-01 Principles of Condensed Matter Physics,https://www.youtube.com/watch?v=_Ckh-60B6LY,Module 1: Introduction to Condensed Matter Physics,1
8164,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-2 Symmetry in Perfect Solids,https://www.youtube.com/watch?v=wB7YEqLhiMU,Module 1: Introduction to Condensed Matter Physics,1
8165,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-3 Symmetry in Perfect Solids (Continued),https://www.youtube.com/watch?v=BJizf08ZQOo,Module 1: Introduction to Condensed Matter Physics,1
8166,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-3ex Symmetry in Perfect Solids - Worked Examples,https://www.youtube.com/watch?v=Ov0Ryr45edE,Module 1: Introduction to Condensed Matter Physics,1
8167,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-4 Diffraction Methods For Crystal Structures,https://www.youtube.com/watch?v=z_8aJPLr21E,Module 2: Diffraction and Crystal Properties,2
8168,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-5 Diffraction Methods For Crystal Structures (Continued),https://www.youtube.com/watch?v=mRF98voO5nY,Module 2: Diffraction and Crystal Properties,2
8169,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-5ex Diffraction Methods For Crystal Structures - Worked Examples,https://www.youtube.com/watch?v=-2WS6cjF-l8,Module 2: Diffraction and Crystal Properties,2
8170,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-6 Physical Properties of Crystals,https://www.youtube.com/watch?v=08nTHM6p95g,Module 2: Diffraction and Crystal Properties,2
8171,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-7 Physical Properties of Crystals (Continued),https://www.youtube.com/watch?v=A-U3evUQLVk,Module 3: Free Electron Theory and Thermal Properties,3
8172,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-7ex Physical Properties of Crystals - Worked Examples,https://www.youtube.com/watch?v=AOM463bGAlM,Module 3: Free Electron Theory and Thermal Properties,3
8173,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-8 Cohesion in Solids,https://www.youtube.com/watch?v=LuGqhJsqOag,Module 3: Free Electron Theory and Thermal Properties,3
8174,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-8ex Cohesion in Solids - Worked Examples,https://www.youtube.com/watch?v=h_Vw5vefl_I,Module 3: Free Electron Theory and Thermal Properties,3
8175,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-9 The Free Electron Theory of Metals,https://www.youtube.com/watch?v=L-eOdZFt9BY,Module 4: Phonons and Lattice Vibrations,4
8176,Physics,Physics -  Condensed Matter Physics,,Mod-01Lec-9ex The Free Electron Theory of Metals - Worked Examples,https://www.youtube.com/watch?v=ZhCk45RFJpk,Module 4: Phonons and Lattice Vibrations,4
8177,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-10 The Free Electron Theory of Metals - Electrical Conductivity,https://www.youtube.com/watch?v=G2zgAs5O7I8,Module 4: Phonons and Lattice Vibrations,4
8178,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-10ex The Free Electron Theory of Metals - Electrical Conductivity - Worked Examples,https://www.youtube.com/watch?v=rXunYiVZcF4,Module 4: Phonons and Lattice Vibrations,4
8179,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-11 Thermal Conductivity of Metals,https://www.youtube.com/watch?v=P6fx2oMbf6s,Module 5: Dielectric Properties of Solids,5
8180,Physics,Physics -  Condensed Matter Physics,,Mod-01 Llec-11ex Thermal Conductivity of Metals - Worked Examples,https://www.youtube.com/watch?v=qMcIIIRobpM,Module 5: Dielectric Properties of Solids,5
8181,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-12 The Concept of Phonons,https://www.youtube.com/watch?v=J4CwGFpgt1I,Module 5: Dielectric Properties of Solids,5
8182,Physics,Physics -  Condensed Matter Physics,,"Mod-01 Lec-13 Debye Theory of Specific Heat, Lattice Vibrations",https://www.youtube.com/watch?v=QqYAkuVsqQQ,Module 6: Magnetism I,6
8183,Physics,Physics -  Condensed Matter Physics,,"Mod-01 Lec-13ex Debye Theory of Specific Heat, Lattice Vibrations - Worked Examples",https://www.youtube.com/watch?v=RPusJNXEVMQ,Module 6: Magnetism I,6
8184,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-14 Lattice Vibrations (Continued) Phonon thermal conductivity,https://www.youtube.com/watch?v=kygXzJa7tX4,Module 6: Magnetism I,6
8185,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-14ex Lattice Vibrations (Continued) Phonon Thermal Conductivity - Worked Examples,https://www.youtube.com/watch?v=wYhJMynesug,Module 6: Magnetism I,6
8186,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-15 Anharmonicity and Thermal Expansion,https://www.youtube.com/watch?v=Ny0KKiQI1YQ,Module 6: Magnetism I,6
8187,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-16 Dielectric (Insulating) Solids,https://www.youtube.com/watch?v=etjZmdmrjSU,Module 7: Magnetism II,7
8188,Physics,Physics -  Condensed Matter Physics,,"Mod-01 Lec-17 Dispersion and Absorption of Electromagnetic Waves in Dielectric Media, Ferro",https://www.youtube.com/watch?v=8vmdmFClFC4,Module 7: Magnetism II,7
8189,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-18 Optical Properties of Metals; Ionic Polarization in Alkali Halides; Piezoelectricity,https://www.youtube.com/watch?v=FSwJ2bM0noA,Module 7: Magnetism II,7
8190,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-18ex Dielectric Solids - Worked Examples,https://www.youtube.com/watch?v=CBdrw5znMhg,Module 7: Magnetism II,7
8191,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-19 Dia - and Paramagnetism,https://www.youtube.com/watch?v=DDLljK1ODeg,Module 8: Superconductivity,8
8192,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-20 Paramagnetism of Transition Metal and Rare Earth Ions,https://www.youtube.com/watch?v=IMlc8Fz5k0Y,Module 8: Superconductivity,8
8193,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-21 Quenching of Orbital Angular Momentum; Ferromagnetism,https://www.youtube.com/watch?v=r_gBQ_qhg8U,Module 8: Superconductivity,8
8194,Physics,Physics -  Condensed Matter Physics,,"Mod-01 Lec-22 Exchange Interactions, Magnetic Order, Neutron Diffraction",https://www.youtube.com/watch?v=sJYoLiDbjmQ,Module 8: Superconductivity,8
8195,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-23 Hysteresis and Magnetic Domains; Spin Waves and Magnons,https://www.youtube.com/watch?v=d8q6DzQ7CpU,Module 8: Superconductivity,8
8196,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-24 Magnetic Resonance,https://www.youtube.com/watch?v=lUii0svCOPM,Module 8: Superconductivity,8
8197,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-24ex(C) Magnetism - Worked Examples (Continued),https://www.youtube.com/watch?v=c9GpPMLwjDw,Module 8: Superconductivity,8
8198,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-24ex Magnetism and Magnetic Resonance - Worked Examples,https://www.youtube.com/watch?v=GvlKVtOH7jY,Module 9: Energy Bands and Semiconductors,9
8199,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-25 Pauli Paramagnetism and Landau Diamagnetism,https://www.youtube.com/watch?v=TQwRbxWmMls,Module 9: Energy Bands and Semiconductors,9
8200,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-26 Band Magnetism; Itinerant Electrons; Stoner Model,https://www.youtube.com/watch?v=7ZTqDI9A_gg,Module 9: Energy Bands and Semiconductors,9
8201,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-27 Superconductivity - Perfect Electrical Conductivity and Perfect Diamagnetism,https://www.youtube.com/watch?v=GglT1RoBPzg,Module 9: Energy Bands and Semiconductors,9
8202,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-28 Type I and Type II Superconductors,https://www.youtube.com/watch?v=VHp2Ff5N_bs,Module 10: Defects in Solids,10
8203,Physics,Physics -  Condensed Matter Physics,,"Mod-01 Lec-29 Ginsburg - Landau Theory, Flux Quantization",https://www.youtube.com/watch?v=zqTrFNqHLYs,Module 10: Defects in Solids,10
8204,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-30 Cooper Pairs,https://www.youtube.com/watch?v=qTzgjnwN2EU,Module 10: Defects in Solids,10
8205,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-31 Microscopic (BCS) Theory of Superconductivity,https://www.youtube.com/watch?v=2aSlKff0YYE,Module 10: Defects in Solids,10
8206,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-32 BCS Theory (Continued): Josephson Tunneling: Quantum Interference,https://www.youtube.com/watch?v=WETC7HgOgHo,Module 11: Quantum Phenomena and Conclusion,11
8207,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-33 Josephson Effect (Continued); High Temperature Superconductors,https://www.youtube.com/watch?v=RiqMTYVMg6M,Module 11: Quantum Phenomena and Conclusion,11
8208,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-33ex Superconductors - Worked Examples,https://www.youtube.com/watch?v=J2Ss6URMzqo,Module 11: Quantum Phenomena and Conclusion,11
8209,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-34 Energy Bands in Solids,https://www.youtube.com/watch?v=_5YeWWQ43_M,Module 11: Quantum Phenomena and Conclusion,11
8210,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-35 Electron Dynamics in a Periodic Solid,https://www.youtube.com/watch?v=CV-s7GOOtJo,Module 11: Quantum Phenomena and Conclusion,11
8211,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-36 Semiconductors,https://www.youtube.com/watch?v=8WNKVhrTcmU,Module 11: Quantum Phenomena and Conclusion,11
8212,Physics,Physics -  Condensed Matter Physics,,Mod-01 Lec-37 Semiconductors (Continued),https://www.youtube.com/watch?v=NER2qBZuc7Q,Module 11: Quantum Phenomena and Conclusion,11
