Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
9472,Political Science,Human Rights and Humanitarian Law,0hrs 348min,Meaning and Definition of Human Rights | Humanitarian Law | Human Rights,https://www.youtube.com/watch?v=DB9v5kxfsF0,Module 1: Introduction to Human Rights and Humanitarian Law,1
9473,Political Science,Human Rights and Humanitarian Law,,Characteristics of Human Rights | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=9Vwif3g1XMo,Module 1: Introduction to Human Rights and Humanitarian Law,1
9474,Political Science,Human Rights and Humanitarian Law,,Types of Human Rights | Universal Declaration of Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=9KZi-BGvkck,Module 1: Introduction to Human Rights and Humanitarian Law,1
9475,Political Science,Human Rights and Humanitarian Law,,Types of Human Rights | International Covenants and Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=XknmNqlRAIQ,Module 1: Introduction to Human Rights and Humanitarian Law,1
9476,Political Science,Human Rights and Humanitarian Law,,Types of Human Rights | General Answer | Refer other 2 videos | Humanitarian Law,https://www.youtube.com/watch?v=5Au19OPNqKw,Module 2: Types of Human Rights and International Instruments,2
9477,Political Science,Human Rights and Humanitarian Law,,5 Effective Regional Systems of Human Rights | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=4BaZUoFyfoY,Module 2: Types of Human Rights and International Instruments,2
9478,Political Science,Human Rights and Humanitarian Law,,Pact of San Jose | American System of Implementation of Human Rights | Human Rights Law,https://www.youtube.com/watch?v=sy0LR2I-oOc,Module 2: Types of Human Rights and International Instruments,2
9479,Political Science,Human Rights and Humanitarian Law,,Genocide | Public International Law | Humanitarian Law,https://www.youtube.com/watch?v=U6HV1c_9Ilo,Module 3: Regional Systems of Human Rights,3
9480,Political Science,Human Rights and Humanitarian Law,,European System of Implementation of Human Rights | Commission and Court | Human Rights,https://www.youtube.com/watch?v=S8ZaNPULP7g,Module 3: Regional Systems of Human Rights,3
9481,Political Science,Human Rights and Humanitarian Law,,African System of Human Rights | OAU | Commission | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=3WC4wW5l3WA,Module 3: Regional Systems of Human Rights,3
9482,Political Science,Human Rights and Humanitarian Law,,WRITS | INDIAN CONSTITUTION | CONSTITUTIONAL REMEDIES | INDIAN POLITY | ADMINISTRATION LAW | 5 WRITS,https://www.youtube.com/watch?v=o3Kw4sLd5a4,Module 4: Human Rights in India: Constitutional Remedies and Specific Groups,4
9483,Political Science,Human Rights and Humanitarian Law,,5 WRITS | PART 2 | INDIAN CONSTITUTION | CONSTITUTIONAL REMEDIES | INDIAN POLITY,https://www.youtube.com/watch?v=r6Ae0M9Y55o,Module 4: Human Rights in India: Constitutional Remedies and Specific Groups,4
9484,Political Science,Human Rights and Humanitarian Law,,Human Rights and Women | Video 1 | Global Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=Q0uJEgiLeBk,Module 5: Human Rights and Vulnerable Groups,5
9485,Political Science,Human Rights and Humanitarian Law,,Human Rights and Women | Video 2 | Indian Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=OMJitrtpMyc,Module 5: Human Rights and Vulnerable Groups,5
9486,Political Science,Human Rights and Humanitarian Law,,Human Rights and Children | Video 1 | Global Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=hmpFpQQL1Xg,Module 5: Human Rights and Vulnerable Groups,5
9487,Political Science,Human Rights and Humanitarian Law,,Human Rights and Children | Video 2 | Indian Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=4CfIogo_p8g,Module 5: Human Rights and Vulnerable Groups,5
9488,Political Science,Human Rights and Humanitarian Law,,Human Rights of Disabled Persons | Video 1 | Global Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=QjQad0EAWIQ,Module 5: Human Rights and Vulnerable Groups,5
9489,Political Science,Human Rights and Humanitarian Law,,Human Rights of Disabled Persons | Video 2 | Indian Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=8c7bsfi_lC8,Module 5: Human Rights and Vulnerable Groups,5
9490,Political Science,Human Rights and Humanitarian Law,,Human Rights of Older Persons | Video 1 | Global Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=rvDTGuNqCcY,Module 6: Special Topics in Human Rights and Law,6
9491,Political Science,Human Rights and Humanitarian Law,,Human Rights of Older Persons | Video 2 | Indian Scenario | Human Rights | Humanitarian Law,https://www.youtube.com/watch?v=bDip30HONeY,Module 6: Special Topics in Human Rights and Law,6
9492,Political Science,Human Rights and Humanitarian Law,,"Maintenance of Wives, Children and Parents | Section 125 | CrPC",https://www.youtube.com/watch?v=vOtNP97hojs,Module 6: Special Topics in Human Rights and Law,6
9493,Political Science,Human Rights and Humanitarian Law,,"HOW TO WRITE LAW EXAMS? Strategy for Preparation, Time Management, Long, Short & Problem Solving",https://www.youtube.com/watch?v=DEjepF86jcI,Module 6: Special Topics in Human Rights and Law,6
