Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7156,Project Management,Google Project Management Certificate,18hrs 21min,Intro to Project Management | Google Project Management Certificate,https://www.youtube.com/watch?v=rck3MnC7OXA,Module 1: Introduction to Google Project Management,1
7157,Project Management,Google Project Management Certificate,,Professional Project Management Skills | Google Project Management Certificate,https://www.youtube.com/watch?v=KH-qoTqtMXE,Module 1: Professional Project Management Essentials,1
7158,Project Management,Google Project Management Certificate,,Project Structures & Life Cycles | Google Project Management Certificate,https://www.youtube.com/watch?v=8unOyycCpFs,Module 1: Project Structures and Company Culture,1
7159,Project Management,Google Project Management Certificate,,Finding Project Manager Jobs | Google Project Management Certificate,https://www.youtube.com/watch?v=y7LDaaFeNn4,Module 1: Launching Your Project Management Career,1
7160,Project Management,Google Project Management Certificate,,How Company Culture Affects Project Management | Google Project Management Certificate,https://www.youtube.com/watch?v=f0VcIWJNDAI,Module 2: Effective Project Communication,2
7161,Project Management,Google Project Management Certificate,,How to Run a Successful Meeting | Google Career Certificates,https://www.youtube.com/watch?v=_mxovBWI9m0,Module 2: Project Initiation and Stakeholder Management,2
7162,Project Management,Google Project Management Certificate,,Communicate Effectively as a Project Manager | Google Career Certificates,https://www.youtube.com/watch?v=bQ1fWZBRlLo,Module 2: Setting SMART Goals and Utilizing Resources,2
7163,Project Management,Google Project Management Certificate,,Key Parts of Project Initiation | Google Project Management Certificate,https://www.youtube.com/watch?v=28vZa0qOHkg,Module 2: Risk Management and Project Planning,2
7164,Project Management,Google Project Management Certificate,,Communicating and Working with Stakeholders | Google Project Management Certificate,https://www.youtube.com/watch?v=jz7tPVDwb50,Module 3: Project Planning Fundamentals,3
7165,Project Management,Google Project Management Certificate,,How to Set SMART Goals and Get Results | Google Project Management Certificate,https://www.youtube.com/watch?v=1eiTXSkKFtE,Module 3: Creating a Project Budget,3
7166,Project Management,Google Project Management Certificate,,The Best Resources and Tools to Manage Your Project | Google Project Management Certificate,https://www.youtube.com/watch?v=ZKOwOZBvAzI,Module 3: Leadership and Decision-Making in Projects,3
7167,Project Management,Google Project Management Certificate,,Risk Management Basics | Google Project Management Certificate,https://www.youtube.com/watch?v=kXkVV7PFWgE,Module 3: Quality Management and Project Closure,3
7168,Project Management,Google Project Management Certificate,,The Benefits of Project Planning | Google Project Management Certificate,https://www.youtube.com/watch?v=Yu0sUnulbo4,Module 4: Effective Project Management and Tracking,4
7169,Project Management,Google Project Management Certificate,,Create a Project Communication Plan | Google Project Management Certificate,https://www.youtube.com/watch?v=W_n0GYdW7DM,Module 4: Introduction to Scrum,4
7170,Project Management,Google Project Management Certificate,,Project Planning for Beginners | Google Project Management Certificate,https://www.youtube.com/watch?v=hHPAc0LFfZA,Module 4: Agile and Scrum in Practice,4
7171,Project Management,Google Project Management Certificate,,How to Create a Project Budget | Google Project Management Certificate,https://www.youtube.com/watch?v=lO51qhJWvok,Module 4: The Role of a Scrum Master,4
7172,Project Management,Google Project Management Certificate,,Leadership vs Management In a Successful Team | Google Project Management Certificate,https://www.youtube.com/watch?v=ypLw8he1Xh0,Module 5: Agile Management and Project Closure Report,5
7173,Project Management,Google Project Management Certificate,,Storytelling with Data to Make Decisions | Google Project Management Certificate,https://www.youtube.com/watch?v=4VDRNQ_f4IE,Module 5: Project Planning and Stakeholder Negotiation,5
7174,Project Management,Google Project Management Certificate,,Quality Management and Continuous Improvement | Google Project Management Certificate,https://www.youtube.com/watch?v=QOy2gYuWxSc,Module 5: Project Planning with Google Sheets,5
7175,Project Management,Google Project Management Certificate,,How and When to Close a Project | Google Project Management Certificate,https://www.youtube.com/watch?v=wJ5f7TxcPR0,Module 5: Defining and Achieving Project Success,5
7176,Project Management,Google Project Management Certificate,,Effective Project Management | Google Project Management Certificate,https://www.youtube.com/watch?v=umnB8LJImbI,Module 6: Exploring Project Management,6
7177,Project Management,Google Project Management Certificate,,Project Tracking Methods and Examples | Google Project Management Certificate,https://www.youtube.com/watch?v=oLh8akA7F3I,Module 6: Finding Your Perfect Project Management Role,6
7178,Project Management,Google Project Management Certificate,,What is Scrum? | Google Project Management Certificate,https://www.youtube.com/watch?v=SG_iHptXcKQ,Module 6: Strategies for Finding Project Management Jobs,6
7179,Project Management,Google Project Management Certificate,,Agile and Scrum in the Real World | Google Project Management Certificate,https://www.youtube.com/watch?v=1evfn3qTYGM,Module 7: Agile Methodology: When and How to Use It,7
7180,Project Management,Google Project Management Certificate,,Scrum Master Tutorial | Google Project Management Certificate,https://www.youtube.com/watch?v=eYLf0z3Xhok,Module 7: Blending Methods in Project Management,7
7181,Project Management,Google Project Management Certificate,,Agile Management | Google Project Management Certificate,https://www.youtube.com/watch?v=km7n3DI5IWk,Module 7: Principles of Lean Methodology,7
7182,Project Management,Google Project Management Certificate,,How to Write the Close Out Report | Google Project Management Certificate,https://www.youtube.com/watch?v=WfHpPsOa5Nw,Module 7: Agile Approach: Suitable Projects,7
7183,Project Management,Google Project Management Certificate,,Plan Your Project and Negotiate with Stakeholders | Google Project Management Certificate,https://www.youtube.com/watch?v=eYaVc2puvlY,Module 8: Understanding the Agile Manifesto,8
7184,Project Management,Google Project Management Certificate,,Building Out a Project Plan With Google Sheets | Google Project Management Certificate,https://www.youtube.com/watch?v=GJyiNGP9jyk,Module 8: Introduction to Agile Methodologies,8
7185,Project Management,Google Project Management Certificate,,Determining Your Project's Success | Google Project Management Certificate,https://www.youtube.com/watch?v=NhCZvKxsi_Q,Module 8: Advanced Agile Concepts,8
7186,Project Management,Google Project Management Certificate,,What Is Project Management? | Google Project Management Certificate,https://www.youtube.com/watch?v=ra_XzHuCIIU,Module 8: Agile Best Practices,8
7187,Project Management,Google Project Management Certificate,,How To Find the Perfect Project Management Role | Google Project Management Certificate,https://www.youtube.com/watch?v=GxhK1NnRaPs,Module 9: Project Management Case Studies,9
7188,Project Management,Google Project Management Certificate,,How to Find Project Management Jobs | Google Project Management Certificate,https://www.youtube.com/watch?v=pjkGhNVuMHQ,Module 9: Risk Management in Agile Projects,9
7189,Project Management,Google Project Management Certificate,,When Is Agile Best To Use? | Google Project Management Certificate,https://www.youtube.com/watch?v=ExVAweCZUy0,Module 9: Project Management Tools and Software,9
7190,Project Management,Google Project Management Certificate,,What are Blending Methods in Project Management? | Google Project Management Certificate,https://www.youtube.com/watch?v=ffjIRy2qa-0,Module 9: Continuous Improvement in Project Management,9
7191,Project Management,Google Project Management Certificate,,What Are the 5 Principles of Lean Methodology? | Google Project Management Certificate,https://www.youtube.com/watch?v=RL6jtiKzSzI,Module 10: Capstone Project: Planning and Execution,10
7192,Project Management,Google Project Management Certificate,,What Projects Benefit from an Agile Approach? | Google Project Management Certificate,https://www.youtube.com/watch?v=BgfoOmUPexk,Module 10: Capstone Project: Monitoring and Control,10
7193,Project Management,Google Project Management Certificate,,What is the Agile Manifesto? | Google Project Management Certificate,https://www.youtube.com/watch?v=YmMadDTvoqY,Module 10: Capstone Project: Presentation and Evaluation,10
7194,Project Management,Google Project Management Certificate,,Introduction to Agile Methodologies | Google Project Management Certificate,https://www.youtube.com/watch?v=BaH04m_fS1c,Module 10: Career Resources and Next Steps,10
