Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7315,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",7hrs 4min,PMP Exam INTEGRATION DEEP Process Flows #1,https://www.youtube.com/watch?v=rDAzHnOla3M,Module 1: Introduction to Project Integration Management,1
7316,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,STOP Worrying about PMBOK - Integration SHORTCUT,https://www.youtube.com/watch?v=LinU6SQyC0o,Module 1: PMP Exam INTEGRATION DEEP Process Flows #1,1
7317,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMBOK PLAIN #2 INTEGRATION Basics (PMP In Plain English),https://www.youtube.com/watch?v=1tfq-5nGpwc,Module 1: STOP Worrying about PMBOK - Integration SHORTCUT,1
7318,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,🔥PMP Exam DEEP Study on Project Management (INTEGRATION) 🔥🔥,https://www.youtube.com/watch?v=JF9n0DLfm2k,Module 1: PMBOK PLAIN #2 INTEGRATION Basics (PMP In Plain English),1
7319,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PROCESS GROUP Pentagon - Integration Basics,https://www.youtube.com/watch?v=Ri0_AKqjxrY,Module 2: Deep Dive into Integration Management,2
7320,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP Exam 2021 - AGILE Deep-Thinking in INTEGRATION Management,https://www.youtube.com/watch?v=0Lz_oBSFPFM,Module 2: 🔥PMP Exam DEEP Study on Project Management (INTEGRATION) 🔥🔥,2
7321,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,1.  PMP Journey Integration (1 Minute Summary),https://www.youtube.com/watch?v=BUX_jOVaBsU,Module 2: PROCESS GROUP Pentagon - Integration Basics,2
7322,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP Project Integration Management (PMBOK 2022 Students),https://www.youtube.com/watch?v=QtzUrJxsnio,Module 2: PMP Exam 2021 - AGILE Deep-Thinking in INTEGRATION Management,2
7323,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP: Tackle The BEAST #1: Integration Management Visualization,https://www.youtube.com/watch?v=te-guQt5_FQ,Module 3:  Integration Management in the PMP Context,3
7324,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,🔥🔥PMP Exam Daily Drill #85 - Project Integration Management PMP - Brain Dump 🔥🔥🔥,https://www.youtube.com/watch?v=4qjzoFe5Vks,Module 3: 1.  PMP Journey Integration (1 Minute Summary),3
7325,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,🔥🔥 PMP Exam Integration & Scope - PMBOK Guide BRAINDUMP🔥🔥,https://www.youtube.com/watch?v=ztxzGOQ3gjs,Module 3: PMP Project Integration Management (PMBOK 2022 Students),3
7326,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP Exam Intermediate Integration Questions & Answers,https://www.youtube.com/watch?v=mGbyUDJCBrw,Module 3: PMP: Tackle The BEAST #1: Integration Management Visualization,3
7327,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Brief High-Level Integration Summary,https://www.youtube.com/watch?v=EsXLHsY-Cug,Module 4: PMP Exam Preparation: Integration Management,4
7328,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP EXAM UNIQUE APPROACH: MASTER INTEGRATION IN THE PHILL'S MATRIX - PMBOK DEPTH,https://www.youtube.com/watch?v=tS4T4fYrVIg,Module 4: 🔥🔥PMP Exam Daily Drill #85 - Project Integration Management PMP - Brain Dump 🔥🔥🔥,4
7329,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Resources vs. Integration - Phill's Matrix (PMP Study),https://www.youtube.com/watch?v=hROeMeLj-SI,Module 4: 🔥🔥 PMP Exam Integration & Scope - PMBOK Guide BRAINDUMP🔥🔥,4
7330,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP Fast Facts With Phill: Understanding Integration,https://www.youtube.com/watch?v=zxCVf_iq-Tc,Module 4: PMP Exam Intermediate Integration Questions & Answers,4
7331,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,One Minute Summary INTEGRATION,https://www.youtube.com/watch?v=SgtHXn5_oXI,Module 5: Advanced Concepts in Integration Management,5
7332,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,😲 INTEGRATION!!!! PMP Exam Areas of Concentration (Knowledge Areas - PART2),https://www.youtube.com/watch?v=RmQyAecs9Us,Module 5: Brief High-Level Integration Summary,5
7333,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP Exam/PMBOK Guide Whacky Mnemonics1: Integration Importance,https://www.youtube.com/watch?v=e6a8x10giWg,Module 5: PMP EXAM UNIQUE APPROACH: MASTER INTEGRATION IN THE PHILL'S MATRIX - PMBOK DEPTH,5
7334,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Project Integration Management for the PMP Exam (PMBOK Guide Chapter 4 Intro),https://www.youtube.com/watch?v=_I6RxUYai2I,Module 5: Resources vs. Integration - Phill's Matrix (PMP Study),5
7335,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,👩‍💻PMP Exam Knowledge Area Summary 1 (INTEGRATION MANAGEMENT),https://www.youtube.com/watch?v=SDgMdxQv5Uw,Module 6: Practical Applications of Integration Management ,6
7336,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,INTEGRATION DATAFLOW SUMMARY: PMP EXAM PREP -1,https://www.youtube.com/watch?v=dRVPugMj3uo,Module 6: PMP Fast Facts With Phill: Understanding Integration,6
7337,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Integration Management in 2 Minutes!,https://www.youtube.com/watch?v=RI1jQyOAFIY,Module 6: One Minute Summary INTEGRATION,6
7338,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Integration Management  Lab,https://www.youtube.com/watch?v=JlAG5EMBBM0,Module 6: 😲 INTEGRATION!!!! PMP Exam Areas of Concentration (Knowledge Areas - PART2),6
7339,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Project Integration Management Tips and Tricks - 1,https://www.youtube.com/watch?v=CHogZkbGdjc,Module 7: Case Studies in Integration Management,7
7340,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,Project Integration Management Tips and Tricks - 2,https://www.youtube.com/watch?v=cR74Pg6ezMY,Module 7: PMP Exam/PMBOK Guide Whacky Mnemonics1: Integration Importance,7
7341,Project Management,"PROJECT INTEGRATION MANAGEMENT - In this playlist, explore videos about project integration management for the PMP exam and what it is!",,PMP Exam Discussion: Integration & Musical Harmony,https://www.youtube.com/watch?v=bO04leAbAx0,Module 7: Project Integration Management for the PMP Exam (PMBOK Guide Chapter 4 Intro),7
