Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
6297,Psychology,PSY: P-9 Positive Psychology (e-PGP),0hrs 1623min,Positive psychology: an introduction: part i (PSY),https://www.youtube.com/watch?v=LX7ojAVHiNE,Module 1: Introduction to Positive Psychology,1
6298,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Positive psychology: an introduction: part ii (PSY),https://www.youtube.com/watch?v=REzDJn0An9c,Module 1: Introduction to Positive Psychology,1
6299,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Perspectives on positive psychology: western and eastern (PSY),https://www.youtube.com/watch?v=x6Ko0RZC3vY,Module 1: Introduction to Positive Psychology,1
6300,Psychology,PSY: P-9 Positive Psychology (e-PGP),,The future of positive psychology (PSY),https://www.youtube.com/watch?v=ll-wPeMgaAY,Module 2: Foundations of Well-being,2
6301,Psychology,PSY: P-9 Positive Psychology (e-PGP),,"Character, strengths and virtues (PSY)",https://www.youtube.com/watch?v=HLuTgazidxo,Module 2: Foundations of Well-being,2
6302,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Happiness and well being part i (PSY),https://www.youtube.com/watch?v=pl1WCEf_B1o,Module 2: Foundations of Well-being,2
6303,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Happiness and Well-Being Part II (PSY),https://www.youtube.com/watch?v=68qZ3u5Gao8,Module 2: Foundations of Well-being,2
6304,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Happiness and well-being part iii (PSY),https://www.youtube.com/watch?v=btD-YPp2FG4,Module 3: Cultivating Positive Emotions and Strengths,3
6305,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Positive affect and positive emotions (PSY),https://www.youtube.com/watch?v=SOso-eNe-3o,Module 3: Cultivating Positive Emotions and Strengths,3
6306,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Emotional Intelligence (PSY),https://www.youtube.com/watch?v=_9H9B4Yx7OQ,Module 3: Cultivating Positive Emotions and Strengths,3
6307,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Emotional creativity (PSY),https://www.youtube.com/watch?v=XD19AOsdXns,Module 4: Enhancing Resilience and Personal Growth,4
6308,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Resilience  (PSY),https://www.youtube.com/watch?v=96Q3uK0wUy4,Module 4: Enhancing Resilience and Personal Growth,4
6309,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Self-efficacy (PSY),https://www.youtube.com/watch?v=U0A6hRbh7Yk,Module 4: Enhancing Resilience and Personal Growth,4
6310,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Optimism (PSY),https://www.youtube.com/watch?v=wfUdUG-lPZ4,Module 5: Positive Relationships and Social Connections,5
6311,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Positive affect and positive emotions (PSY),https://www.youtube.com/watch?v=SOso-eNe-3o,Module 5: Positive Relationships and Social Connections,5
6312,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Hope (PSY),https://www.youtube.com/watch?v=ReiK-Rs1nAA,Module 5: Positive Relationships and Social Connections,5
6313,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Wisdom (PSY),https://www.youtube.com/watch?v=TpCe8dLcKng,Module 6: Applications of Positive Psychology,6
6314,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Courage :Positive Psychology  (PSY),https://www.youtube.com/watch?v=jsRNwNKIZtg,Module 6: Applications of Positive Psychology,6
6315,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Flow (PSY),https://www.youtube.com/watch?v=_Tp1WL61MfQ,Module 6: Applications of Positive Psychology,6
6316,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Mindfulness (PSY),https://www.youtube.com/watch?v=yIYJiJNzkCA,Module 6: Applications of Positive Psychology,6
6317,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Goal-setting (PSY),https://www.youtube.com/watch?v=j1XtFx7999k,Module 7: Positive Psychology in Context,7
6318,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Authenticity (PSY),https://www.youtube.com/watch?v=DJEdisp5BVc,Module 7: Positive Psychology in Context,7
6319,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Humility (PSY),https://www.youtube.com/watch?v=VuWhSpwKgdw,Module 7: Positive Psychology in Context,7
6320,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Compassion : Positive Psychology (PSY),https://www.youtube.com/watch?v=V4Ef6wYXNSs,Module 7: Positive Psychology in Context,7
6321,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Forgiveness (PSY),https://www.youtube.com/watch?v=m3-levDojs8,Module 7: Positive Psychology in Context,7
6322,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Gratitude (PSY),https://www.youtube.com/watch?v=l0Z9WsmfSMc,Module 7: Positive Psychology in Context,7
6323,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Empathy and altruism (PSY),https://www.youtube.com/watch?v=YlC4gQT-vu0,Module 7: Positive Psychology in Context,7
6324,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Love and flourishing relationships (PSY),https://www.youtube.com/watch?v=iI0hK1s2t-A,Module 7: Positive Psychology in Context,7
6325,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Coping: an introduction (PSY),https://www.youtube.com/watch?v=eujkB2yGLgk,Module 7: Positive Psychology in Context,7
6326,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Religion and spirituality (PSY),https://www.youtube.com/watch?v=pn1Yx76yPRQ,Module 7: Positive Psychology in Context,7
6327,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Benefit finding and benefit reminding (PSY),https://www.youtube.com/watch?v=EuyfHyPCPOo,Module 7: Positive Psychology in Context,7
6328,Psychology,PSY: P-9 Positive Psychology (e-PGP),,Talking or writing about emotional experiences (PSY),https://www.youtube.com/watch?v=V2ySPAdtaVk,Module 7: Positive Psychology in Context,7
