Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
5690,Public Health,PAHS 303 - Health Service Management,49hrs 15min,"PAHS 303: Health Service Mgt - Session 13: - Org Dyn, Chng and other Contemp Issues in Health Mgt",https://www.youtube.com/watch?v=Lw17Z-_ZlvQ,Module 1: Introduction to Health Service Management,1
5691,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 12: - Human Resource Management for Health,https://www.youtube.com/watch?v=zIBaoxIlPZ8,Module 1: The Changing Environment of Health Service Delivery in Ghana,1
5692,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Mgt -  Session 11: - Resrce and Output Ctrl in the Health Sect,https://www.youtube.com/watch?v=1JHpg4X_GLc,Module 1: Management Process in Healthcare Organizations,1
5693,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 10: - Communication in Health Organisations,https://www.youtube.com/watch?v=jiMJgd5Vsx4,"Module 1: Managerial Skills, Roles and Functions",1
5694,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Mgt- Session 9: - Managerial Ethics and the Exercise of Power and Authority,https://www.youtube.com/watch?v=i4W9aTAt-9Q,Module 2: Managerial Problem Solving and Decision-Making I,2
5695,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 8: - Leadership and Leader Behaviours,https://www.youtube.com/watch?v=qzH8BfnKVhU,Module 2: Managerial Problem Solving and Decision-Making II,2
5696,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 7: - Strategic Management for Health Services,https://www.youtube.com/watch?v=9YZsH-Ee1Gs,Module 2: Strategic Management for Health Services,2
5697,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 6: - Managerial Problem Solving and Decision-Making II,https://www.youtube.com/watch?v=BHCC0-snGC0,Module 3: Leadership and Leader Behaviours,3
5698,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 5: - Managerial Problem Solving and Decision-Making I,https://www.youtube.com/watch?v=XifM78K39O8,Module 3: Managerial Ethics and the Exercise of Power and Authority,3
5699,Public Health,PAHS 303 - Health Service Management,,"PAHS 303: Health Service Management - Session 4: - Managerial Skills, Roles and Functions",https://www.youtube.com/watch?v=HcWQnpztz8I,Module 3: Communication in Health Organisations,3
5700,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session: - Management Process in Healthcare Organizations,https://www.youtube.com/watch?v=f-JJVuadj9Y,Module 4: Resrce and Output Ctrl in the Health Sect,4
5701,Public Health,PAHS 303 - Health Service Management,,PAHS 303: HSM - Session 2: - The Changing Environment of Health Service Delivery in Ghana,https://www.youtube.com/watch?v=Ubv6R6g1wMg,Module 4: Human Resource Management for Health,4
5702,Public Health,PAHS 303 - Health Service Management,,PAHS 303: Health Service Management - Session 1: - Introduction to Health Services Management,https://www.youtube.com/watch?v=f0Trf5kkbN8,"Module 4: Org Dyn, Chng and other Contemp Issues in Health Mgt",4
