Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
8505,Real Estate,Property Management Training Course,4hrs 23min,What is Effective Property Management? Here Is a FREE Course,https://www.youtube.com/watch?v=YYmNt6Clofo,Module 1: Introduction to Property Management,1
8506,Real Estate,Property Management Training Course,,What Does This Course Entails,https://www.youtube.com/watch?v=7qkH-t5ttGc,Module 1: What is Effective Property Management?,1
8507,Real Estate,Property Management Training Course,,Some Weird Expectations,https://www.youtube.com/watch?v=boF2j9Mbl6o,Module 1: What Does This Course Entail?,1
8508,Real Estate,Property Management Training Course,,Types Of Real Estate Available,https://www.youtube.com/watch?v=HMVIj1eaCmY,Module 1: FREE Training Course for Property Management,1
8509,Real Estate,Property Management Training Course,,What is Property Management? Get Your FREE Course Now,https://www.youtube.com/watch?v=BAZs4gI3m_U,Module 2: Types Of Real Estate Available,2
8510,Real Estate,Property Management Training Course,,What Is Good Management,https://www.youtube.com/watch?v=eh4jZ6xxFcQ,Module 2: What is Property Management?,2
8511,Real Estate,Property Management Training Course,,Are You A Long Term Property Owner,https://www.youtube.com/watch?v=2KV66FpnoVs,Module 2: Are You A Long Term Property Owner?,2
8512,Real Estate,Property Management Training Course,,How Much Can I Charge For My Unit,https://www.youtube.com/watch?v=3o95PXefdk4,Module 2: What Is Good Management,2
8513,Real Estate,Property Management Training Course,,How To Increase Rental Income,https://www.youtube.com/watch?v=PN5Vx4QFp7U,Module 3: Financial Strategies for Property Owners,3
8514,Real Estate,Property Management Training Course,,Effective Property Management - Style Uniqueness,https://www.youtube.com/watch?v=LI4rWX0Gqfk,Module 3: How Much Can I Charge For My Unit?,3
8515,Real Estate,Property Management Training Course,,How To Handle Difficult Tenants,https://www.youtube.com/watch?v=RUXpJHigISc,Module 3: How To Increase Rental Income,3
8516,Real Estate,Property Management Training Course,,How to Manage Your Property,https://www.youtube.com/watch?v=CtJPylhQVPs,Module 4: Effective Property Management - Style Uniqueness,4
8517,Real Estate,Property Management Training Course,,How To Prepare Your Property,https://www.youtube.com/watch?v=Cnyp5WHBe8Y,Module 4: How To Handle Difficult Tenants,4
8518,Real Estate,Property Management Training Course,,How To Rent Your Property,https://www.youtube.com/watch?v=hNv9EdnK0CA,Module 5: Managing Your Property,5
8519,Real Estate,Property Management Training Course,,How To Manage Your Time,https://www.youtube.com/watch?v=yKUwgVJOhaI,Module 5: How to Manage Your Property,5
8520,Real Estate,Property Management Training Course,,How To Manage Your Own Rental Property,https://www.youtube.com/watch?v=ppFqqL17L5E,Module 5: How To Prepare Your Property,5
8521,Real Estate,Property Management Training Course,,What Does Property Management Courses Cover?,https://www.youtube.com/watch?v=oA_Wy0h8gFg,Module 5: How To Rent Your Property,5
8522,Real Estate,Property Management Training Course,,"FREE Training Course for Property Management For Property Owners, Estate Agents & Landlords",https://www.youtube.com/watch?v=es23XWZfhKM,Module 6: Time Management for Property Managers,6
8523,Real Estate,Property Management Training Course,,Property Management Training Advanced Course Module 2,https://www.youtube.com/watch?v=iTqd9svkJCc,Module 6: How To Manage Your Time,6
8524,Real Estate,Property Management Training Course,,TIAAN LOMBARD: So het ek Louis Liebenberg se Ponzi oopgevlek,https://www.youtube.com/watch?v=iF01m_e30B4,Module 6: How To Manage Your Own Rental Property,6
