Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
4662,Sports Management,Event Management Series,0hrs 320min,Event Management क्या होता है ? | What is event management ?,https://www.youtube.com/watch?v=4uUHXFrfa8s,Module 1: Introduction to Event Management,1
4663,Sports Management,Event Management Series,,Event कितने types के होते है ? | Types of Event,https://www.youtube.com/watch?v=iJOM5MAE08A,Module 1: Introduction to Event Management,1
4664,Sports Management,Event Management Series,,Career in event management in India | Salary | Qualification | Skill | Event Course | Events Expert,https://www.youtube.com/watch?v=GZ3bHk8fe_o,Module 1: Introduction to Event Management,1
4665,Sports Management,Event Management Series,,"""Wedding Planning Career"" in India | Opportunities for ""Wedding Planner"" | Wedding Planning Tips",https://www.youtube.com/watch?v=An4_3bqJ2Wg,Module 2: Event Planning Fundamentals,2
4666,Sports Management,Event Management Series,,"Best Institute for Event Management | ""Event Management Course"" | Part-time | Full-Time | Yash S",https://www.youtube.com/watch?v=9PaL0uNd8uY,Module 2: Event Planning Fundamentals,2
4667,Sports Management,Event Management Series,,How to make money from events ? Event Management Business से पैसे कैसे कमाए ?,https://www.youtube.com/watch?v=nh1-_JEsWMU,Module 2: Event Planning Fundamentals,2
4668,Sports Management,Event Management Series,,Difference between Conference and Seminar | Conference V/S Seminar | Event Planner Role,https://www.youtube.com/watch?v=xQuBWbOsQ7U,Module 3: Specialized Event Planning,3
4669,Sports Management,Event Management Series,,पूरी जानकारी Product Launch Event Planning के बारे मै | By Events Expert | Plan | Role | Ideas,https://www.youtube.com/watch?v=GiwnRM7bZCs,Module 3: Specialized Event Planning,3
4670,Sports Management,Event Management Series,,How to plan Employee Engagement/Get-Together Event | Corporate Event,https://www.youtube.com/watch?v=44JDfZ3E7UY,Module 3: Specialized Event Planning,3
4671,Sports Management,Event Management Series,,"7 skills to become a ""Successful Event Planner"" | Event Management Series | Events Expert",https://www.youtube.com/watch?v=hls2eICvhSY,Module 4: Event Management Business & Career,4
4672,Sports Management,Event Management Series,,How to plan a flawless event | Events Expert [Event Management Series] | Demo Live Session,https://www.youtube.com/watch?v=pLDgc6EdwlQ,Module 4: Event Management Business & Career,4
4673,Sports Management,Event Management Series,,Event Management Business Success in 2024! | How to Start An Event Management Company?,https://www.youtube.com/watch?v=QxCz3eyvf7o,Module 4: Event Management Business & Career,4
4674,Sports Management,Event Management Series,,"How to plan a perfect Event ? | Bonus ""Event Planning"" Checklist PDF",https://www.youtube.com/watch?v=gNHv5eeeUgc,Module 4: Event Management Business & Career,4
4675,Sports Management,Event Management Series,,Event management course | 2020 | Bonus PDF,https://www.youtube.com/watch?v=it8v22N_lSQ,Module 5: Skills for Success & Future Trends,5
4676,Sports Management,Event Management Series,,"40+ ""Event Management Ideas"" for Career growth in Event Industry",https://www.youtube.com/watch?v=lNbtBVjg6fQ,Module 5: Skills for Success & Future Trends,5
4677,Sports Management,Event Management Series,,Event Technology trends 2020 | Future of Events,https://www.youtube.com/watch?v=22uF8b6BHA4,Module 5: Skills for Success & Future Trends,5
4678,Sports Management,Event Management Series,,How to start a Career in Event Management? Step by Step Detail Guide,https://www.youtube.com/watch?v=MvBKD0uyi3w,Module 6: Legal Aspects & Case Studies,6
4679,Sports Management,Event Management Series,,Event Planning to Event Production - Breaking down complete Process | Event Planning Checklist,https://www.youtube.com/watch?v=xBKAJFx1SEQ,Module 6: Legal Aspects & Case Studies,6
4680,Sports Management,Event Management Series,,Life of an Event Planner | What do Event Planners Do? How do we plan an Event?,https://www.youtube.com/watch?v=oLvSh9FRUkU,Module 6: Legal Aspects & Case Studies,6
4681,Sports Management,Event Management Series,,Event Planners Life | Complete Wedding Behind the Scenes | Day 1 & 2 Vlog,https://www.youtube.com/watch?v=MpoE6tx9wY8,Module 7: Advanced Insights & Career Guidance,7
4682,Sports Management,Event Management Series,,Licenses And Permissions required for conducting Events | Weddings | Yash Solanki,https://www.youtube.com/watch?v=xK5N_Nm1WYM,Module 7: Advanced Insights & Career Guidance,7
4683,Sports Management,Event Management Series,,Everything about Event Management Career | Watch this before getting into Event management,https://www.youtube.com/watch?v=y7fwoBnsOPk,Module 7: Advanced Insights & Career Guidance,7
4684,Sports Management,Event Management Series,,Event Management Interview | Questions & Answers | Tips & Tricks | Ab selection 100% Pakka,https://www.youtube.com/watch?v=lthRqakBPWg,Module 7: Advanced Insights & Career Guidance,7
4685,Sports Management,Event Management Series,,Wedding Planning Business | My 1st Client - Big Fat Wedding | Yash Solanki - Founder Smile Events,https://www.youtube.com/watch?v=jNnQbVMcahI,Module 8: Building Your Event Management Career,8
4686,Sports Management,Event Management Series,,Events Expert: The Event Management Institute | Transform Passion into Profession | Yash Solanki,https://www.youtube.com/watch?v=CaE4LQ8znD8,Module 8: Building Your Event Management Career,8
4687,Sports Management,Event Management Series,,Is Event Management Right Career for you? S.P.A.C.E-F.I.T Method,https://www.youtube.com/watch?v=rDJuTHOZOW8,Module 8: Building Your Event Management Career,8
4688,Sports Management,Event Management Series,,Earn Big in Event Management: From Volunteer to Pro | Full Career Guide - Yash Solanki,https://www.youtube.com/watch?v=D_548Ghx9tM,Module 8: Building Your Event Management Career,8
4689,Sports Management,Event Management Series,,Skyrocket Your Event Planning Business in 4 Years! 🚀 Ultimate Business Roadmap | Yash Solanki,https://www.youtube.com/watch?v=Y4x5uu4XngU,Module 8: Building Your Event Management Career,8
