Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
4793,Sports Management,Sports Economics,0hrs 278min,Introduction to Sports Economics,https://www.youtube.com/watch?v=bT-YcftTF1E,Module 1: Introduction to Sports Economics,1
4794,Sports Management,Sports Economics,,Cost Benefit. Opportunity Cost,https://www.youtube.com/watch?v=jFs76cxrM4c,Module 1: Fundamental Economic Concepts,1
4795,Sports Management,Sports Economics,,The Economics of the Olympics,https://www.youtube.com/watch?v=AC12v-6LwHg,Module 1: The Economics of Mega Events,1
4796,Sports Management,Sports Economics,,Firm Behavior,https://www.youtube.com/watch?v=GIK0dnIl9rc,Module 1: Market Structure and Firm Behavior,1
4797,Sports Management,Sports Economics,,Supply and Demand. Elasticity.,https://www.youtube.com/watch?v=HlxtdnTxBQM,Module 2: Supply and Demand,2
4798,Sports Management,Sports Economics,,Revenue and Strategic Pricing,https://www.youtube.com/watch?v=Fzc--638Rfg,Module 2: Revenue Generation and Pricing Strategies,2
4799,Sports Management,Sports Economics,,The NCAA is a Cartel,https://www.youtube.com/watch?v=KYpbtavsgwk,Module 2: The NCAA and Cartel Behavior,2
4800,Sports Management,Sports Economics,,Local Development,https://www.youtube.com/watch?v=a27U5vm7Siw,Module 2: Economic Impact of Sports,2
4801,Sports Management,Sports Economics,,Competitive Balance Part One,https://www.youtube.com/watch?v=USk2YdMmqJU,Module 3: Competitive Balance in Sports,3
4802,Sports Management,Sports Economics,,Competitive Balance Part Two,https://www.youtube.com/watch?v=5NHKQPHqqCQ,Module 3: Competitive Balance Mechanisms,3
4803,Sports Management,Sports Economics,,Stadiums,https://www.youtube.com/watch?v=o2B-GToCYFA,Module 3: Stadium Economics and Financing,3
4804,Sports Management,Sports Economics,,Stadiums,https://www.youtube.com/watch?v=gipU5ad-fp0,Module 3: Labor Markets in Sports,3
4805,Sports Management,Sports Economics,,Labor Economics in Sports,https://www.youtube.com/watch?v=TrrBZG9K5yc,Module 3: Labor Markets in Sports,3
