Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11203,Statistics,Bayesian statistics: a comprehensive course,22hrs 7min,Bayesian statistics syllabus,https://www.youtube.com/watch?v=U1HbB0ATZ_A,Module 1: Introduction to Bayesian Statistics,1
11204,Statistics,Bayesian statistics: a comprehensive course,,Bayesian vs frequentist statistics,https://www.youtube.com/watch?v=r76oDIvwETI,Module 1: Introduction to Bayesian Statistics,1
11205,Statistics,Bayesian statistics: a comprehensive course,,Bayesian vs frequentist statistics probability - part 1,https://www.youtube.com/watch?v=YsJ4W1k0hUg,Module 1: Introduction to Bayesian Statistics,1
11206,Statistics,Bayesian statistics: a comprehensive course,,Bayesian vs frequentist statistics probability - part 2,https://www.youtube.com/watch?v=XJqOEvzUG38,Module 1: Introduction to Bayesian Statistics,1
11207,Statistics,Bayesian statistics: a comprehensive course,,What is a probability distribution?,https://www.youtube.com/watch?v=jbhi96p4mwI,Module 2: Bayesian vs. Frequentist Statistics,2
11208,Statistics,Bayesian statistics: a comprehensive course,,What is a marginal probability?,https://www.youtube.com/watch?v=r27mouuyFQk,Module 2: Bayesian vs. Frequentist Statistics,2
11209,Statistics,Bayesian statistics: a comprehensive course,,What is a conditional probability?,https://www.youtube.com/watch?v=_Y_xMTTmt-Q,Module 2: Bayesian vs. Frequentist Statistics,2
11210,Statistics,Bayesian statistics: a comprehensive course,,Conditional probability : example breast cancer mammogram part 1,https://www.youtube.com/watch?v=KZBR9g50mjA,Module 2: Bayesian vs. Frequentist Statistics,2
11211,Statistics,Bayesian statistics: a comprehensive course,,Conditional probability : example breast cancer mammogram part 2,https://www.youtube.com/watch?v=-ET69Ny7KCM,Module 3: Probability Concepts,3
11212,Statistics,Bayesian statistics: a comprehensive course,,Conditional probability - Monty Hall problem,https://www.youtube.com/watch?v=i7OY7CZUdIY,Module 3: Probability Concepts,3
11213,Statistics,Bayesian statistics: a comprehensive course,,1 - Marginal probability for continuous variables,https://www.youtube.com/watch?v=du39LqL1yIM,Module 3: Probability Concepts,3
11214,Statistics,Bayesian statistics: a comprehensive course,,2   Conditional probability  continuous rvs,https://www.youtube.com/watch?v=bw0eVV3RxA8,Module 3: Probability Concepts,3
11215,Statistics,Bayesian statistics: a comprehensive course,,A derivation of Bayes' rule,https://www.youtube.com/watch?v=_DsO4ZSYpHU,Module 4: Conditional Probability,4
11216,Statistics,Bayesian statistics: a comprehensive course,,4 - Bayes' rule - an intuitive explanation,https://www.youtube.com/watch?v=EbyUsf_jUjk,Module 4: Conditional Probability,4
11217,Statistics,Bayesian statistics: a comprehensive course,,5 - Bayes' rule in statistics,https://www.youtube.com/watch?v=i567qvWejJA,Module 4: Conditional Probability,4
11218,Statistics,Bayesian statistics: a comprehensive course,,6 - Bayes' rule in inference - likelihood,https://www.youtube.com/watch?v=c69a_viMRQU,Module 5: Introduction to Bayes' Rule,5
11219,Statistics,Bayesian statistics: a comprehensive course,,7   Bayes' rule in inference   the prior and denominator,https://www.youtube.com/watch?v=a5QDDZLGSXY,Module 5: Introduction to Bayes' Rule,5
11220,Statistics,Bayesian statistics: a comprehensive course,,8 - Bayes' rule in inference - example: the posterior distribution,https://www.youtube.com/watch?v=HYq0GFu7JVI,Module 5: Introduction to Bayes' Rule,5
11221,Statistics,Bayesian statistics: a comprehensive course,,9 - Bayes' rule in inference - example: forgetting the denominator,https://www.youtube.com/watch?v=iO9nO8Lp3ZU,Module 5: Introduction to Bayes' Rule,5
11222,Statistics,Bayesian statistics: a comprehensive course,,10 - Bayes' rule in inference - example: graphical intuition,https://www.youtube.com/watch?v=t6eMyQNVlTE,Module 6: Bayes' Rule in Inference,6
11223,Statistics,Bayesian statistics: a comprehensive course,,11 The definition of exchangeability,https://www.youtube.com/watch?v=JXSHVkx2ZQQ,Module 6: Bayes' Rule in Inference,6
11224,Statistics,Bayesian statistics: a comprehensive course,,12 exchangeability and iid,https://www.youtube.com/watch?v=I-3nhxHJsrU,Module 6: Bayes' Rule in Inference,6
11225,Statistics,Bayesian statistics: a comprehensive course,,13   exchangeability  what is its significance?,https://www.youtube.com/watch?v=K-0gtpI0DLA,Module 6: Bayes' Rule in Inference,6
11226,Statistics,Bayesian statistics: a comprehensive course,,14 - Bayes' rule denominator: discrete and continuous,https://www.youtube.com/watch?v=QEzeLh6L9Tg,Module 6: Bayes' Rule in Inference,6
11227,Statistics,Bayesian statistics: a comprehensive course,,15 Bayes' rule: why likelihood is not a probability,https://www.youtube.com/watch?v=sm60vapz2jQ,Module 7: Exchangeability,7
11228,Statistics,Bayesian statistics: a comprehensive course,,15a - Maximum likelihood estimator - short introduction,https://www.youtube.com/watch?v=TaotW-u6eys,Module 7: Exchangeability,7
11229,Statistics,Bayesian statistics: a comprehensive course,,16 Sequential Bayes: Data order invariance,https://www.youtube.com/watch?v=_kmYpqvkKv0,Module 7: Exchangeability,7
11230,Statistics,Bayesian statistics: a comprehensive course,,17 - Conjugate priors - an introduction,https://www.youtube.com/watch?v=r0tRgR74n_g,Module 8: Bayes' Rule Denominator and Likelihood,8
11231,Statistics,Bayesian statistics: a comprehensive course,,18 - Bernoulli and Binomial distributions - an introduction,https://www.youtube.com/watch?v=7mZksQ24MlI,Module 8: Bayes' Rule Denominator and Likelihood,8
11232,Statistics,Bayesian statistics: a comprehensive course,,19 - Beta distribution - an introduction,https://www.youtube.com/watch?v=v1uUgTcInQk,Module 9: Sequential Bayes and Conjugate Priors,9
11233,Statistics,Bayesian statistics: a comprehensive course,,20 - Beta conjugate prior to Binomial and Bernoulli likelihoods,https://www.youtube.com/watch?v=hKYvZF9wXkk,Module 9: Sequential Bayes and Conjugate Priors,9
11234,Statistics,Bayesian statistics: a comprehensive course,,21 - Beta conjugate to Binomial and Bernoulli likelihoods - full proof,https://www.youtube.com/watch?v=e9iTk8G8Ap4,Module 10: Beta Distribution and Conjugate Priors,10
11235,Statistics,Bayesian statistics: a comprehensive course,,22 - Beta conjugate to Binomial and Bernoulli likelihoods - full proof 2,https://www.youtube.com/watch?v=L2abBGHypzo,Module 10: Beta Distribution and Conjugate Priors,10
11236,Statistics,Bayesian statistics: a comprehensive course,,23 - Beta conjugate to Binomial and Bernoulli likelihoods - full proof 3,https://www.youtube.com/watch?v=Thj1NgAfr_k,Module 10: Beta Distribution and Conjugate Priors,10
11237,Statistics,Bayesian statistics: a comprehensive course,,24 - Bayesian inference in practice - posterior distribution: example Disease prevalence,https://www.youtube.com/watch?v=_nhn54l5dis,Module 10: Beta Distribution and Conjugate Priors,10
11238,Statistics,Bayesian statistics: a comprehensive course,,25 - Bayesian inference in practice - Disease prevalence,https://www.youtube.com/watch?v=hKoJUz7fRac,Module 10: Beta Distribution and Conjugate Priors,10
11239,Statistics,Bayesian statistics: a comprehensive course,,26 - Prior and posterior predictive distributions - an introduction,https://www.youtube.com/watch?v=R9NQY2Hyl14,Module 10: Beta Distribution and Conjugate Priors,10
11240,Statistics,Bayesian statistics: a comprehensive course,,27 - Prior predictive distribution: example Disease - 1,https://www.youtube.com/watch?v=DR_sr23C74A,Module 11: Bayesian Inference in Practice,11
11241,Statistics,Bayesian statistics: a comprehensive course,,27 - Prior predictive distribution: example Disease - 2,https://www.youtube.com/watch?v=SY8u4vvwG3A,Module 11: Bayesian Inference in Practice,11
11242,Statistics,Bayesian statistics: a comprehensive course,,29 - Posterior predictive distribution: example Disease,https://www.youtube.com/watch?v=ZL5cv1FiFn4,Module 12: Prior and Posterior Predictive Distributions,12
11243,Statistics,Bayesian statistics: a comprehensive course,,30 - Normal prior and likelihood - known variance,https://www.youtube.com/watch?v=MIAm7eUfMok,Module 12: Prior and Posterior Predictive Distributions,12
11244,Statistics,Bayesian statistics: a comprehensive course,,31 - Normal prior conjugate to normal likelihood - proof 1,https://www.youtube.com/watch?v=MUhsT0U_nxY,Module 12: Prior and Posterior Predictive Distributions,12
11245,Statistics,Bayesian statistics: a comprehensive course,,32 - Normal prior conjugate to normal likelihood - proof 2,https://www.youtube.com/watch?v=OGxHNPYLtko,Module 13: Normal Prior and Likelihood,13
11246,Statistics,Bayesian statistics: a comprehensive course,,33 - Normal prior conjugate to normal likelihood - intuition,https://www.youtube.com/watch?v=f3o9Crx3qx4,Module 13: Normal Prior and Likelihood,13
11247,Statistics,Bayesian statistics: a comprehensive course,,34 - Normal prior and likelihood - prior predictive distribution,https://www.youtube.com/watch?v=RFXjSNvk7YY,Module 13: Normal Prior and Likelihood,13
11248,Statistics,Bayesian statistics: a comprehensive course,,35 - Normal prior and likelihood - posterior predictive distribution,https://www.youtube.com/watch?v=Z55N8kBuMGs,Module 13: Normal Prior and Likelihood,13
11249,Statistics,Bayesian statistics: a comprehensive course,,36 - Population mean test score - normal prior and likelihood,https://www.youtube.com/watch?v=vCLJdwToSy8,Module 13: Normal Prior and Likelihood,13
11250,Statistics,Bayesian statistics: a comprehensive course,,37 - The Poisson distribution - an introduction - 1,https://www.youtube.com/watch?v=KqfEYJVdQmo,Module 14: Poisson and Gamma Distributions,14
11251,Statistics,Bayesian statistics: a comprehensive course,,38 - The Poisson distribution - an introduction - 2,https://www.youtube.com/watch?v=-08mcuZqfEk,Module 14: Poisson and Gamma Distributions,14
11252,Statistics,Bayesian statistics: a comprehensive course,,39 - The gamma distribution - an introduction,https://www.youtube.com/watch?v=J0Yzmb_PY3Y,Module 15: Poisson Model with Gamma Prior,15
11253,Statistics,Bayesian statistics: a comprehensive course,,40 - Poisson model: crime count example introduction,https://www.youtube.com/watch?v=x_cxuu_SahE,Module 15: Poisson Model with Gamma Prior,15
11254,Statistics,Bayesian statistics: a comprehensive course,,41 - Proof: Gamma prior is conjugate to Poisson likelihood,https://www.youtube.com/watch?v=CBFpqjNZXV0,Module 15: Poisson Model with Gamma Prior,15
11255,Statistics,Bayesian statistics: a comprehensive course,,42 - Prior predictive distribution for Gamma prior to Poisson likelihood,https://www.youtube.com/watch?v=0ijaNzRrm98,Module 15: Poisson Model with Gamma Prior,15
11256,Statistics,Bayesian statistics: a comprehensive course,,43 - Prior predictive distribution (a negative binomial) for gamma prior to poisson likelihood 2,https://www.youtube.com/watch?v=k24X9Zda4h4,Module 15: Poisson Model with Gamma Prior,15
11257,Statistics,Bayesian statistics: a comprehensive course,,44 - Posterior predictive distribution a negative binomial for gamma prior to poisson likelihood,https://www.youtube.com/watch?v=iCxrimJzzDo,Module 15: Poisson Model with Gamma Prior,15
