Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11312,Statistics,Introduction to Econometrics,19hrs 9min,Introduction to Econometrics,https://www.youtube.com/watch?v=z09hret40eI,Module 1: Introduction to Econometrics,1
11313,Statistics,Introduction to Econometrics,,Introduction to econometrics and econometric analysis Part - 1,https://www.youtube.com/watch?v=VgwYmSuI5pM,Module 1: Introduction to Econometrics,1
11314,Statistics,Introduction to Econometrics,,Introduction to econometrics and econometric analysis Part - 2,https://www.youtube.com/watch?v=RhaQSE1hfW8,Module 2: Introduction to econometrics and econometric analysis,2
11315,Statistics,Introduction to Econometrics,,Different steps in econometric analysis Part - 1,https://www.youtube.com/watch?v=npzrXs6OzJA,Module 2: Introduction to econometrics and econometric analysis,2
11316,Statistics,Introduction to Econometrics,,Different steps in econometric analysis Part - 2,https://www.youtube.com/watch?v=Nj0bo2v4GgY,Module 3: Different steps in econometric analysis,3
11317,Statistics,Introduction to Econometrics,,Desirable properties of the estimates of the population parameters Part - 1,https://www.youtube.com/watch?v=AXg5udp0WJg,Module 3: Different steps in econometric analysis,3
11318,Statistics,Introduction to Econometrics,,Desirable properties of the estimates of the population parameters Part - 2,https://www.youtube.com/watch?v=4aNG0IFbeJE,Module 4: Desirable properties of the estimates of the population parameters,4
11319,Statistics,Introduction to Econometrics,,Classical Linear Regression Model Part - 1,https://www.youtube.com/watch?v=hOBf11kdhJo,Module 4: Desirable properties of the estimates of the population parameters,4
11320,Statistics,Introduction to Econometrics,,Classical Linear Regression Model Part - 2,https://www.youtube.com/watch?v=ZJay3y_68-Y,Module 5: Classical Linear Regression Model,5
11321,Statistics,Introduction to Econometrics,,Classical Linear Regression Model Part - 3,https://www.youtube.com/watch?v=HL7bMXQnp7Q,Module 5: Classical Linear Regression Model,5
11322,Statistics,Introduction to Econometrics,,Classical Linear Regression Model Part - 4,https://www.youtube.com/watch?v=IBDl-rWv9DQ,Module 5: Classical Linear Regression Model,5
11323,Statistics,Introduction to Econometrics,,Classical Linear Regression Model Part - 5,https://www.youtube.com/watch?v=5EPcCWrFTk8,Module 5: Classical Linear Regression Model,5
11324,Statistics,Introduction to Econometrics,,"Goodness of fit measure, Anova and hypothesis testing Part - 1",https://www.youtube.com/watch?v=MzpyfWsatcQ,Module 6: Classical Linear Regression Model,6
11325,Statistics,Introduction to Econometrics,,"Goodness of fit measure, Anova and hypothesis testing Part - 2",https://www.youtube.com/watch?v=2ndiv_8IpKU,"Module 6: Goodness of fit measure, Anova and hypothesis testing",6
11326,Statistics,Introduction to Econometrics,,"Goodness of fit measure, Anova and hypothesis testing Part - 3",https://www.youtube.com/watch?v=xXbTdFcyIfo,"Module 6: Goodness of fit measure, Anova and hypothesis testing",6
11327,Statistics,Introduction to Econometrics,,"Goodness of fit measure, Anova and hypothesis testing Part - 4",https://www.youtube.com/watch?v=fY3zLdZlf3g,"Module 6: Goodness of fit measure, Anova and hypothesis testing",6
11328,Statistics,Introduction to Econometrics,,"Goodness of fit measure, Anova and hypothesis testing Part - 5",https://www.youtube.com/watch?v=fAO_3dp1UEs,"Module 6: Goodness of fit measure, Anova and hypothesis testing",6
11329,Statistics,Introduction to Econometrics,,Application of STATA for hypothesis testing and introduction to multiple linear regression model,https://www.youtube.com/watch?v=GIIfoNkZUFs,"Module 7: Goodness of fit measure, Anova and hypothesis testing",7
11330,Statistics,Introduction to Econometrics,,Application of STATA for hypothesis testing and introduction to multiple linear regression model,https://www.youtube.com/watch?v=ffV5dhgU1G0,Module 7: Application of STATA for hypothesis testing and introduction to multiple linear regression model,7
11331,Statistics,Introduction to Econometrics,,Application of STATA for hypothesis testing and introduction to multiple linear regression model,https://www.youtube.com/watch?v=uEcT87LtrJU,Module 7: Application of STATA for hypothesis testing and introduction to multiple linear regression model,7
11332,Statistics,Introduction to Econometrics,,Application of STATA for hypothesis testing and introduction to multiple linear regression model,https://www.youtube.com/watch?v=_NMXUVjIoUg,Module 7: Application of STATA for hypothesis testing and introduction to multiple linear regression model,7
11333,Statistics,Introduction to Econometrics,,Application of STATA for hypothesis testing and introduction to multiple linear regression model,https://www.youtube.com/watch?v=DMHw9tkObas,Module 7: Application of STATA for hypothesis testing and introduction to multiple linear regression model,7
11334,Statistics,Introduction to Econometrics,,Multiple linear regression model and application of F statistics Part - 1,https://www.youtube.com/watch?v=CUrZrNqYK5Y,Module 8: Multiple linear regression model and application of F statistics,8
11335,Statistics,Introduction to Econometrics,,Multiple linear regression model and application of F statistics Part - 2,https://www.youtube.com/watch?v=32Zn-1ZUntM,Module 8: Multiple linear regression model and application of F statistics,8
11336,Statistics,Introduction to Econometrics,,Multiple linear regression model and application of F statistics Part - 3,https://www.youtube.com/watch?v=6Tgh3PtiM6U,Module 8: Multiple linear regression model and application of F statistics,8
11337,Statistics,Introduction to Econometrics,,Multiple linear regression model and application of F statistics Part - 4,https://www.youtube.com/watch?v=3eSduzStOMk,Module 8: Multiple linear regression model and application of F statistics,8
11338,Statistics,Introduction to Econometrics,,Multiple linear regression model and application of F statistics Part - 5,https://www.youtube.com/watch?v=FOkGiIqx8l8,Module 9: Multiple linear regression model and application of F statistics,9
11339,Statistics,Introduction to Econometrics,,Multiple linear regression model and application of F statistics Part - 6,https://www.youtube.com/watch?v=55sV58Hlv4c,Module 9: Multiple linear regression model and application of F statistics,9
11340,Statistics,Introduction to Econometrics,,Structural break analysis using Chow test Part - 1,https://www.youtube.com/watch?v=1LbFbLKlzRY,Module 9: Structural break analysis using Chow test,9
11341,Statistics,Introduction to Econometrics,,Structural break analysis using Chow test Part - 2,https://www.youtube.com/watch?v=A1HTnEWtPns,Module 9: Structural break analysis using Chow test,9
11342,Statistics,Introduction to Econometrics,,Structural break analysis using Chow test Part - 3,https://www.youtube.com/watch?v=YXmfXiOYxz4,Module 10: Structural break analysis using Chow test,10
11343,Statistics,Introduction to Econometrics,,Structural break analysis using Chow test Part - 4,https://www.youtube.com/watch?v=shdWo4DzS4I,Module 10: Structural break analysis using Chow test,10
11344,Statistics,Introduction to Econometrics,,Structural break analysis using Chow test Part - 5,https://www.youtube.com/watch?v=mc681M_Bm64,Module 10: Structural break analysis using Chow test,10
11345,Statistics,Introduction to Econometrics,,Dummy Variable analysis and Application of Difference-inDifference for impact evaluation Part - 1,https://www.youtube.com/watch?v=aMPeChbJg9A,Module 11: Dummy Variable analysis and Application of Difference-in-Difference for impact evaluation,11
11346,Statistics,Introduction to Econometrics,,Dummy Variable analysis and Application of Difference-inDifference for impact evaluation Part - 2,https://www.youtube.com/watch?v=FTEqQMKO3PY,Module 11: Dummy Variable analysis and Application of Difference-in-Difference for impact evaluation,11
11347,Statistics,Introduction to Econometrics,,Dummy Variable analysis and Application of Difference-inDifference for impact evaluation Part - 3,https://www.youtube.com/watch?v=ZxcfRgcXAwc,Module 11: Dummy Variable analysis and Application of Difference-in-Difference for impact evaluation,11
11348,Statistics,Introduction to Econometrics,,Dummy Variable analysis and Application of Difference-inDifference for impact evaluation Part - 4,https://www.youtube.com/watch?v=SMs4a49YwEA,Module 11: Dummy Variable analysis and Application of Difference-in-Difference for impact evaluation,11
11349,Statistics,Introduction to Econometrics,,Dummy Variable analysis and Application of Difference-inDifference for impact evaluation Part - 5,https://www.youtube.com/watch?v=9z2NIund52E,Module 12: Dummy Variable analysis and Application of Difference-in-Difference for impact evaluation,12
11350,Statistics,Introduction to Econometrics,,Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations Part - 1,https://www.youtube.com/watch?v=Vkfm0xUCmn8,Module 12: Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations,12
11351,Statistics,Introduction to Econometrics,,Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations Part - 2,https://www.youtube.com/watch?v=FFbE30TNfGY,Module 12: Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations,12
11352,Statistics,Introduction to Econometrics,,Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations Part - 3,https://www.youtube.com/watch?v=jLpZoPxL9QY,Module 12: Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations,12
11353,Statistics,Introduction to Econometrics,,Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations Part - 4,https://www.youtube.com/watch?v=m0ZKRR5JL2c,Module 13: Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations,13
11354,Statistics,Introduction to Econometrics,,Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations Part - 5,https://www.youtube.com/watch?v=2316SO-U8WA,Module 13: Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations,13
11355,Statistics,Introduction to Econometrics,,Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations Part - 6,https://www.youtube.com/watch?v=Fdf8cj2gwHY,Module 13: Statistical analysis of Dummy Variable models and Testing for seasonal fluctuations,13
11356,Statistics,Introduction to Econometrics,,Relaxing the assumptions of CLRM-Multicollinearity and Autocorrelation Part - 1,https://www.youtube.com/watch?v=bnIUW0z9UCs,Module 14: Relaxing the assumptions of CLRM - Multicollinearity and Autocorrelation,14
11357,Statistics,Introduction to Econometrics,,Relaxing the assumptions of CLRM-Multicollinearity and Autocorrelation Part - 2,https://www.youtube.com/watch?v=T__t3N48P9Y,Module 14: Relaxing the assumptions of CLRM - Multicollinearity and Autocorrelation,14
11358,Statistics,Introduction to Econometrics,,Relaxing the assumptions of CLRM-Multicollinearity and Autocorrelation Part - 3,https://www.youtube.com/watch?v=akjT-yMUYDs,Module 14: Relaxing the assumptions of CLRM - Multicollinearity and Autocorrelation,14
11359,Statistics,Introduction to Econometrics,,Relaxing the assumptions of CLRM-Multicollinearity and Autocorrelation Part - 4,https://www.youtube.com/watch?v=xyBoEXjrZ2s,Module 14: Relaxing the assumptions of CLRM - Multicollinearity and Autocorrelation,14
11360,Statistics,Introduction to Econometrics,,Relaxing the assumptions of CLRM-Multicollinearity and Autocorrelation Part - 5,https://www.youtube.com/watch?v=u_2c9QnvVBU,Module 15: Relaxing the assumptions of CLRM - Multicollinearity and Autocorrelation,15
11361,Statistics,Introduction to Econometrics,,Relaxing the assumptions of CLRM-Multicollinearity and Autocorrelation Part - 6,https://www.youtube.com/watch?v=tVTEO_nPUu8,Module 15: Relaxing the assumptions of CLRM - Multicollinearity and Autocorrelation,15
