Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
11384,Statistics,Survival Analysis | Concepts and Implementation in R,23hrs 19min,Survival Analysis Part 1 | What is Censoring?,https://www.youtube.com/watch?v=vX3l36ptrTU,Module 1: Introduction to Survival Analysis,1
11385,Statistics,Survival Analysis | Concepts and Implementation in R,,"Survival Analysis Part 2 | Survival Function, Hazard, & Hazard Ratio",https://www.youtube.com/watch?v=MdmWdIV5k-I,Module 1: Introduction to Survival Analysis,1
11386,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 3 | Kaplan Meier vs. Exponential vs. Cox Proportional Hazards (Pros & Cons),https://www.youtube.com/watch?v=K7bmmbD7KIg,Module 1: Introduction to Survival Analysis,1
11387,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 4 | Kaplan Meier Model,https://www.youtube.com/watch?v=VJPPeUpyC6c,Module 1: Introduction to Survival Analysis,1
11388,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 5 | Kaplan Meier Model in R with RStudio,https://www.youtube.com/watch?v=6_AF9mMuk9E,Module 2: Kaplan-Meier and Exponential Models,2
11389,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 7 | Exponential Model (Intro to Regression Models for Survival),https://www.youtube.com/watch?v=T_goHnU8Eu4,Module 2: Kaplan-Meier and Exponential Models,2
11390,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 8 | Kaplan Meier vs Exponential vs Cox Proportional Hazards (How The Differ),https://www.youtube.com/watch?v=KDpAtrqS39w,Module 2: Kaplan-Meier and Exponential Models,2
11391,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 9 | Cox Proportional Hazards Model,https://www.youtube.com/watch?v=aETMUW_TWV0,Module 3: Cox Proportional Hazards Model,3
11392,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 10 | Model Assumptions for Cox Proportional Hazards Model,https://www.youtube.com/watch?v=QAgtZKpKj9M,Module 3: Cox Proportional Hazards Model,3
11393,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 11 | Cox Proportional Hazards Model in R with RStudio,https://www.youtube.com/watch?v=TrS2M5imOt8,Module 3: Cox Proportional Hazards Model,3
11394,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis Part 12 | Checking Cox PH Model Assumptions in R with RStudio,https://www.youtube.com/watch?v=M1QQ8QQn8Zs,Module 3: Cox Proportional Hazards Model,3
11395,Statistics,Survival Analysis | Concepts and Implementation in R,,Survival Analysis | Statistics for Applied Epidemiology | Tutorial 11,https://www.youtube.com/watch?v=sJPti8Yh4k4,Module 4: Applications and Extensions,4
