Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7021,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,10hrs 8min,What is GIS? An introduction to Geographical Information Systems,https://www.youtube.com/watch?v=AGWbKVp0rWc,Module 1: Introduction to GIS,1
7022,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,GIS Fundamentals: Thematic Maps,https://www.youtube.com/watch?v=nhKd8Fu0y0g,Module 1: Thematic Maps and Geocoding,1
7023,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,"GIS Fundamentals: Geocoding, Geoprocessing, and Online Sharing, Address Geocoding with ArcGIS Online",https://www.youtube.com/watch?v=HpslDrBpo38,Module 1: Geoprocessing and Online Sharing,1
7024,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,CityEngine for Planners 3: Integration and GIS,https://www.youtube.com/watch?v=osHzgs-ufX0,Module 1: GIS for Urban Planning,1
7025,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,WebGIS: Not Just For The Experts,https://www.youtube.com/watch?v=CpI8yR-ESAc,Module 2: WebGIS and Walkability Modeling,2
7026,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,Introduction to GIS: Geographic Information Systems Fundamentals,https://www.youtube.com/watch?v=659CESxEb5U,Module 2: GIS Data Management,2
7027,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,GIS Walkability Modeling,https://www.youtube.com/watch?v=9Jfxj6vUMJc,Module 2: Urban Design with QGIS,2
7028,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,"GIS Essentials: Importing, Selecting, and Managing Data",https://www.youtube.com/watch?v=QPJgExGcd2o,Module 3: QGIS for Neighborhood Centers,3
7029,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,Urban Design for Planners: QGIS - Schools or Commercial Areas as Centers,https://www.youtube.com/watch?v=f9uF9HoVkRw,Module 3: Transects and Buffers in QGIS,3
7030,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,Urban Design for Planners 3 -  QGIS: Connecting Neighborhood Centers,https://www.youtube.com/watch?v=quMSiU2hRBM,Module 3: Geoanalysis with ArcGIS,3
7031,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,Urban Design for Planners 2: Neighborhoods and Transects - Creating Buffers in QGIS,https://www.youtube.com/watch?v=v4jkFfDBamQ,Module 3: Google Earth Applications,3
7032,Urban Planning,GIS Fundamentals: Geographical Information Systems and Urban Planning,,Geoanalysis with ArcGIS and Google Earth,https://www.youtube.com/watch?v=ILaAq19oGaE,Module 3: Advanced GIS Techniques,3
