Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7396,Urban Planning,Introduction to Urban Planning,16hrs 7min,Introduction to  Urban Planning,https://www.youtube.com/watch?v=q_XmlG3CwNk,Module 1: Introduction to Urban Planning,1
7397,Urban Planning,Introduction to Urban Planning,,Lecture 1 : Conceptual Understanding of the Urban Areas,https://www.youtube.com/watch?v=2F0Bdfb1GqY,Module 1: Introduction to Urban Planning,1
7398,Urban Planning,Introduction to Urban Planning,,Lecture 2 : Urbanization and Sustainable Development,https://www.youtube.com/watch?v=vHop5VgamRc,Module 1: Introduction to Urban Planning,1
7399,Urban Planning,Introduction to Urban Planning,,Lecture 3 : Urban Planning and 73-74 Constitution Amendment Acts,https://www.youtube.com/watch?v=j_5GldeUpRg,Module 1: Introduction to Urban Planning,1
7400,Urban Planning,Introduction to Urban Planning,,Lecture 4 : Types and Level of Plans,https://www.youtube.com/watch?v=zuM3u0du_5g,Module 2: Urbanization and Sustainable Development,2
7401,Urban Planning,Introduction to Urban Planning,,Lecture 5 : Regional Plan,https://www.youtube.com/watch?v=K9kst7RAfco,Module 2: Urbanization and Sustainable Development,2
7402,Urban Planning,Introduction to Urban Planning,,Lecture 6: Regional Plan II,https://www.youtube.com/watch?v=Gkq-is4aLcQ,Module 2: Urbanization and Sustainable Development,2
7403,Urban Planning,Introduction to Urban Planning,,Lecture 7: Development Plan I,https://www.youtube.com/watch?v=P4P6bAqq2hk,Module 3: Urban Planning Frameworks,3
7404,Urban Planning,Introduction to Urban Planning,,Lecture 8: Development Plan II (Case Study- Draft Bhopal Development Plan 2031),https://www.youtube.com/watch?v=XcrSwGqdo_U,Module 3: Urban Planning Frameworks,3
7405,Urban Planning,Introduction to Urban Planning,,Lecture 9: Zonal Plan,https://www.youtube.com/watch?v=PJ9gNQBfoOA,Module 3: Urban Planning Frameworks,3
7406,Urban Planning,Introduction to Urban Planning,,Lecture 10: Town Planning Scheme,https://www.youtube.com/watch?v=i8LhbDJf2WU,Module 4: Regional and Development Plans,4
7407,Urban Planning,Introduction to Urban Planning,,Lecture 11: Local Area Plan (Urban Redevelopment Plan),https://www.youtube.com/watch?v=xKT8dOhJ0l0,Module 4: Regional and Development Plans,4
7408,Urban Planning,Introduction to Urban Planning,,Lecture 12: Special Purpose Plan (AMRUT),https://www.youtube.com/watch?v=Wro1z1prkAI,Module 4: Regional and Development Plans,4
7409,Urban Planning,Introduction to Urban Planning,,Lecture 13: Special Purpose Plan (HRIDAY),https://www.youtube.com/watch?v=THGRzmkyjI4,Module 5: Zonal Planning and Schemes,5
7410,Urban Planning,Introduction to Urban Planning,,Lecture 14: Special Purpose Plan (Smart City),https://www.youtube.com/watch?v=0j7X1w4OXhA,Module 5: Zonal Planning and Schemes,5
7411,Urban Planning,Introduction to Urban Planning,,Lecture 15: Perspective Plan (Agenda 2030 SDGs),https://www.youtube.com/watch?v=5yfjj47i0VY,Module 5: Zonal Planning and Schemes,5
7412,Urban Planning,Introduction to Urban Planning,,"Lecture 16: Contextualizing Cities (Egyptian, Mesopotamian, and Indus Valley Civilization)",https://www.youtube.com/watch?v=tkJcY_dpr4g,Module 6: Special Purpose Plans,6
7413,Urban Planning,Introduction to Urban Planning,,Lecture 17: Contextualizing Cities (Vedic Period),https://www.youtube.com/watch?v=WBPE7NVBEik,Module 6: Special Purpose Plans,6
7414,Urban Planning,Introduction to Urban Planning,,Lecture 18: Contextualizing Cities (Greek and Roman),https://www.youtube.com/watch?v=EJVw62u6tAM,Module 6: Special Purpose Plans,6
7415,Urban Planning,Introduction to Urban Planning,,Lecture 19: Contextualizing Cities (Industrial Revolution),https://www.youtube.com/watch?v=UMOcbXxjSVA,Module 7: Perspective Planning and Contextualization,7
7416,Urban Planning,Introduction to Urban Planning,,Lecture 20: Contextualizing Cities (1900-1939),https://www.youtube.com/watch?v=VDWpTdyaZUE,Module 7: Perspective Planning and Contextualization,7
7417,Urban Planning,Introduction to Urban Planning,,Lecture 21: Contextualizing Cities (1940-1979),https://www.youtube.com/watch?v=SMrQ799rkK8,Module 7: Perspective Planning and Contextualization,7
