Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module
9601,Finance,Corporate Finance,123hrs 12min,Introduction to Corporate Finance by CA. Mannu Goyal,https://www.youtube.com/watch?v=FLWG3LgNFPo,Module 1: Introduction to Corporate Finance
9602,Finance,Corporate Finance,,"Evolution of Finance, Role of Finance Mgr., Profit Vs Wealth Maximization by CA. Mannu Goyal",https://www.youtube.com/watch?v=OGF3gEPOA8w,Module 1: Objectives of Financial Management
9603,Finance,Corporate Finance,,"Agency Problem and Costs, Sources of Finance and its Classification by CA. Mannu Goyal",https://www.youtube.com/watch?v=Bfq5mmj-ogc,Module 1: Financial Decisions and Agency Conflicts
9604,Finance,Corporate Finance,,Sources of Finance Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=uha0hqblFsI,Module 1: Sources of Finance
9605,Finance,Corporate Finance,,"International Financing (ADR, GDR, IDR and FCCB) by CA. Mannu Goyal",https://www.youtube.com/watch?v=abYqlVGL9bk,Module 2: International Financing
9606,Finance,Corporate Finance,,"Factors Affecting the choice of the Source of Funds, Equity Shares by CA. Mannu Goyal",https://www.youtube.com/watch?v=Pl38weGOtUI,Module 2: Choosing the Right Source of Funds
9607,Finance,Corporate Finance,,"Types of Share Capital, Right Shares, Bonus Shares, Sweat Equity Shares by CA. Mannu Goyal",https://www.youtube.com/watch?v=zaf-hh8xyyY,Module 2: Equity Shares and Share Capital
9608,Finance,Corporate Finance,,Preference Shares and its Types by CA. Mannu Goyal,https://www.youtube.com/watch?v=O930fRWXIok,Module 2: Preference Shares
9609,Finance,Corporate Finance,,Time Value of Money Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=cnEFYEd8QEk,Module 3: Time Value of Money - Concepts & Applications
9610,Finance,Corporate Finance,,Time Value of Money Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=oY-mmmiD5qA,Module 3: Time Value of Money - Advanced Techniques
9611,Finance,Corporate Finance,,Time Value of Money Part 3 by CA. Mannu Goyal,https://www.youtube.com/watch?v=raFDb0U8D9M,Module 3: Capital Budgeting - Introduction & Techniques
9612,Finance,Corporate Finance,,Capital Budgeting Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=Unjs_BGXI2g,Module 3: Capital Budgeting - Project Evaluation Methods
9613,Finance,Corporate Finance,,Capital Budgeting Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=1QGul81uphk,Module 4: Capital Budgeting - Risk Analysis & Decision Making
9614,Finance,Corporate Finance,,Capital Budgeting Part 3 by CA. Mannu Goyal,https://www.youtube.com/watch?v=GErRiN8Icjg,Module 4: Capital Budgeting - Special Cases and Applications
9615,Finance,Corporate Finance,,Capital Budgeting Part 4 by CA. Mannu Goyal,https://www.youtube.com/watch?v=Wxz6zLpeH8M,Module 4: Capital Structure - Theories and Determinants
9616,Finance,Corporate Finance,,Capital Budgeting Part 5 by CA. Mannu Goyal,https://www.youtube.com/watch?v=r9ZQk0_Xk5Q,Module 4: Capital Structure - Practical Considerations
9617,Finance,Corporate Finance,,Capital Budgeting Part 6 by CA. Mannu Goyal,https://www.youtube.com/watch?v=mHwvLyDi318,Module 5: Working Capital Management - Overview & Techniques
9618,Finance,Corporate Finance,,Capital Budgeting Part 7 by CA. Mannu Goyal,https://www.youtube.com/watch?v=so5x2t2XOrQ,Module 5: Working Capital Management - Cash & Inventory Management
9619,Finance,Corporate Finance,,Capital Budgeting Part 8 by CA. Mannu Goyal,https://www.youtube.com/watch?v=UTeyN6OTuHg,Module 5: Working Capital Management - Receivables Management
9620,Finance,Corporate Finance,,Capital Structure Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=7TGzNW0vSBs,Module 5: Practical Case Studies in Corporate Finance
9621,Finance,Corporate Finance,,Capital Budgeting Part 9 by CA. Mannu Goyal,https://www.youtube.com/watch?v=lv3kou_162s,Module 5: Practical Case Studies in Corporate Finance
9622,Finance,Corporate Finance,,Working Capital Management Part 1 by CA. Mannu Goyal,https://www.youtube.com/watch?v=u2DMk-G8G2U,Module 5: Practical Case Studies in Corporate Finance
9623,Finance,Corporate Finance,,Working Capital Management Part 2 by CA. Mannu Goyal,https://www.youtube.com/watch?v=AjwJot16Oyg,Module 5: Practical Case Studies in Corporate Finance
9624,Finance,Corporate Finance,,Capital Budgeting Part 10 by CA. Mannu Goyal,https://www.youtube.com/watch?v=TiS919_eYbE,Module 5: Practical Case Studies in Corporate Finance
9625,Finance,Corporate Finance,,Time Value of Money Part 4 ( Practical case study) by CA. Mannu Goyal,https://www.youtube.com/watch?v=hOwfvUT678A,Module 5: Practical Case Studies in Corporate Finance
9626,Finance,Corporate Finance,,Corporate Finance Lecture 26,https://www.youtube.com/watch?v=shzdudKPQm4,Module 5: Practical Case Studies in Corporate Finance
