Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
1646,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,17hrs 12min,HMT Lecture-1 Difference between thermodynamics and Heat and mass transfer,https://www.youtube.com/watch?v=qOnGJMw1ea0,Module 1: Introduction to Heat and Mass Transfer,1
1647,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 2 | Modes of heat transfer | Conduction Convection Radiation,https://www.youtube.com/watch?v=jWgEAN1bh9Y,Module 1: Introduction to Heat and Mass Transfer,1
1648,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 3 | Fourier's law of heat conduction | thermal conductivity | Assumptions,https://www.youtube.com/watch?v=46-BU7BfnV4,Module 1: Introduction to Heat and Mass Transfer,1
1649,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 4  Newton's law of cooling Thermal resistance examples,https://www.youtube.com/watch?v=yUJPnvpgaDI,Module 1: Introduction to Heat and Mass Transfer,1
1650,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 5 | Numerical on Fourier's law of heat conduction | Numerical on Fourier's equation,https://www.youtube.com/watch?v=UZKGRfawxmY,Module 2: Steady-State Heat Conduction,2
1651,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 6 | Newton's law of cooling problems and solutions | Numerical,https://www.youtube.com/watch?v=rWguc9NSanA,Module 2: Steady-State Heat Conduction,2
1652,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 7 | Heat conduction equation in cartesian coordinates | Hindi | Fourier's equation,https://www.youtube.com/watch?v=gRThTAjqLeE,Module 2: Steady-State Heat Conduction,2
1653,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 8 | heat conduction equation in cylindrical coordinates | heat conduction analysis,https://www.youtube.com/watch?v=VjSqKmvm4Ro,Module 2: Steady-State Heat Conduction,2
1654,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 9 | Heat conduction equation in spherical coordinates | chapter 2 hindi,https://www.youtube.com/watch?v=rlL79vYT7Ps,Module 2: Steady-State Heat Conduction,2
1655,Mechanical Engineering,Heat and mass transfer #Playlist #hindi #HMT Unit 1 to Unit 5 All Lectures,,HMT Lecture 10 | Heat conduction through plain wall derivation | Heat and mass transfer,https://www.youtube.com/watch?v=PXV4kMTpEIk,Module 2: Steady-State Heat Conduction,2
