Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
1782,Mechanical Engineering,Manufacturing Processes,39hrs 8min,MP1: Conventional Manufacturing processes | Introduction and Classification Manufacturing Processes,https://www.youtube.com/watch?v=YftQGPTMUYs,Module 1: Introduction to Manufacturing Processes,1
1783,Mechanical Engineering,Manufacturing Processes,,"MP2: Casting, Types Of Casting | Metal casting processes and equipment | Manufacturing processes",https://www.youtube.com/watch?v=2J2YzAHsOCU,Module 1: Casting Processes and Principles,1
1784,Mechanical Engineering,Manufacturing Processes,,MP3: Elements of Casting | Metal casting Elements | Manufacturing processes,https://www.youtube.com/watch?v=WGuy5FsxtaQ,Module 1: Casting Defects and Metal Forming Introduction,1
1785,Mechanical Engineering,Manufacturing Processes,,MP4: Heat Transfer and Solidification | Solidification of Casting | Solidification of Pure Metal,https://www.youtube.com/watch?v=Twl1xFFLI_I,Module 1: Metal Forming Analysis and Techniques,1
1786,Mechanical Engineering,Manufacturing Processes,,MP5: Heat Transfer During Solidification and Design of Riser | solidification processes,https://www.youtube.com/watch?v=6uTPBzfPV6M,Module 2: Forging and Rolling Processes,2
1787,Mechanical Engineering,Manufacturing Processes,,MP6: Casting Defects | Residual Stresses | Conventional Manufacturing processes,https://www.youtube.com/watch?v=IAA3kcCLVyg,Module 2: Drawing and Extrusion Processes,2
1788,Mechanical Engineering,Manufacturing Processes,,MP7: Metal Forming | Elastic and Plastic Deformation | Metal Forming Processes Techniques,https://www.youtube.com/watch?v=qoNyxTw6Eys,Module 2: Sheet Metal Forming and Machining Introduction,2
1789,Mechanical Engineering,Manufacturing Processes,,MP8: Yield Criteria in Theory of Plasticity | Von Mises & Trescas Yield Criterion Example,https://www.youtube.com/watch?v=TabmxLdM0fY,Module 2: Chip Formation and Metal Cutting Mechanics,2
1790,Mechanical Engineering,Manufacturing Processes,,MP9:  Forging Process | Types of Forging | Impression Die | Cold | Open Die | Seamless Rolled Ring,https://www.youtube.com/watch?v=4uvrou3qJ5U,Module 3: Metal Cutting Analysis and Optimization,3
1791,Mechanical Engineering,Manufacturing Processes,,"MP10: Rolling Forming Process | Load Estimation for Bulk Forming  Forging,Rolling,Extrusion, Drawing",https://www.youtube.com/watch?v=i-aluEHXi58,Module 3: Metal Cutting Analysis and Optimization,3
1792,Mechanical Engineering,Manufacturing Processes,,MP11: Wire Drawing | Analysis of wire drawing | Analysis and Optimization of Wire Drawing Process,https://www.youtube.com/watch?v=3jEROaVF_yQ,Module 3: Metal Cutting Analysis and Optimization,3
1793,Mechanical Engineering,Manufacturing Processes,,"MP12: Extrusion Process: Working, Types, | Comparing the Different Types of Extrusion Processes",https://www.youtube.com/watch?v=ED1zZh47ELg,Module 3: Metal Cutting Analysis and Optimization,3
1794,Mechanical Engineering,Manufacturing Processes,,MP13: Sheet Metal Forming Process | Deep Drawing Process | Bending Operation in sheet metal,https://www.youtube.com/watch?v=5Hg8ms7DPX4,Module 3: Metal Cutting Analysis and Optimization,3
1795,Mechanical Engineering,Manufacturing Processes,,MP14: Machining or Metal Cutting | Difference Between Orthogonal and Oblique Cutting | Metal Cutting,https://www.youtube.com/watch?v=T-_B2eJOM_w,Module 3: Metal Cutting Analysis and Optimization,3
1796,Mechanical Engineering,Manufacturing Processes,,"MP15: Chip Formation in Metal Cutting | Types of Chip Formation |continuous chip, discontinuous chip",https://www.youtube.com/watch?v=pOeZynan5-U,Module 3: Metal Cutting Analysis and Optimization,3
1797,Mechanical Engineering,Manufacturing Processes,,MP16: Mechanics of Orthogonal Metal Cutting | Merchant's Circle Diagram | Mechanics of Metal Cutting,https://www.youtube.com/watch?v=hqPM5B7R8y8,Module 3: Metal Cutting Analysis and Optimization,3
1798,Mechanical Engineering,Manufacturing Processes,,MP17: Chip Thickness Ratio | Metal Cutting Ratio | Merchant Theory of Metal Cutting,https://www.youtube.com/watch?v=cnbpfV1IEfI,Module 3: Metal Cutting Analysis and Optimization,3
