Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4251,Accounting,Accounting Research,36hrs 19min,Knowledge@ASB - Professor Ray Ball describes groundbreaking research into share price movements,https://www.youtube.com/watch?v=gqe0b17yLoo
4252,Accounting,Accounting Research,,Introduction to Accounting Theory,https://www.youtube.com/watch?v=CfjEVNOXTZg
4253,Accounting,Accounting Research,,Accounting Theory - Final Exam Revision,https://www.youtube.com/watch?v=KvQKxLRKjBM
4254,Accounting,Accounting Research,,Advanced Accounting Theory - Final Revision 2013 Part 2 - Lecture,https://www.youtube.com/watch?v=vfkUi-dN7BU
4255,Accounting,Accounting Research,,IPSASB Conceptual Framework Seminar,https://www.youtube.com/watch?v=oznECNOHkk0
4256,Accounting,Accounting Research,,Theoretical Framework,https://www.youtube.com/watch?v=VkiKK8sj_bs
4257,Accounting,Accounting Research,,Conceptual Frameworks (part 1),https://www.youtube.com/watch?v=guUdGZWgKdw
4258,Accounting,Accounting Research,,Accounting education research,https://www.youtube.com/watch?v=ktCgekIJQ2M
4259,Accounting,Accounting Research,,Accounting Research,https://www.youtube.com/watch?v=bSxHph5ZdLc
4260,Accounting,Accounting Research,,Capitalism and Accounting,https://www.youtube.com/watch?v=OKrzyMksML0
4261,Accounting,Accounting Research,,In Praise of Doubt: Accounting as a Maieutic Machine,https://www.youtube.com/watch?v=Im61jPCAoZE
4262,Accounting,Accounting Research,,Capital Market Research Part 1/2,https://www.youtube.com/watch?v=EaZrur6SgUA
4263,Accounting,Accounting Research,,Behavioural Accounting Research Part 1/2,https://www.youtube.com/watch?v=XdyhZ01Ev1k
4264,Accounting,Accounting Research,,Into to Research Methodology,https://www.youtube.com/watch?v=1LGuNn9Q0bI
4265,Accounting,Accounting Research,,Masters of Finance: Ken Arrow,https://www.youtube.com/watch?v=A2lUzcr0S6M
4266,Accounting,Accounting Research,,Accounting theory textbook,https://www.youtube.com/watch?v=ltgJFELhMIs
4267,Accounting,Accounting Research,,LO 10.1 Explain the critical theorists’ arguments,https://www.youtube.com/watch?v=O9fPjLafkWA
4268,Accounting,Accounting Research,,LO 7.2+3 3 Institutional theory,https://www.youtube.com/watch?v=DAdlXu1ofec
4269,Accounting,Accounting Research,,LO 9.1 Explain how the efficient market hypothesis can explain and predict market behaviour,https://www.youtube.com/watch?v=uxvJ5UNoKNY
4270,Accounting,Accounting Research,,LO 4.3.4: CoCoA,https://www.youtube.com/watch?v=F8fnQXgg0c4
4271,Accounting,Accounting Research,,The Beginner Practice Routine (Piano Lesson),https://www.youtube.com/watch?v=yrgO3R8mgGo
