Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4228,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),37hrs 9min,"meaning of accounting, financial accounting and analysis, aktu mba lectures, aktu mba notes, dwivedi",https://www.youtube.com/watch?v=YwTWaW5uU2I
4229,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"History and Development of Accounting, Financial Accounting NCERT, Accountancy NCERT, 11th, BBA, MBA",https://www.youtube.com/watch?v=58W2k6KEwXM
4230,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"User of Accounting, Objective and Scope, Financial accounting and analysis aktu, aktu mba, bcom etc",https://www.youtube.com/watch?v=Bb6f7zbGEjM
4231,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Basic Accounting terminologies,  financial accounting and analysis aktu, aktu mba, bcom, bba, class",https://www.youtube.com/watch?v=WnQAq4kGXCY
4232,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Accounting Concepts and Conventions, Principles of accounting financial accounting and analysis aktu",https://www.youtube.com/watch?v=Y8yV12bShrI
4233,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Accounting Equation, Meaning, Format, Financial Accounting and Analysis, Accounting Equation ncert,",https://www.youtube.com/watch?v=X1jMLDmAio4
4234,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Depreciation Accounting, Depreciation Meaning, Definition, Example Financial Accounting and analysis",https://www.youtube.com/watch?v=kT3LBbayS7s
4235,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"SLM and WDV, Straight Line, Written Down, Method of Depreciation Accounting, Financial Accounting",https://www.youtube.com/watch?v=muq6LUfLMcs
4236,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Accounting Standards and IFRS, GAAP, Ind AS, International Accounting Standards, IAS, AS, Accounting",https://www.youtube.com/watch?v=lGhlkrpXcgI
4237,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Double Entry System of Accounting, Rules of Debit and Credit, Financial accounting and analysis, mba",https://www.youtube.com/watch?v=H2KNBElBFQ4
4238,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Journal, Ledger, journalizing of transactions, Ledger posting, Financial Accounting and Analysis mba",https://www.youtube.com/watch?v=dm5a4ANPNss
4239,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Trial Balance, Financial accounting and analysis aktu, financial accounting bcom 1st year, bba, mba",https://www.youtube.com/watch?v=jdZSvJrnzYw
4240,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Profit & Loss Account, Preparation of Final Accounts, Format of Profit and Loss Account, Accounting",https://www.youtube.com/watch?v=uDB20GHDo9g
4241,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Balance Sheet format according to companies act 2013, vertical format of balance sheet, Accounting",https://www.youtube.com/watch?v=wMqJvaxQDSw
4242,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Preparation of Cash Flow Statement and its analysis, Financial accounting and analysis aktu, bcom",https://www.youtube.com/watch?v=hUQc-YZeT5g
4243,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Ratio Analysis, liquidity ratio solvency ratio, Financial accounting and analysis aktu mba, bcom 1st",https://www.youtube.com/watch?v=ndp7Dg9qFcA
4244,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Ratio Analysis, profitability, activity ratio, Financial accounting and analysis aktu, bcom 1st year",https://www.youtube.com/watch?v=0ozCKRQgUbE
4245,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Market Capitalization Ratios in hindi, Large cap, Mid Cap, Small Cap, Financial Accounting, Dwivedi",https://www.youtube.com/watch?v=n8Fsn2NG7fo
4246,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"10| Financial Management and Corporate Finance unit 3, Leverage analysis, ebit eps analysis, mba,bba",https://www.youtube.com/watch?v=uiKt9qKBQEc
4247,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Financial Statement, Financial Statement Analysis, Types, Financial and Management Accounting,",https://www.youtube.com/watch?v=5h6nEBUrd3o
4248,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Human Resource Accounting in Hindi, HRA, Financial accounting and Analysis aktu mba, b.com, bba",https://www.youtube.com/watch?v=Kj25kX8LsZs
4249,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Forensic Accounting, Financial accounting and analysis aktu, forensic accountant, function, steps",https://www.youtube.com/watch?v=kPF8OfSSHGM
4250,Accounting,Financial Accounting and Analysis AKTU MBA (Dwivedi Guidance),,"Accounting for corporate social responsibility, financial accounting and analysis aktu mba, bcom 1st",https://www.youtube.com/watch?v=jZ8_nRtYj_s
