Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4164,Accounting,Professional Ethics,33hrs 16min,Origin and Development of Legal Profession in India | Professional Ethics,https://www.youtube.com/watch?v=C14qtxFPqUc
4165,Accounting,Professional Ethics,,Seven Lamps of Advocacy | Professional Ethics,https://www.youtube.com/watch?v=98t3vkSQMWI
4166,Accounting,Professional Ethics,,Panchsheel of the Bar | 5 Qualities of an Advocate | Professional Ethics,https://www.youtube.com/watch?v=xQgkWPO5C4I
4167,Accounting,Professional Ethics,,Ten Commandments of Advocates | Professional Ethics,https://www.youtube.com/watch?v=jaaqkxuxNdw
4168,Accounting,Professional Ethics,,Duties of Advocate to the Client | Professional Ethics,https://www.youtube.com/watch?v=AdX2Ug0lyPE
4169,Accounting,Professional Ethics,,Bar Bench Relationship | Professional Ethics,https://www.youtube.com/watch?v=nXazSWCwSRs
4170,Accounting,Professional Ethics,,Amicus Curiae | Friend of the Court | Professional Ethics,https://www.youtube.com/watch?v=6IAwnS-kZys
4171,Accounting,Professional Ethics,,"Contempt of Court Act, 1971 | Background, Meaning, Object, Parties, Structure | Professional Ethics",https://www.youtube.com/watch?v=YZ5TZNAd_ck
4172,Accounting,Professional Ethics,,"Types and Essentials of Contempt of Court | Civil & Criminal | The Contempt of Court Act, 1971",https://www.youtube.com/watch?v=2VHr8q4cVfo
4173,Accounting,Professional Ethics,,"Defences / Exceptions for Contempt of Court | The Contempt of Court Act, 1971 | Professional Ethics",https://www.youtube.com/watch?v=I5k-gVPAETE
4174,Accounting,Professional Ethics,,"Jurisdiction of Civil Courts | Section 9 | The Code of Civil Procedure, 1908",https://www.youtube.com/watch?v=12gxI2pM5tM
4175,Accounting,Professional Ethics,,"Salient Features of Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=QxRwTffB2lc
4176,Accounting,Professional Ethics,,"Structure of Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=SBtPTH8wqJo
4177,Accounting,Professional Ethics,,"State Bar Council | Functions | Terms | Members | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=bewXgd_kyfQ
4178,Accounting,Professional Ethics,,"Bar Council of India | Constitution and Functions | The Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=FpBlFEvkNRs
4179,Accounting,Professional Ethics,,"Powers of Bar Council of India and State Bar Councils | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=iKijks5UTdc
4180,Accounting,Professional Ethics,,Advocate on Record | Types of Advocates | Advocates on Roll | Professional Ethics,https://www.youtube.com/watch?v=igR7pQKuwTE
4181,Accounting,Professional Ethics,,"Qualifications required to Enroll as an Advocate | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=0posKdkeATI
4182,Accounting,Professional Ethics,,"Disqualifications of an Advocate from enrollment | Advocates Act, 1961 | Professional Ethics",https://www.youtube.com/watch?v=6OwT-FdNOmo
4183,Accounting,Professional Ethics,,Professional Misconduct | Meaning and Case Laws | Professional Ethics,https://www.youtube.com/watch?v=NGUf-QoWKm8
4184,Accounting,Professional Ethics,,"HOW TO WRITE LAW EXAMS? Strategy for Preparation, Time Management, Long, Short & Problem Solving",https://www.youtube.com/watch?v=DEjepF86jcI
