Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
8991,Anthropology,Globalization and Culture,0hrs 1738min,Lecture 01 : Globalization Definition,https://www.youtube.com/watch?v=HH-n8Yrqbk8
8992,Anthropology,Globalization and Culture,,Lecture 02: Global Flows and New Media and Technologies,https://www.youtube.com/watch?v=4QymyPB9yvs
8993,Anthropology,Globalization and Culture,,Lecture 03: Globalization and Nation,https://www.youtube.com/watch?v=xQDM3hmiMHM
8994,Anthropology,Globalization and Culture,,Lecture 04: Rise of Global Capitalism,https://www.youtube.com/watch?v=wSlFEURvRIk
8995,Anthropology,Globalization and Culture,,Lecture 05: Cultural Imperialism,https://www.youtube.com/watch?v=GTHcV1Fz38o
8996,Anthropology,Globalization and Culture,,Lecture 06: Global Monocultures,https://www.youtube.com/watch?v=HKdmA3jSE1o
8997,Anthropology,Globalization and Culture,,Lecture 07: Birth of Asian Kool,https://www.youtube.com/watch?v=BbW4q8qYSao
8998,Anthropology,Globalization and Culture,,Lecture 08: Bhangra Reinvention,https://www.youtube.com/watch?v=FMh1kj96ttA
8999,Anthropology,Globalization and Culture,,Lecture 09: Disorienting Bhangra,https://www.youtube.com/watch?v=056He2lWLYI
9000,Anthropology,Globalization and Culture,,Lecture 10: The Body of Dance,https://www.youtube.com/watch?v=wD93UqsfJQs
9001,Anthropology,Globalization and Culture,,Lecture 11: World Music I : Tabla,https://www.youtube.com/watch?v=iLJOFfUvadg
9002,Anthropology,Globalization and Culture,,Lecture 12: World Music II : Qawwali,https://www.youtube.com/watch?v=ofDN1DTSvbU
