Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7335,Anthropology,Native American & Indigenous Studies Playlist,0hrs 162min,End of the Line — The Women of Standing Rock Trailer,https://www.youtube.com/watch?v=E6oVN_mWLpo
7336,Anthropology,Native American & Indigenous Studies Playlist,,Pearl Means: The Spiritual Essence of the Lakota People,https://www.youtube.com/watch?v=X1v5KXtcFhY
7337,Anthropology,Native American & Indigenous Studies Playlist,,Postindian Warrior: Creating a New Consciousness in Native America,https://www.youtube.com/watch?v=Tx1uvgmXP48
7338,Anthropology,Native American & Indigenous Studies Playlist,,"Rowen White: Clip from ""What Kind of Ancestor Do You Want to Be?"" Conversation in November 2021",https://www.youtube.com/watch?v=FEBwuMmY4Ms
7339,Anthropology,Native American & Indigenous Studies Playlist,,SAND Archives: The Resurgence of Indigenous Wisdom: Lyla June,https://www.youtube.com/watch?v=yCzuQXW06-M
7340,Anthropology,Native American & Indigenous Studies Playlist,,Why Historical Trauma Must Inform American Indian Healthcare,https://www.youtube.com/watch?v=4zfiGdV_WQk
7341,Anthropology,Native American & Indigenous Studies Playlist,,Stan Rushworth Interview,https://www.youtube.com/watch?v=Kir_1mX7OSE
7342,Anthropology,Native American & Indigenous Studies Playlist,,UO Today interview: Leanne Betasamosake Simpson,https://www.youtube.com/watch?v=3vg_7Ar6JsE
7343,Anthropology,Native American & Indigenous Studies Playlist,,Indigenous Peoples in American History [2021/01-17],https://www.youtube.com/watch?v=cZ6RvvfqqJY
7344,Anthropology,Native American & Indigenous Studies Playlist,,"SPPH Voices in Health - April 16, 2020",https://www.youtube.com/watch?v=t7ALJ7viGog
7345,Anthropology,Native American & Indigenous Studies Playlist,,Kahente Horn Miller - Tsi ni tsi wen:a: To Make Alive in the Minds of the People,https://www.youtube.com/watch?v=r4LdcoidMIY
7346,Anthropology,Native American & Indigenous Studies Playlist,,Full Future History Interview - Rematriation,https://www.youtube.com/watch?v=i97IZsVFqiw
7347,Anthropology,Native American & Indigenous Studies Playlist,,Nikki Sanchez: Decolonize Together,https://www.youtube.com/watch?v=sPySao8Rvq4
7348,Anthropology,Native American & Indigenous Studies Playlist,,Missing & Murdered Indigenous Women Day | Symone,https://www.youtube.com/watch?v=ch3kWyMYLCU
7349,Anthropology,Native American & Indigenous Studies Playlist,,Hobiyee Drum Drill,https://www.youtube.com/watch?v=FW3vj4_Uq8Y
7350,Anthropology,Native American & Indigenous Studies Playlist,,Remember,https://www.youtube.com/watch?v=KIBM55W5e_I
7351,Anthropology,Native American & Indigenous Studies Playlist,,Ode in Te Reo Maori - He Mihi Whakamaumahara,https://www.youtube.com/watch?v=rSKnHmf6sGg
7352,Anthropology,Native American & Indigenous Studies Playlist,,Artist Nikau Hindin on Toi Tū Toi Ora: Contemporary Māori Art,https://www.youtube.com/watch?v=jVoQgZzz1co
7353,Anthropology,Native American & Indigenous Studies Playlist,,Unfurling Tākiri with Nikau Gabrielle Hindin,https://www.youtube.com/watch?v=Hptlacp96N0
