Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7813,Architecture,Architectural Conservation And Historic Preservation,68hrs 2min,Lecture 1: Introduction,https://www.youtube.com/watch?v=BbNNjgzG5Jo
7814,Architecture,Architectural Conservation And Historic Preservation,,Lecture 2: Introduction ( Contd.),https://www.youtube.com/watch?v=wHiDxfXMYcs
7815,Architecture,Architectural Conservation And Historic Preservation,,"Lecture 3: Need, Debate and Purpose",https://www.youtube.com/watch?v=BcldSJPpKnU
7816,Architecture,Architectural Conservation And Historic Preservation,,Lecture 4: Heritage Significance and Values,https://www.youtube.com/watch?v=2OpEYAMoPDw
7817,Architecture,Architectural Conservation And Historic Preservation,,Lecture 5: Heritage Significance and Values (Contd.),https://www.youtube.com/watch?v=tr3aClXP0_s
7818,Architecture,Architectural Conservation And Historic Preservation,,Lecture 6 : Assessing Heritage Values & Significance,https://www.youtube.com/watch?v=aP4Jf1wZw3Q
7819,Architecture,Architectural Conservation And Historic Preservation,,Lecture 7 : Heritage Values & Significance (Contd.),https://www.youtube.com/watch?v=D1kXPvACiqc
7820,Architecture,Architectural Conservation And Historic Preservation,,Lecture 8 : Assessing Heritage Significance Concept & Process,https://www.youtube.com/watch?v=4tu-1K2w-6Q
7821,Architecture,Architectural Conservation And Historic Preservation,,Lecture 9 : Assessing Heritage Significance Concept & Process (Contd.),https://www.youtube.com/watch?v=zbwFKAr4XZ8
7822,Architecture,Architectural Conservation And Historic Preservation,,Lecture 10: Divergent Approaches for Managing and Rehabilitating Heritage Properties : Degrees of In,https://www.youtube.com/watch?v=Ttf3YzIUdwU
7823,Architecture,Architectural Conservation And Historic Preservation,,Lecture 11 : Divergent Approaches for Managing and Rehabilitating Heritage Properties : Degrees of I,https://www.youtube.com/watch?v=uOBX5uconng
7824,Architecture,Architectural Conservation And Historic Preservation,,Lecture 12 : Divergent Approaches for Managing and Rehabilitating Heritage Properties : Degrees of I,https://www.youtube.com/watch?v=MrUuqvGoh5I
7825,Architecture,Architectural Conservation And Historic Preservation,,Lecture 13 : Ethics of Conservation,https://www.youtube.com/watch?v=lKlCcjx2fG4
