Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7657,Architecture,Introduction to building tech,43hrs 4min,1-01 Introduction to building technology,https://www.youtube.com/watch?v=K1k9_qOtD2E
7658,Architecture,Introduction to building tech,,1-02 Location and why it's important,https://www.youtube.com/watch?v=SJUDAwTKgGI
7659,Architecture,Introduction to building tech,,1-03 Orientation in Architectural design,https://www.youtube.com/watch?v=ZaLP4n8a4d4
7660,Architecture,Introduction to building tech,,1-04 Site Analysis for Architectural design students,https://www.youtube.com/watch?v=EQLeEHma6a0
7661,Architecture,Introduction to building tech,,1-05 Regulations in Architectural design,https://www.youtube.com/watch?v=KDjjIS11XvM
7662,Architecture,Introduction to building tech,,1-06 Basic Structural principles in Architectural design,https://www.youtube.com/watch?v=4eUAzn328v0
7663,Architecture,Introduction to building tech,,1-07 Structural Systems in Architectural design,https://www.youtube.com/watch?v=7g5Fgdv2ats
7664,Architecture,Introduction to building tech,,1-08 Timber frame history,https://www.youtube.com/watch?v=pUnuVsui4r0
7665,Architecture,Introduction to building tech,,1-09 Platform frame construction,https://www.youtube.com/watch?v=iU2t_tAPxOQ
7666,Architecture,Introduction to building tech,,1-10 Ground bearing floor,https://www.youtube.com/watch?v=_xMkbCEQIYw
7667,Architecture,Introduction to building tech,,1-11 Suspended floor,https://www.youtube.com/watch?v=vocOJEu3slo
7668,Architecture,Introduction to building tech,,1-12 Basic Strip foundations,https://www.youtube.com/watch?v=Q1AQ7lkhKLo
7669,Architecture,Introduction to building tech,,1-13 Building envelope,https://www.youtube.com/watch?v=uD59eIjMfQs
7670,Architecture,Introduction to building tech,,1-14 Heat Loss in Architectural design,https://www.youtube.com/watch?v=ni6Ws7bmoqA
7671,Architecture,Introduction to building tech,,1-15 Vapour control in Architectural design,https://www.youtube.com/watch?v=Nl6xNFT-3vE
7672,Architecture,Introduction to building tech,,1-16 Insulation for buildings,https://www.youtube.com/watch?v=59pM3zeaU2k
7673,Architecture,Introduction to building tech,,1-17 Breather membranes,https://www.youtube.com/watch?v=a8bKvfYw7Ms
7674,Architecture,Introduction to building tech,,1-18 Roof Construction,https://www.youtube.com/watch?v=RmjIftvCqws
7675,Architecture,Introduction to building tech,,1-19 Roof Details,https://www.youtube.com/watch?v=nnWQRl7fD_Q
7676,Architecture,Introduction to building tech,,1-20 Cladding,https://www.youtube.com/watch?v=GhfmUWNVBCg
7677,Architecture,Introduction to building tech,,1-21 Services General,https://www.youtube.com/watch?v=h9Gc2lIWtzo
7678,Architecture,Introduction to building tech,,1-22 More domestic services,https://www.youtube.com/watch?v=OJBcdBkDVnM
