Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12049,Artificial Intelligence,Artificial Intelligence (AI) in Education,21hrs 3min,Khanmigo for teachers,https://www.youtube.com/watch?v=TuoWM2vc_a0
12050,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Teaching Math with Khanmigo,https://www.youtube.com/watch?v=4s46U9_eIXg
12051,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Teaching Science with Khanmigo,https://www.youtube.com/watch?v=Ak-1MtnbzUg
12052,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Teaching ELA with Khanmigo,https://www.youtube.com/watch?v=pLw4oG5JNN0
12053,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Teaching Social Studies with Khanmigo,https://www.youtube.com/watch?v=NpoN-H7i1pA
12054,Artificial Intelligence,Artificial Intelligence (AI) in Education,,"Sal Khan on the importance of free, high-quality AI tools for teachers & district leaders",https://www.youtube.com/watch?v=BbslbG2ReLE
12055,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Text to Speech,https://www.youtube.com/watch?v=M2oH7VdQnho
12056,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Unlocking the Power of Creativity and AI: Preparing Students for the Future Workforce,https://www.youtube.com/watch?v=otOfe7MkFHE
12057,Artificial Intelligence,Artificial Intelligence (AI) in Education,,FocusMode,https://www.youtube.com/watch?v=MgE3nkFcBZU
12058,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Recommendations,https://www.youtube.com/watch?v=Wehp-EBj-a8
12059,Artificial Intelligence,Artificial Intelligence (AI) in Education,,AI for ELA with Khan Academy,https://www.youtube.com/watch?v=5RlrzSAEUqs
12060,Artificial Intelligence,Artificial Intelligence (AI) in Education,,A chat with MLK on #MLKDay,https://www.youtube.com/watch?v=fVsmH-L7FUM
12061,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Boost Your College Apps with AI: Meet Khanmigo!,https://www.youtube.com/watch?v=yNT2Ys_DnnE
12062,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Try this AI for college admissions! #collegeapplications,https://www.youtube.com/watch?v=i1S7SXncwQo
12063,Artificial Intelligence,Artificial Intelligence (AI) in Education,,7 Principles for AI in Education: Part 1 of 2,https://www.youtube.com/watch?v=AVeyN5058NE
12064,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Setting AI Policies for your School Districts: Part 2 of 2,https://www.youtube.com/watch?v=SAO1R595DBw
12065,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Create a Newsletter,https://www.youtube.com/watch?v=312851EChgQ
12066,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Lesson Planning with Khanmigo Webinar,https://www.youtube.com/watch?v=3czGAcC8XHU
12067,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Khanmigo Teacher Story - Ms. Bartsch,https://www.youtube.com/watch?v=UveN1NLMGPs
12068,Artificial Intelligence,Artificial Intelligence (AI) in Education,,AMA with Sal Khan on AI + Education,https://www.youtube.com/watch?v=rO6OVLt-puo
12069,Artificial Intelligence,Artificial Intelligence (AI) in Education,,"Teachers, learn how to save 5 hours per week with Khanmigo! | Lesson planning tools for teachers",https://www.youtube.com/watch?v=3xlE2hgx8bk
12070,Artificial Intelligence,Artificial Intelligence (AI) in Education,,Personalized Stories Starring Your Kids: Khanmigo's Craft a Story! | Bedtime stories for kids,https://www.youtube.com/watch?v=a5Kz8XnnyQQ
