Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11719,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,24hrs 6min,"ITU INTW @ GSR-18: Dr URS GASSER, Professor, Harvard; ED, Berkman Klein Center",https://www.youtube.com/watch?v=joWP_nXrsOI
11720,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Dr. Janina Loh on How to Assign Responsibility if AI Goes Bad,https://www.youtube.com/watch?v=9GpGbl0daLY
11721,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Dr. Janina Loh on the Dystopian/Utopian Visions for AI,https://www.youtube.com/watch?v=JbEaRPYxqA0
11722,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Dr. Sandra Wachter on Autonomous Vehicles and Risks to Privacy,https://www.youtube.com/watch?v=WZfV22YHdIU
11723,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,María Paz Canales on Embedding Human Rights into AI,https://www.youtube.com/watch?v=Pv4AkAsFyJg
11724,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Mark Surman on How the Open Source Movement Can Light the Way for Ethical and Inclusive AI,https://www.youtube.com/watch?v=suBqUfux-Mg
11725,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Honoring All Expertise: Social Responsibility and Ethics in Tech,https://www.youtube.com/watch?v=lKpx4IHmfkY
11726,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Mimi Onuoha on How the Arts Help Us Understand Our Relationship With Technology,https://www.youtube.com/watch?v=_JJ6Oj_u-Qw
11727,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,"""Nobody's Listening"": an Exploration of AI and the Future of Secrets",https://www.youtube.com/watch?v=O-ZvhEFAjaM
11728,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,"The Accuracy, Fairness, and Limits of Predicting Recidivism",https://www.youtube.com/watch?v=G0OE8p-fc10
11729,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Davar Ardalan on Using AI to Shape News and Culture for Positive Impact,https://www.youtube.com/watch?v=3LoWsdzJIZ8
11730,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,"Edmond Awad on Crowdsourced ""Programming"" of Ethics in Self-Driving Cars",https://www.youtube.com/watch?v=shlTn7swxNI
11731,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Chris Bavitz on Algorithmic Bias and Criminal Justice,https://www.youtube.com/watch?v=kytZpVRNnHo
11732,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Carlos Affonso on the Impact of AI,https://www.youtube.com/watch?v=OwWRa8P7GW4
11733,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Javier Pallero on Transparency and AI,https://www.youtube.com/watch?v=5mI_9FsfaEI
11734,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Micaela Mantegna on Algorithmic Awareness,https://www.youtube.com/watch?v=gntn4o2kET0
11735,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Nagla Rizk on the Importance of Inclusion in AI,https://www.youtube.com/watch?v=lFifHc-nk5k
11736,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Andres Lombana-Bermudez on Global Economic Disparity and AI,https://www.youtube.com/watch?v=0gpa7ZdNrpw
11737,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,AI in 120 seconds: Ronaldo Lemos on Inclusive Processes for AI Regulation,https://www.youtube.com/watch?v=DpE8Pw2kfDo
11738,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,AI in 60 Seconds: Hans Micklitz on Regulating Algorithmic Discrimination,https://www.youtube.com/watch?v=TBZBBI1_a3U
11739,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,"Programming the Future of AI: Ethics, Governance, and Justice",https://www.youtube.com/watch?v=3m3wdzz2nHA
11740,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Ethan Zuckerman on the Larger Issues of AI and Bias.,https://www.youtube.com/watch?v=HoFXBIT_WeA
11741,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Leah Plunkett on How AI Can Help Public School Students,https://www.youtube.com/watch?v=N7aC4De6NyA
11742,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Mary Madden on Algorithmic Bias in College Admissions,https://www.youtube.com/watch?v=PsdjdrsAfl8
11743,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Nadya Peek on AI Democratization,https://www.youtube.com/watch?v=6ducm1kWAc8
11744,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Sasha Costanza-Chock on Eliminating Bias From AI Systems,https://www.youtube.com/watch?v=-pMbqe3dNOM
11745,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,"Skhathisomusa ""Scotty"" Mthembu on How to Describe the Complex Challenge of AI",https://www.youtube.com/watch?v=kcnyGMwgsgg
11746,Artificial Intelligence,Ethics & Governance of Artificial Intelligence,,Vikash Mansinghka on Key AI Challenges,https://www.youtube.com/watch?v=TEIOjdjBZKs
