Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1536,Automotive Engineering,AUTOMOTIVE ELECTRONICS,38hrs 2min,Sem-7_EC_AE_Session 1_Introduction,https://www.youtube.com/watch?v=tyP97QbrsEI
1537,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,Sem-7_EC_AE_Session 2_Need for Electronics in Automobile,https://www.youtube.com/watch?v=6aVyHD_iiNU
1538,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,Sem-7_EC_AE_Session 3_Motivation for electronic engine control,https://www.youtube.com/watch?v=5OfxuSi3WlU
1539,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,Sem-7_EC_AE_Session 4_Engine Performance Terms,https://www.youtube.com/watch?v=tNEFU-I_4FM
1540,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 5 Effect of Air/Fuel Ratio on Performance, Effect of Spark Timing on Performance",https://www.youtube.com/watch?v=hFrhmhE7aag
1541,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem-7_EC_AE_Session 6_Electronic Fuel control System, Electronic Ignition, Idle Speed Control",https://www.youtube.com/watch?v=4Godh_7gW8g
1542,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 7 Airflow Rate Sensor, Manifold absolute pressure sensor",https://www.youtube.com/watch?v=IvyCfxBT5HQ
1543,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 8 Engine Crankshaft Angular Position Sensor, Throttle Angle Sensor",https://www.youtube.com/watch?v=AI9EDc_bJA0
1544,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 9 Temperature Sensors, Exhaust gas oxygen sensor, Knock Sensor",https://www.youtube.com/watch?v=uKLBVY1Ta2E
1545,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 10 Fuel Injector Actuator, EGR Valve Actuator",https://www.youtube.com/watch?v=c9Qp4QW9zs8
1546,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 11 Variable Valve Timing (VVT), Idle speed control",https://www.youtube.com/watch?v=uP07Bkw1iAE
1547,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 12 Cruise Control, Throttle Actuator",https://www.youtube.com/watch?v=_NmMLJo5nqc
1548,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 13 Anti-Lock Braking System, Electronic Suspension System",https://www.youtube.com/watch?v=gffi2MHLjJQ
1549,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 14 Power steering, Four wheel steering, On-Board Diagnostics (OBD)",https://www.youtube.com/watch?v=xfigCquhzV4
1550,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 15 Automotive alarms, Automotive lighting",https://www.youtube.com/watch?v=LruNW282uug
1551,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem 7 EC AE Session 16 Central locking, Electric window, Climate control",https://www.youtube.com/watch?v=_lZ6XX_Gyis
1552,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem-7_EC_AE_Session 17_Driver information, Parking system, Occupant Protection Systems",https://www.youtube.com/watch?v=0I5ttyhBaVc
1553,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem-7_EC_AE_Session 18_Vehicle Battery, Alternator",https://www.youtube.com/watch?v=Rm5wmFJG84s
1554,Automotive Engineering,AUTOMOTIVE ELECTRONICS,,"Sem-7_EC_AE_Session 19_Electrical circuits and wiring in vehicles, Vehicle Communication Buses",https://www.youtube.com/watch?v=aMsHzUOEG0k
