Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1849,Automotive Engineering,Noise Vibration Harshness,63hrs 2min,PicoScope NVH episode 1: An introduction,https://www.youtube.com/watch?v=CLVVFoX1nIE
1850,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 2: The theory of NVH,https://www.youtube.com/watch?v=mEGWeym8Q4A
1851,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 3: NVH setup,https://www.youtube.com/watch?v=gQQlhpcmy50
1852,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 4: Working with NVH,https://www.youtube.com/watch?v=gWI4h4rCKdg
1853,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 5: NVH Time Domain,https://www.youtube.com/watch?v=Hb2CAvJ-H6c
1854,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 6: NVH noise and sound analysis,https://www.youtube.com/watch?v=c47XsGLMGVU
1855,Automotive Engineering,Noise Vibration Harshness,,PicoScope NVH episode 7: NVH case studies,https://www.youtube.com/watch?v=BYU6tEAJSp8
1856,Automotive Engineering,Noise Vibration Harshness,,Finding the cause of a cabin vibration with the PicoScope function generator,https://www.youtube.com/watch?v=SCuwReAWIGw
1857,Automotive Engineering,Noise Vibration Harshness,,NVH - Noise Vibration and Harshness,https://www.youtube.com/watch?v=XU-g5USWl2s
1858,Automotive Engineering,Noise Vibration Harshness,,NVH: Using Multiple Sensor Mode | PicoScope Automotive,https://www.youtube.com/watch?v=kLcSib7TWpM
1859,Automotive Engineering,Noise Vibration Harshness,,Pico NVH Cabin noise detection procedure,https://www.youtube.com/watch?v=9XiYl1-LthA
