Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
6263,Biotechnology,Microbial Biotechnology,76hrs 3min,What is downstream processing used for the purification of fermentation product?,https://www.youtube.com/watch?v=n5usKgWZwbU
6264,Biotechnology,Microbial Biotechnology,,What is sterilization and contamination | Physical and chemical methods of sterilization,https://www.youtube.com/watch?v=KqeOc7HQqFI
6265,Biotechnology,Microbial Biotechnology,,"Isolation, Screening, and Strain improvement of industrial microbes",https://www.youtube.com/watch?v=QRItTCQVAb4
6266,Biotechnology,Microbial Biotechnology,,Types of Fermentation and Fermenters,https://www.youtube.com/watch?v=MFQ6FjV4gCQ
6267,Biotechnology,Microbial Biotechnology,,What is microbial growth & nutrition | Microbial growth media & it's types | Microbial growth curve,https://www.youtube.com/watch?v=5JjCPTczKi4
6268,Biotechnology,Microbial Biotechnology,,Construction of Airlift fermenter or bioreactor,https://www.youtube.com/watch?v=YGR9FvSfIek
6269,Biotechnology,Microbial Biotechnology,,MCQs of Microbial Biotechnology - Part 1 | Microbiology quiz | MCQs of Microbiology,https://www.youtube.com/watch?v=KtKmGaXemU8
6270,Biotechnology,Microbial Biotechnology,,Production of single cell proteins,https://www.youtube.com/watch?v=Z1EudFO3b6w
6271,Biotechnology,Microbial Biotechnology,,How to produce amylase and protease enzymes using microorganisms,https://www.youtube.com/watch?v=l9nN-nPZ_RY
6272,Biotechnology,Microbial Biotechnology,,Beer production,https://www.youtube.com/watch?v=I_W_RZMHVng
6273,Biotechnology,Microbial Biotechnology,,Biodegradation of xenobiotic compounds,https://www.youtube.com/watch?v=A_e7JB1pwkU
6274,Biotechnology,Microbial Biotechnology,,Sewage waste water treatment technique | Activated sludge system | Trickling filter,https://www.youtube.com/watch?v=X63ExIPS6nI
6275,Biotechnology,Microbial Biotechnology,,Production of ethanol or ethyl alcohol,https://www.youtube.com/watch?v=oPZqgIJKAcY
6276,Biotechnology,Microbial Biotechnology,,Wine production process and recovery of wine,https://www.youtube.com/watch?v=-Ht4lpohaTw
6277,Biotechnology,Microbial Biotechnology,,Development of genetically engineered microbes,https://www.youtube.com/watch?v=_oo5PdAmA74
6278,Biotechnology,Microbial Biotechnology,,Applications of genetically engineered microbes in Medicine and Agriculture,https://www.youtube.com/watch?v=-y5hd454zEI
6279,Biotechnology,Microbial Biotechnology,,Citric acid production,https://www.youtube.com/watch?v=od4oeeUUfHw
6280,Biotechnology,Microbial Biotechnology,,Biogas production process | Microbes and substrates used in biogas production,https://www.youtube.com/watch?v=fyFywirDlBk
6281,Biotechnology,Microbial Biotechnology,,Trickling filter used for sewage waste water treatment,https://www.youtube.com/watch?v=2YqDNxxBkQ8
6282,Biotechnology,Microbial Biotechnology,,Activated sludge system used in sewage waste water treatment,https://www.youtube.com/watch?v=T5C4rCtFk00
6283,Biotechnology,Microbial Biotechnology,,Important abbreviations in microbiology,https://www.youtube.com/watch?v=YqAGBER65dw
6284,Biotechnology,Microbial Biotechnology,,What are biofertilizers | Types and importance of biofertilizers,https://www.youtube.com/watch?v=kWp0MxO6bg4
6285,Biotechnology,Microbial Biotechnology,,Bioinsecticides and their types,https://www.youtube.com/watch?v=h5gO59tIgzw
6286,Biotechnology,Microbial Biotechnology,,"Preservation of microorganisms | Cryopreservation, Lyophilization, Agar slants and Saline suspension",https://www.youtube.com/watch?v=7Kj1F0sxZiI
6287,Biotechnology,Microbial Biotechnology,,Microbial growth curve | Phases of growth curve,https://www.youtube.com/watch?v=SxT58PFDmSg
6288,Biotechnology,Microbial Biotechnology,,"Isolation of microorganisms | Streak, Spread and Pour plate technique",https://www.youtube.com/watch?v=svjnNuv7-jk
6289,Biotechnology,Microbial Biotechnology,,What is enrichment culture technique?,https://www.youtube.com/watch?v=ow41nh2Epys
6290,Biotechnology,Microbial Biotechnology,,Penicillin production and it's recovery,https://www.youtube.com/watch?v=xppW_aIEpnw
6291,Biotechnology,Microbial Biotechnology,,"Biomining & Bioleaching | Biomining of copper, gold and uranium.",https://www.youtube.com/watch?v=ZttqIA1MRbU
6292,Biotechnology,Microbial Biotechnology,,Xanthan gum production and it's recovery,https://www.youtube.com/watch?v=nV_jEd7yM9c
6293,Biotechnology,Microbial Biotechnology,,"Steroid biotransformation |  Procedure, examples and advantages of steroid biotransformation",https://www.youtube.com/watch?v=iZ7Q0rOlaYs
6294,Biotechnology,Microbial Biotechnology,,Glutamic acid production and it's recovery,https://www.youtube.com/watch?v=cykPAlKGrJY
6295,Biotechnology,Microbial Biotechnology,,"Bioherbicides and their commercial examples viz devine, collego & biomal",https://www.youtube.com/watch?v=B0YYexOCfcI
6296,Biotechnology,Microbial Biotechnology,,Vitamin B12 production and it's recovery,https://www.youtube.com/watch?v=zk6jlnehgTE
6297,Biotechnology,Microbial Biotechnology,,Polyhydroxyalkonates production | Polyhydroxybutyrates production | Bioplastic production,https://www.youtube.com/watch?v=C82J5uzs0VM
6298,Biotechnology,Microbial Biotechnology,,Biocontrol agents for diseases control and their mode of action | Advantages of biocontrol agents,https://www.youtube.com/watch?v=B0yNrmRRbMc
6299,Biotechnology,Microbial Biotechnology,,Quantification of microbial growth | Techniques for assessment of microbial growth,https://www.youtube.com/watch?v=YV0LDAzLbY8
6300,Biotechnology,Microbial Biotechnology,,Industrially important microbes and their products,https://www.youtube.com/watch?v=Mn8SVCJrMDM
6301,Biotechnology,Microbial Biotechnology,,Basic design and parts of fermenter or bioreactor,https://www.youtube.com/watch?v=NAhfgJoZV_E
6302,Biotechnology,Microbial Biotechnology,,Examples of gram negative and gram positive bacteria,https://www.youtube.com/watch?v=7nBwd_JawiI
6303,Biotechnology,Microbial Biotechnology,,Strain improvement of important microorganisms | Mutant selection | Recombination | RDT,https://www.youtube.com/watch?v=DALMsnnft5I
6304,Biotechnology,Microbial Biotechnology,,Bergmann's plating technique of single cell culture | Filter paper Raft nurse tissue technique,https://www.youtube.com/watch?v=aGPE-N2OU0I
6305,Biotechnology,Microbial Biotechnology,,Biotechnology lab safety rules | Biology or science lab safety guidelines,https://www.youtube.com/watch?v=X3j08HOvwwA
6306,Biotechnology,Microbial Biotechnology,,Contamination and its types | Biological and chemical contamination | Biotechnology,https://www.youtube.com/watch?v=QpRGojQMBUU
6307,Biotechnology,Microbial Biotechnology,,"Bioleaching of Copper, Gold, Uranium and Cobalt | Biomining of heavy metals | Microbial bioleaching",https://www.youtube.com/watch?v=wxxPC-2x2pI
