Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1733,Business Administration,All Business Law Videos,52hrs 10min,Essentials of valid contract | indian contract act 1872 | elements of contract | contract meaning,https://www.youtube.com/watch?v=2Ev7ozO8crI
1734,Business Administration,All Business Law Videos,,Agreement vs Contract | agreement and contract | difference between agreement and contract,https://www.youtube.com/watch?v=1m_X0eWSTsA
1735,Business Administration,All Business Law Videos,,Types of agreement | types of agreement in hindi | kinds of agreement,https://www.youtube.com/watch?v=p4C_rM5XExY
1736,Business Administration,All Business Law Videos,,Void vs Voidable contract | Void and illegal agreement | void vs voidable | void contract,https://www.youtube.com/watch?v=6KwSD68C--E
1737,Business Administration,All Business Law Videos,,All Contracts are Agreement but all Agreements are not Contract | balfour vs balfour case,https://www.youtube.com/watch?v=b9zJFaKr7h0
1738,Business Administration,All Business Law Videos,,Offer and its essentials | essentials of a valid offer | legal rules of offer,https://www.youtube.com/watch?v=Kbsf4NvPzI4
1739,Business Administration,All Business Law Videos,,Lapse of an Offer | lapse of offer indian contract act,https://www.youtube.com/watch?v=t_gSa_nOh2E
1740,Business Administration,All Business Law Videos,,Rules of Acceptance in contract law | legal rules of acceptance | Acceptance in hindi | Famous Cases,https://www.youtube.com/watch?v=RVdMz_xWNlg
1741,Business Administration,All Business Law Videos,,Consideration and its Essential Elements | Consideration Contract law | Consideration CA Foundation,https://www.youtube.com/watch?v=4tE5hLwvy10
1742,Business Administration,All Business Law Videos,,No Consideration No Contract | Exceptions to No Consideration No Contract | no consideration,https://www.youtube.com/watch?v=e7RNlaRtESw
1743,Business Administration,All Business Law Videos,,Auction Sale as per Sale of Goods Act 1930 | Sale by Auction in Hindi | CMA Foundation,https://www.youtube.com/watch?v=Lk2PmzvZumg
1744,Business Administration,All Business Law Videos,,Types of Contract | Types of Contract CA Foundation | Types of Contract in Indian Contract Act 1872,https://www.youtube.com/watch?v=pjlZipitt2o
1745,Business Administration,All Business Law Videos,,Doctrine of Privity of Contract | Stranger to Contract & its Exceptions | Stranger to Consideration,https://www.youtube.com/watch?v=zXAsIjfVf3s
1746,Business Administration,All Business Law Videos,,Discharge of Contract | Discharge of contract Indian Contract Act 1872 | in Hindi | CA Foundation,https://www.youtube.com/watch?v=s8Bhmg4hyVo
1747,Business Administration,All Business Law Videos,,Business Law Important Questions for B.com 2022 | Business Law important questions,https://www.youtube.com/watch?v=kLOX3m2zH3M
1748,Business Administration,All Business Law Videos,,Remedies for Breach of Contract | CA Foundation | Remedies for Breach of Contract in Hindi,https://www.youtube.com/watch?v=zyBBjvm16SY
1749,Business Administration,All Business Law Videos,,Types of Agent in Contract Law | kinds of Agents in Contract of Agency |Classification of Agents,https://www.youtube.com/watch?v=4zgwa_KPXGE
1750,Business Administration,All Business Law Videos,,Capacity to Contract | Capacity of Parties | Capacity of Parties under  Contract Act 1872,https://www.youtube.com/watch?v=aDusqskXi5s
1751,Business Administration,All Business Law Videos,,"Minor Agreement under Indian Contract Act ,1872 | Legal Position of Minor in Contract | Minor",https://www.youtube.com/watch?v=m3ufFNY26r0
1752,Business Administration,All Business Law Videos,,Types of Damages in Breach of Contract | Kinds of Damages in Breach of Contract | In Hindi,https://www.youtube.com/watch?v=XxTrnt7uJVk
1753,Business Administration,All Business Law Videos,,Free Consent Indian Contract Act | Free Consent Business Law | Free Consent | CA Foundation|in Hindi,https://www.youtube.com/watch?v=bZSOFDoQU4M
1754,Business Administration,All Business Law Videos,,Legality of Object and Consideration | Unlawful Consideration and Object | in Hindi | CA Foundation,https://www.youtube.com/watch?v=az3hb7XnO1Y
1755,Business Administration,All Business Law Videos,,Contract of Indemnity | Rights of Indemnity holder | Rights of Indemnifier | Ca Foundation |in Hindi,https://www.youtube.com/watch?v=rAg0akbpH94
1756,Business Administration,All Business Law Videos,,Contract of Guarantee | Difference between Contract of Indemnity and Contract of Guarantee| CA Inter,https://www.youtube.com/watch?v=rYx36SUyV4c
1757,Business Administration,All Business Law Videos,,Void Agreements Contract Act 1872 | Agreements Expressly declared Void | in Hindi | CA Foundation,https://www.youtube.com/watch?v=yIsdadKR91E
1758,Business Administration,All Business Law Videos,,Law Paper Presentation Tips | How to Write Law Paper | CA Foundation | B.Com,https://www.youtube.com/watch?v=a8H7xIqaf-E
1759,Business Administration,All Business Law Videos,,Continuing Guarantee | Specific Guarantee | Revocation or Termination of Continuing Guarantee |,https://www.youtube.com/watch?v=68sBUWUw9Fs
1760,Business Administration,All Business Law Videos,,Quasi Contract | Quasi Contract in Hindi| Types of Quasi Contract| CA Foundation| CA Inter |,https://www.youtube.com/watch?v=6J87a1smVPY
1761,Business Administration,All Business Law Videos,,Contract of Bailment | Essential Elements of Bailment | Bailment in Contract Act | in Hindi|CA Inter,https://www.youtube.com/watch?v=0YtiRN1xgvY
1762,Business Administration,All Business Law Videos,,Rights and Duties of Bailor and Bailee | Termination of Contract of Bailment | Bailment Part 2,https://www.youtube.com/watch?v=gv7bBClb7M4
1763,Business Administration,All Business Law Videos,,Sale by Non Owner under Sale of Goods Act | Nemo Dat Quod Non Habet & it's Exceptions | in Hindi,https://www.youtube.com/watch?v=7t7DqLzKV44
1764,Business Administration,All Business Law Videos,,Consumer Protection Act 1986 & 2019 | Rights of Consumer | Consumer Protection Councils | CS  | CA,https://www.youtube.com/watch?v=pRQqxHqXwgA
1765,Business Administration,All Business Law Videos,,Unpaid Seller | Rights of Unpaid Seller in Sale of Goods Act 1930 | CA CPT | CS | CMA Foundation,https://www.youtube.com/watch?v=ZDq2VcosIyU
1766,Business Administration,All Business Law Videos,,Difference Between Sale and Agreement to Sell|Sale vs Agreement to Sell|CA CPT | CS & CMA Foundation,https://www.youtube.com/watch?v=DiR_7Tm0a6k
1767,Business Administration,All Business Law Videos,,"Condition and Warranty under Sale of Goods Act, 1930",https://www.youtube.com/watch?v=XeDriGP8QVc
1768,Business Administration,All Business Law Videos,,Performance of Contract in Indian Contract Act 1872 (Part 1) |CA Foundation |Tender & its Essentials,https://www.youtube.com/watch?v=d5OcwIoYuWk
1769,Business Administration,All Business Law Videos,,Time and Place of Performance of Contract | Time as an Essence of Contract | CA Foundation |in Hindi,https://www.youtube.com/watch?v=X8dh-ZyZmU4
1770,Business Administration,All Business Law Videos,,Appropriation of Payment |Sec 59 to 61 of Indian Contract Act | CA Foundation| CS Executive,https://www.youtube.com/watch?v=XiJni3UXoME
1771,Business Administration,All Business Law Videos,,"Contract of Sale of Goods | Essential Elements of Contract of Sale Under Sale of Goods Act,1930",https://www.youtube.com/watch?v=EE9FuVrS0nA
1772,Business Administration,All Business Law Videos,,Communication of Offer & Acceptance | Revocation of Offer & Acceptance |,https://www.youtube.com/watch?v=wK5vrV5DtJg
