Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5965,Business Administration,Corporate Finance Online,2hrs 5min,Class Setup,https://www.youtube.com/watch?v=6oaw9U973s8
5966,Business Administration,Corporate Finance Online,,Session 1: Corporate Finance: What is it?,https://www.youtube.com/watch?v=Tdu0QPfoYZQ
5967,Business Administration,Corporate Finance Online,,Session 2: The Objective in Corporate Finance,https://www.youtube.com/watch?v=RZYuuX6FOBg
5968,Business Administration,Corporate Finance Online,,Session 3: The Objective in Corporate Finance - Reality,https://www.youtube.com/watch?v=5TeThVJFyPU
5969,Business Administration,Corporate Finance Online,,Session 4: Defining and Measuring Risk,https://www.youtube.com/watch?v=qofdyX0vudk
5970,Business Administration,Corporate Finance Online,,Session 5: Estimating Hurdle Rates - The Risk free Rate,https://www.youtube.com/watch?v=584q2f4aTdc
5971,Business Administration,Corporate Finance Online,,Session 6: Estimating Hurdle Rates - Equity Risk Premiums - Historical & Survey,https://www.youtube.com/watch?v=laJkrov4nqk
5972,Business Administration,Corporate Finance Online,,"Session 7: Estimating Hurdle Rates - Implied ERP, Country Risk and Company Risk",https://www.youtube.com/watch?v=CxJ9e61wJyQ
5973,Business Administration,Corporate Finance Online,,Session 8: Estimating Hurdle Rates - Regression Betas,https://www.youtube.com/watch?v=4jKYuSt40N8
5974,Business Administration,Corporate Finance Online,,Session 9: Estimating Hurdle Rates - Betas and Fundamentals,https://www.youtube.com/watch?v=moFnk44scfg
5975,Business Administration,Corporate Finance Online,,Session 10: Estimating Hurdle Rates - Bottom up Betas,https://www.youtube.com/watch?v=rcVCKoJFjhk
5976,Business Administration,Corporate Finance Online,,Session 11: Estimating Hurdle Rates - More on bottom up betas,https://www.youtube.com/watch?v=I2bkISzheQA
5977,Business Administration,Corporate Finance Online,,Session 12: Estimating Hurdle Rates - Debt & its Cost,https://www.youtube.com/watch?v=-OCBUKg_trY
5978,Business Administration,Corporate Finance Online,,Session 13: Estimating Hurdle Rates- Financing Weights & Cost of Capital,https://www.youtube.com/watch?v=G6-W2ICTgPo
5979,Business Administration,Corporate Finance Online,,Session 14: Investment Returns I- Setting the Table,https://www.youtube.com/watch?v=w0WE8jsG-Ig
5980,Business Administration,Corporate Finance Online,,Session 15: Investment Returns II - Getting to Time Weighted Cash Flows,https://www.youtube.com/watch?v=YrHfFS4u5WE
5981,Business Administration,Corporate Finance Online,,Session 16: Investment Returns III - Wrapping up Loose Ends,https://www.youtube.com/watch?v=_3ZqmUNdzys
5982,Business Administration,Corporate Finance Online,,Session 17: Optimal Financing Mix I - The Trade Off,https://www.youtube.com/watch?v=pQYRAt6Z7Gw
5983,Business Administration,Corporate Finance Online,,Session 18: Optimal Financing Mix II- The cost of capital approach,https://www.youtube.com/watch?v=e1JVOluxr-M
5984,Business Administration,Corporate Finance Online,,Session 19: Optimal Financing Mix III - Following up the Cost of Capital Approach,https://www.youtube.com/watch?v=idSng0GyvvM
5985,Business Administration,Corporate Finance Online,,Session 20: Optimal Financing Mix IV - Wrapping up the Cost of Capital Approach,https://www.youtube.com/watch?v=3Pn-Hh_GR94
5986,Business Administration,Corporate Finance Online,,Session 21: Optimal Financing Mix V - Alternate Approaches,https://www.youtube.com/watch?v=kcWtcZHUX6g
5987,Business Administration,Corporate Finance Online,,Session 22: Moving to the Optimal Financing Mix,https://www.youtube.com/watch?v=nbLwsUUboy0
5988,Business Administration,Corporate Finance Online,,Session 23: The Right Type of Financing,https://www.youtube.com/watch?v=03Sx48LW7qQ
5989,Business Administration,Corporate Finance Online,,Session 24: Dividend Policy - Trends & Measures,https://www.youtube.com/watch?v=C2XMM-E48BA
5990,Business Administration,Corporate Finance Online,,Session 25: Divided Policy - The Trade Off,https://www.youtube.com/watch?v=F_6mcUPfoTk
5991,Business Administration,Corporate Finance Online,,Session 26: Dividend Policy - Assessment,https://www.youtube.com/watch?v=DI4JeKjFlEI
5992,Business Administration,Corporate Finance Online,,Session 27: Dividend Policy - Action & Follow Up,https://www.youtube.com/watch?v=VpGrRE6t9U0
5993,Business Administration,Corporate Finance Online,,Session 28: Dividend Policy - The End Game,https://www.youtube.com/watch?v=rTHDKTIt200
5994,Business Administration,Corporate Finance Online,,Session 29: Valuation - First Steps,https://www.youtube.com/watch?v=u76ddYwoNUk
5995,Business Administration,Corporate Finance Online,,Session 30: Valuation - Cash Flows & Discount Rates,https://www.youtube.com/watch?v=BFFhDAYFZM4
5996,Business Administration,Corporate Finance Online,,Session 31: Cash Flows & Growth Rates,https://www.youtube.com/watch?v=56ErOtE8Mts
5997,Business Administration,Corporate Finance Online,,Session 32: Terminal Value,https://www.youtube.com/watch?v=pN5dOi5OmCI
5998,Business Administration,Corporate Finance Online,,Session 33: Valuation Loose Ends,https://www.youtube.com/watch?v=QUr3qHHiDus
5999,Business Administration,Corporate Finance Online,,Session 34: The Value of Control,https://www.youtube.com/watch?v=PKWOBNqgvPg
6000,Business Administration,Corporate Finance Online,,Session 35: Relative Valuation,https://www.youtube.com/watch?v=8N69eLBLTvA
6001,Business Administration,Corporate Finance Online,,Session 36: Closing Thoughts,https://www.youtube.com/watch?v=7mCsz0Eqg6c
