Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
5635,Business Administration,Financial Accounting,37hrs 14min,Accounting Basics For Beginners By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=SUQMUc3Z3vs
5636,Business Administration,Financial Accounting,,Accounting Concepts & Conventions for Beginners By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=9Q6uvow8Cnk
5637,Business Administration,Financial Accounting,,"Accounting Rules -  ""Classification of Accounts"" By Dr.Devika Bhatnagar",https://www.youtube.com/watch?v=MoRuuh4k6A0
5638,Business Administration,Financial Accounting,,"How to prepare ""Journal Entries"" - The Best Explanation  In English",https://www.youtube.com/watch?v=J7ntz3YSzY0
5639,Business Administration,Financial Accounting,,"Posting  ""Ledger Accounts"" from Journal Entries",https://www.youtube.com/watch?v=9r22nu4pFCA
5640,Business Administration,Financial Accounting,,"20 Important  ""Accounting Terms"" - In English",https://www.youtube.com/watch?v=68Bew3SflWc
5641,Business Administration,Financial Accounting,,8 Types of Subsidiary Books - In English,https://www.youtube.com/watch?v=cic-MD6uj8w
5642,Business Administration,Financial Accounting,,Single Column Cash Book Preparation - In English,https://www.youtube.com/watch?v=e5WLw6zpmAc
5643,Business Administration,Financial Accounting,,Triple Column Cash Book in Financial Accounting,https://www.youtube.com/watch?v=0QHLmu_SlMk
5644,Business Administration,Financial Accounting,,Petty Cash Book Preparation in Financial Accouting,https://www.youtube.com/watch?v=7Z3CyaDXxkY
5645,Business Administration,Financial Accounting,,How to Prepare Opening Entries in Financial Accounting,https://www.youtube.com/watch?v=EwLw0T2XzDo
5646,Business Administration,Financial Accounting,,""" Trial Balance"" Preparation in Financial Accounting",https://www.youtube.com/watch?v=ZWLrCvLBjls
5647,Business Administration,Financial Accounting,,BRS Introduction in Financial Accouting,https://www.youtube.com/watch?v=m8ahJ25e4Lk
5648,Business Administration,Financial Accounting,,BRS Practical Problems & Solutions PART - II in Financial Accounting,https://www.youtube.com/watch?v=w-_qFqPMWpw
5649,Business Administration,Financial Accounting,,BRS Overdraft Balance Problems & Solutions,https://www.youtube.com/watch?v=y40HMX7da1g
5650,Business Administration,Financial Accounting,,"""Final Accounts Introduction"" In Financial Accounting",https://www.youtube.com/watch?v=wtNWOuLsUJk
5651,Business Administration,Financial Accounting,,"""Trading Account"" - Introduction & Proforma in Final Accounts",https://www.youtube.com/watch?v=4dG7JXdkQ34
5652,Business Administration,Financial Accounting,,""" Trading Account"" Problems & Solutions By Dr Devika Bhatnagar",https://www.youtube.com/watch?v=Tas_k7ay32g
5653,Business Administration,Financial Accounting,,"Introduction of ""P& L Account"" in Final Accounts By Dr Devika Bhatnagar",https://www.youtube.com/watch?v=U22HMUIByOw
5654,Business Administration,Financial Accounting,,P & L account Problems & Solutions in Financial Accounting By Dr.Devika Bhatnagar,https://www.youtube.com/watch?v=GqKnrlXLdHg
5655,Business Administration,Financial Accounting,,Balance Sheet Introduction - Problems & Solutions,https://www.youtube.com/watch?v=VcsoFdDChdo
5656,Business Administration,Financial Accounting,,"""15 Adjustments "" in Final Accounts By Dr Devika Bhatnagar",https://www.youtube.com/watch?v=LzVZuBIsusU
5657,Business Administration,Financial Accounting,,Final Accounts Problems With Adjustments,https://www.youtube.com/watch?v=8I4F3UE-bbA
5658,Business Administration,Financial Accounting,,"""Bad Debts Adjustment"" in Final Accounts By Dr Devika  Bhatnagar",https://www.youtube.com/watch?v=UhmHcmK0LCI
5659,Business Administration,Financial Accounting,,BRS Practical Problems:PART - I - In Financial Accounting,https://www.youtube.com/watch?v=jCoZRZHVu2Q
