Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1706,Business Administration,Project Management,20hrs 20min,Software Project Management - lecture 1/ project management,https://www.youtube.com/watch?v=hCmf20BUWUg
1707,Business Administration,Project Management,,Evolution of Software Economics - lecture 2/ project management,https://www.youtube.com/watch?v=0wIYEYEGTGM
1708,Business Administration,Project Management,,Generations of Software development - lecture 3/ project management,https://www.youtube.com/watch?v=BbEDJuBImM0
1709,Business Administration,Project Management,,Comparison between three generations of Software Economics - lecture 4 / project management,https://www.youtube.com/watch?v=szr95KYt53o
1710,Business Administration,Project Management,,Basic parameters used to improve Software Economics - lecture 5/ project management,https://www.youtube.com/watch?v=OoqkLMV6PFc
1711,Business Administration,Project Management,,Reducing software product size by type of language - lecture 6/ project management,https://www.youtube.com/watch?v=0nnyI2CjWKo
1712,Business Administration,Project Management,,Reducing software product size by object oriented method - lecture 7/ project management,https://www.youtube.com/watch?v=aZq35kDxWR0
1713,Business Administration,Project Management,,Reducing software product size by reusing components - lecture 8/ project management,https://www.youtube.com/watch?v=Z6SMNovCze8
1714,Business Administration,Project Management,,Reducing software product size by using commercial components - lecture 9/ project management,https://www.youtube.com/watch?v=VMbs6ZgtSYo
1715,Business Administration,Project Management,,Advantages and disadvantages of commercial components versus custom development - lecture 10/project,https://www.youtube.com/watch?v=_kGGwNxe1JM
1716,Business Administration,Project Management,,Improving software economics by improving software processes - lecture 11/ project management,https://www.youtube.com/watch?v=rWku-ITPU3I
1717,Business Administration,Project Management,,Improving software economics by improving team effectiveness - lecture 12/ project management,https://www.youtube.com/watch?v=QAPLUcSiFHQ
1718,Business Administration,Project Management,,Important Project Manager skills - lecture 13/ project management,https://www.youtube.com/watch?v=qAiM9LaOIvA
1719,Business Administration,Project Management,,Improving automation through software environments - lecture 14/ project management,https://www.youtube.com/watch?v=3PeLoaHdm6o
1720,Business Administration,Project Management,,Achieving Required Quality -lecture 15/ project management,https://www.youtube.com/watch?v=zuaPzlg5tQM
1721,Business Administration,Project Management,,Principles of Modern Software Management - lecture 16/ project management,https://www.youtube.com/watch?v=7o9eNXhCzwA
1722,Business Administration,Project Management,,Software Management Process - lecture 17/ project management,https://www.youtube.com/watch?v=p2U0ps6bHvo
1723,Business Administration,Project Management,,Inception phase - lecture 18/ project management,https://www.youtube.com/watch?v=XNAorxW_qCA
1724,Business Administration,Project Management,,Elaboration phase - lecture 19/ project management,https://www.youtube.com/watch?v=9YjxuXEcB24
1725,Business Administration,Project Management,,Construction phase - lecture 20/project management,https://www.youtube.com/watch?v=yIjnZsRWAUM
1726,Business Administration,Project Management,,Transition phase - lecture 21/ project management,https://www.youtube.com/watch?v=ZH-lYk2hgmc
1727,Business Administration,Project Management,,Artifacts of the process - lecture 22/ project management,https://www.youtube.com/watch?v=i-tHThbA-_o
1728,Business Administration,Project Management,,Management Artifacts - lecture 23/ project management,https://www.youtube.com/watch?v=yTw2e5mrbPo
1729,Business Administration,Project Management,,Engineering set artifacts - Requirement Artifacts - lecture 24/ project management,https://www.youtube.com/watch?v=2CUNemGbvjw
1730,Business Administration,Project Management,,Design Artifacts - Engineering Artifacts - lecture 25/project management,https://www.youtube.com/watch?v=GmoDBKkVohA
1731,Business Administration,Project Management,,Implementation Artifacts - Engineering Artifacts - lecture 26/ project management,https://www.youtube.com/watch?v=vAFpwQNQjbM
1732,Business Administration,Project Management,,Deployment Artifacts - Engineering Artifacts - lecture 27/project management,https://www.youtube.com/watch?v=tZxKeOE4qKE
