Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3181,Chemical Engineering,ES301- Energy and Environmental engineering,33hrs 17min,1.1 Introduction to Energy | ES301 |,https://www.youtube.com/watch?v=ZwEOVdjUBws
3182,Chemical Engineering,ES301- Energy and Environmental engineering,,1.2 Sustainability & Environment | ES301 |,https://www.youtube.com/watch?v=rGXM_ZqSX4U
3183,Chemical Engineering,ES301- Energy and Environmental engineering,,1.3 Fossil Fuels | ES301|,https://www.youtube.com/watch?v=7qjBSNduov0
3184,Chemical Engineering,ES301- Energy and Environmental engineering,,1.3.1 Classification of Fossil Fuels | ES301 |,https://www.youtube.com/watch?v=HiKi-FFO5x4
3185,Chemical Engineering,ES301- Energy and Environmental engineering,,1.4 Coal | ES301 |,https://www.youtube.com/watch?v=yFRDnGdNVrU
3186,Chemical Engineering,ES301- Energy and Environmental engineering,,1.5 Oil | ES301 |,https://www.youtube.com/watch?v=1Fpw1y5xV9k
3187,Chemical Engineering,ES301- Energy and Environmental engineering,,1.6 Coal Gasification |  ES301 |,https://www.youtube.com/watch?v=h53ReOpa8iA
3188,Chemical Engineering,ES301- Energy and Environmental engineering,,1.7 Alternatives for Fossil Fuels | ES301 |,https://www.youtube.com/watch?v=hKI0tjrAGtE
3189,Chemical Engineering,ES301- Energy and Environmental engineering,,1.7.1 Principles of Biomass Energy | ES301 |,https://www.youtube.com/watch?v=oAeHEr2Ylw0
3190,Chemical Engineering,ES301- Energy and Environmental engineering,,1.8 Wind Energy | ES301 |,https://www.youtube.com/watch?v=zviT6jTgibg
3191,Chemical Engineering,ES301- Energy and Environmental engineering,,1.9 Solar Energy | ES301 |,https://www.youtube.com/watch?v=2UGR7aKyJAk
3192,Chemical Engineering,ES301- Energy and Environmental engineering,,1.10 Nuclear Energy |  ES301 |,https://www.youtube.com/watch?v=e0yn5QiO1QQ
3193,Chemical Engineering,ES301- Energy and Environmental engineering,,1.11 Tidal Energy | ES301 |,https://www.youtube.com/watch?v=r8DEpPF_Mcg
3194,Chemical Engineering,ES301- Energy and Environmental engineering,,"1.11.1 Advantages, disadvantages & challenges of Tidal energy | ES301 |",https://www.youtube.com/watch?v=CgFWPv5nulc
3195,Chemical Engineering,ES301- Energy and Environmental engineering,,1.12  Hydrogen Energy | ES301 |,https://www.youtube.com/watch?v=TnDU3tkSjWU
3196,Chemical Engineering,ES301- Energy and Environmental engineering,,1.12.1 Advantages limitation & Applications of Hydrogen Energy | ES301 |,https://www.youtube.com/watch?v=dXSOL9CgAyk
3197,Chemical Engineering,ES301- Energy and Environmental engineering,,1.13 Possibilities for Energy Storage & Regeneration | ES301 |,https://www.youtube.com/watch?v=cplQAndKXew
3198,Chemical Engineering,ES301- Energy and Environmental engineering,,1.14 Pumped Storage Hydro Power Projects | ES301 |,https://www.youtube.com/watch?v=mk5HkEPrX4w
3199,Chemical Engineering,ES301- Energy and Environmental engineering,,1.14.1 Important Features of Pumped Storage Hydro Power Projects | ES301 |,https://www.youtube.com/watch?v=VOHP59dhv1A
3200,Chemical Engineering,ES301- Energy and Environmental engineering,,1.15 Superconductor-Based Energy Storages | ES301 |,https://www.youtube.com/watch?v=_L9oZyygJKI
3201,Chemical Engineering,ES301- Energy and Environmental engineering,,1.16 High Efficiency Batteries | ES301 |,https://www.youtube.com/watch?v=F_wWT8ntWfw
3202,Chemical Engineering,ES301- Energy and Environmental engineering,,1.16.1 Charging Advantages & Disadvantages of Li-Ion Battery | ES301 |,https://www.youtube.com/watch?v=f640U0p1tGs
3203,Chemical Engineering,ES301- Energy and Environmental engineering,,2.1 Introduction to Ecosystems | ES301 |,https://www.youtube.com/watch?v=q2Z4F0iJcsw
3204,Chemical Engineering,ES301- Energy and Environmental engineering,,2.2 Concept of an Ecosystem | ES301 |,https://www.youtube.com/watch?v=kfcLCIQQsts
3205,Chemical Engineering,ES301- Energy and Environmental engineering,,2.3 Structure of An Ecosystem | ES301 |,https://www.youtube.com/watch?v=NgfxcASI4dA
3206,Chemical Engineering,ES301- Energy and Environmental engineering,,2.3.1 Biotic Components | ES301 |,https://www.youtube.com/watch?v=d1e10vU5Es4
3207,Chemical Engineering,ES301- Energy and Environmental engineering,,2.4 Functions of ecosystem | ES301 |,https://www.youtube.com/watch?v=-Ui4Nm5YP3U
3208,Chemical Engineering,ES301- Energy and Environmental engineering,,2.5 Energy Flows in the Ecosystem | ES301 |,https://www.youtube.com/watch?v=xiEnw2w-SnQ
