Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
2741,Chemical Engineering,Short video Series on NanoTechnology,7hrs 23min,What is NanoTechnology?,https://www.youtube.com/watch?v=-K7Gs0Nj-5o
2742,Chemical Engineering,Short video Series on NanoTechnology,,Why properties change at the nanoscale? (Surface area to volume ratio),https://www.youtube.com/watch?v=LHmiJcZpB10
2743,Chemical Engineering,Short video Series on NanoTechnology,,Why properties change at the nanoscale? (Surface area to volume ratio),https://www.youtube.com/watch?v=LHmiJcZpB10
2744,Chemical Engineering,Short video Series on NanoTechnology,,Properties change at nano scale Examples,https://www.youtube.com/watch?v=8pvgH_CtF4c
2745,Chemical Engineering,Short video Series on NanoTechnology,,Top down approach and Bottom up approach to produce nanomaterials,https://www.youtube.com/watch?v=bLKsHAtxDrM
2746,Chemical Engineering,Short video Series on NanoTechnology,,Ball Milling Method to produce nanomaterials,https://www.youtube.com/watch?v=6pSkixSwIZY
2747,Chemical Engineering,Short video Series on NanoTechnology,,Physical Vapour Deposition Method (Resistive method and Sputtering method),https://www.youtube.com/watch?v=JR1EMlE15nQ
2748,Chemical Engineering,Short video Series on NanoTechnology,,Sol gel method to produce nanomaterials,https://www.youtube.com/watch?v=3XpuoVVzT1A
2749,Chemical Engineering,Short video Series on NanoTechnology,,Chemical Vapour Deposition Method to produce nanomaterials,https://www.youtube.com/watch?v=a_bR5xQ2xr8
2750,Chemical Engineering,Short video Series on NanoTechnology,,"Prerequisites : Electron Scattering, Tunneling Effect, Electrostatic and Magnetic lens",https://www.youtube.com/watch?v=u7pD1hsTO9s
2751,Chemical Engineering,Short video Series on NanoTechnology,,Scanning Electron Microscope Construction and Working,https://www.youtube.com/watch?v=FVMdog5zzE4
2752,Chemical Engineering,Short video Series on NanoTechnology,,Transmission Electron Microscope (TEM) Construction and Working,https://www.youtube.com/watch?v=oLSiKHMRNu0
2753,Chemical Engineering,Short video Series on NanoTechnology,,Atomic Force Microscope (AFM) Construction and Working,https://www.youtube.com/watch?v=xnOqahYA6NU
2754,Chemical Engineering,Short video Series on NanoTechnology,,Applications of NanoTechnology,https://www.youtube.com/watch?v=JffF6AqWCHE
2755,Chemical Engineering,Short video Series on NanoTechnology,,Nanotechnology Nanofabrication by photolithography,https://www.youtube.com/watch?v=kW_EtKNiSxM
2756,Chemical Engineering,Short video Series on NanoTechnology,,Determination of nanocrystallite size using X ray Diffraction,https://www.youtube.com/watch?v=jhUsoVGAEwk
2757,Chemical Engineering,Short video Series on NanoTechnology,,X ray Photoelectron Spectroscopy,https://www.youtube.com/watch?v=ddxdueINd5s
2758,Chemical Engineering,Short video Series on NanoTechnology,,How Rutherford backscattering is used to identify elemental composition of the material?,https://www.youtube.com/watch?v=CFrHM_D6ALc
