Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
602,Computer Science Engineering,Machine Learning,21hrs 0min,Lec-1: Introduction to Data Science & ML | Roadmap to Learn Data Science & ML,https://www.youtube.com/watch?v=kz184QIO4ZQ
603,Computer Science Engineering,Machine Learning,,Lec-2: Supervised Learning Algorithms | Machine Learning,https://www.youtube.com/watch?v=LKlOH8OLLcw
604,Computer Science Engineering,Machine Learning,,Lec-3: Introduction to Regression with Real Life Examples,https://www.youtube.com/watch?v=cHT-qLnRm0E
605,Computer Science Engineering,Machine Learning,,Lec-4: Linear Regression📈 with Real life examples & Calculations | Easiest Explanation,https://www.youtube.com/watch?v=zUQr6HAAKp4
606,Computer Science Engineering,Machine Learning,,Lec-5: Logistic Regression with Simplest & Easiest Example | Machine Learning,https://www.youtube.com/watch?v=r8OjlgWpAI0
607,Computer Science Engineering,Machine Learning,,Lec-6: Linear Regression Vs. Logistic Regression | Supervised Learning | Machine Learning,https://www.youtube.com/watch?v=BVP1EDKb6_g
608,Computer Science Engineering,Machine Learning,,Lec-7: kNN Classification with Real Life Example | Movie Imdb Example | Supervised Learning,https://www.youtube.com/watch?v=O1nWXTXcCwI
609,Computer Science Engineering,Machine Learning,,Lec-8: Naive Bayes Classification Full Explanation with examples | Supervised Learning,https://www.youtube.com/watch?v=GBMMtXRiQX0
610,Computer Science Engineering,Machine Learning,,Lec-9: Introduction to Decision Tree 🌲 with Real life examples,https://www.youtube.com/watch?v=mvveVcbHynE
611,Computer Science Engineering,Machine Learning,,Lec-10: Decision Tree 🌲 ID3 Algorithm with Example & Calculations 🧮,https://www.youtube.com/watch?v=CWzpomtLqqs
612,Computer Science Engineering,Machine Learning,,Conditional Probability with Easiest Explanation & Example,https://www.youtube.com/watch?v=dQ6RL8qe320
613,Computer Science Engineering,Machine Learning,,Introduction to Ensemble Learning with Real Life Examples | Machine⚙️ Learning,https://www.youtube.com/watch?v=qQjOWmf8I_I
614,Computer Science Engineering,Machine Learning,,K-mean Clustering with Numerical Example | Unsupervised Learning | Machine🖥️ Learning 🙇‍♂️🙇,https://www.youtube.com/watch?v=5FpsGnkbEpM
615,Computer Science Engineering,Machine Learning,,Hierarchical Clustering | Agglomerative vs Divisive with examples,https://www.youtube.com/watch?v=zxQF8Rmpk1M
616,Computer Science Engineering,Machine Learning,,Single Linkage Clustering | Agglomerative Clustering | Hierarchical Clustering,https://www.youtube.com/watch?v=pbTQQCA9Xs0
617,Computer Science Engineering,Machine Learning,,Complete Linkage⛓️ Clustering with Example | Clustering in Unsupervised Learning | ML,https://www.youtube.com/watch?v=Ufzq9oLhzX0
618,Computer Science Engineering,Machine Learning,,K-medoids Clustering with Numerical Example | Machine Learning,https://www.youtube.com/watch?v=FosEwkYIGmU
619,Computer Science Engineering,Machine Learning,,Random Forest 🌳 in Machine Learning 🧑‍💻👩‍💻,https://www.youtube.com/watch?v=DXqxXe3rep0
620,Computer Science Engineering,Machine Learning,,kNN for Classified & Regression with Easiest Explanation | Machine Learning 🤖🙇,https://www.youtube.com/watch?v=zqQ_pi6j2jE
621,Computer Science Engineering,Machine Learning,,"Mean, Median, Mode with Real Life examples | Machine Learning",https://www.youtube.com/watch?v=keLk7odKCsE
622,Computer Science Engineering,Machine Learning,,Standard Deviation & Variance with Examples,https://www.youtube.com/watch?v=D9xfxOzOwrQ
623,Computer Science Engineering,Machine Learning,,Bagging/Bootstrap Aggregating in Machine Learning with examples,https://www.youtube.com/watch?v=Oq27arfMwA0
624,Computer Science Engineering,Machine Learning,,Supervised vs Unsupervised learning with real life example,https://www.youtube.com/watch?v=fM8XdC1EweU
625,Computer Science Engineering,Machine Learning,,"Python code for Mean, Median, Mode, SD, Variance and Range",https://www.youtube.com/watch?v=oYKuCCxlWbk
626,Computer Science Engineering,Machine Learning,,How Weights are Increased in Boosting | Ensemble Learning,https://www.youtube.com/watch?v=nr7gNJ95geI
627,Computer Science Engineering,Machine Learning,,BAGGING vs. BOOSTING vs STACKING in Ensemble Learning | Machine Learning,https://www.youtube.com/watch?v=j9jGLwPa6_E
628,Computer Science Engineering,Machine Learning,,Bayes Theorem & Total Probability with Examples,https://www.youtube.com/watch?v=SktJqrYereQ
629,Computer Science Engineering,Machine Learning,,Cross Validation in Machine Learning with Examples,https://www.youtube.com/watch?v=v6DtYYafrWQ
630,Computer Science Engineering,Machine Learning,,Pearson's Correlation Coefficient | Supervised Learning | Data Science & Machine Learning,https://www.youtube.com/watch?v=9Zzqb82lkcU
631,Computer Science Engineering,Machine Learning,,kNN(k Nearest Neighbour) Numerical Example | Supervised Learning | Machine Learning,https://www.youtube.com/watch?v=mjoAoX--2fg
632,Computer Science Engineering,Machine Learning,,"Decision Tree 🌳 Example | Calculate Entropy, Information ℹ️ Gain | Supervised Learning",https://www.youtube.com/watch?v=DnhVLfjlGXE
633,Computer Science Engineering,Machine Learning,,Single Linkage Clustering Example | Unsupervised Learning | Machine Learning,https://www.youtube.com/watch?v=CcPzgFFE_pY
634,Computer Science Engineering,Machine Learning,,Token & Parameters in LLama3 META Models | 8B & 70B Parameters Model | GPT model,https://www.youtube.com/watch?v=UcFhiOtNHsQ
635,Computer Science Engineering,Machine Learning,,What is Data Preprocessing & Data Cleaning | Various Techniques with Example,https://www.youtube.com/watch?v=tDu_KIlXaB0
636,Computer Science Engineering,Machine Learning,,How to Deal with Missing Values in DataSet | Data Preprocessing & Data Cleaning 🧹 Imputation Methods,https://www.youtube.com/watch?v=KfC7VfDfn8I
637,Computer Science Engineering,Machine Learning,,kNN Imputation with Examples | Data Preprocessing and Data Cleaning 🧹,https://www.youtube.com/watch?v=bRWNJjzrZ-w
638,Computer Science Engineering,Machine Learning,,Fit() & Transform() Method | Data Preprocessing | Machine Learning,https://www.youtube.com/watch?v=f3n-SZzPu7U
639,Computer Science Engineering,Machine Learning,,Feature Extraction in Data preprocessing | Machine Learning,https://www.youtube.com/watch?v=lzWcVVCXMfo
