Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3141,Culinary Arts,Basic Food Safety (English),0hrs 76min,Basic Food Safety: Introduction (English),https://www.youtube.com/watch?v=GgzO5_YQDII
3142,Culinary Arts,Basic Food Safety (English),,"Basic Food Safety: Chapter 1 ""The Importance of Food Safety"" (English)",https://www.youtube.com/watch?v=F-qeFLMkEng
3143,Culinary Arts,Basic Food Safety (English),,"Basic Food Safety: Chapter 2 ""Health and Hygiene"" (English)",https://www.youtube.com/watch?v=1oZl4FmEeHo
3144,Culinary Arts,Basic Food Safety (English),,"Basic Food Safety: Chapter 3 ""Temperature Control"" (English)",https://www.youtube.com/watch?v=JpjfvDMsLmc
3145,Culinary Arts,Basic Food Safety (English),,"Basic Food Safety: Chapter 4 ""Avoiding Cross Contamination"" (English)",https://www.youtube.com/watch?v=yiNTqUU-h6w
3146,Culinary Arts,Basic Food Safety (English),,"Basic Food Safety: Chapter 5 ""Cleaning and Sanitizing"" (English)",https://www.youtube.com/watch?v=RAFMIXPq9BE
3147,Culinary Arts,Basic Food Safety (English),,"Basic Food Safety: Chapter 6 ""The Foodworker's Top 10"" (English)",https://www.youtube.com/watch?v=ZlAquxkRAdw
3148,Culinary Arts,Basic Food Safety (English),,eFoodHandlers presents: Preventing Pests,https://www.youtube.com/watch?v=6_Ohc-82H_o
3149,Culinary Arts,Basic Food Safety (English),,eFoodHandlers presents: How to Use a Thermometer,https://www.youtube.com/watch?v=PWX4Bgwzl-U
3150,Culinary Arts,Basic Food Safety (English),,eFoodHandlers presents: Allergies and Communication,https://www.youtube.com/watch?v=b8iTkafaH6Q
