Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
2927,Culinary Arts,Culinary lessons,0hrs 1248min,Cuisinart Culinary School - Episode 1,https://www.youtube.com/watch?v=ojZIgseX7Xo
2928,Culinary Arts,Culinary lessons,,How To Master 5 Basic Cooking Skills | Gordon Ramsay,https://www.youtube.com/watch?v=ZJy1ajvMU1k
2929,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 1,https://www.youtube.com/watch?v=ojZIgseX7Xo
2930,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 2,https://www.youtube.com/watch?v=t0ZZaRC_F3E
2931,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 3,https://www.youtube.com/watch?v=3cXtULqadGk
2932,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 4,https://www.youtube.com/watch?v=LF7eecZWmNc
2933,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 5,https://www.youtube.com/watch?v=BROARjHEEVQ
2934,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 6,https://www.youtube.com/watch?v=ZDqrMDw6QRY
2935,Culinary Arts,Culinary lessons,,Jamie's Dream School | Jamie Oliver's Knife Skills,https://www.youtube.com/watch?v=5z_d0soK1cI
2936,Culinary Arts,Culinary lessons,,Dicing An Onion | Gordon Ramsay,https://www.youtube.com/watch?v=dCGS067s0zo
2937,Culinary Arts,Culinary lessons,,How To Get Started Cooking With Spices,https://www.youtube.com/watch?v=5rYeWeAYCF0
2938,Culinary Arts,Culinary lessons,,How to Use Spices : Spice Up Your Kitchen,https://www.youtube.com/watch?v=okmYclmtb_o
2939,Culinary Arts,Culinary lessons,,How to Cook With Basic Herbs| P. Allen Smith Cooking Classics,https://www.youtube.com/watch?v=hkxvZ3QAEWU
2940,Culinary Arts,Culinary lessons,,Top 5 Spices To Have In Your Kitchen,https://www.youtube.com/watch?v=nY2JABq-kCs
2941,Culinary Arts,Culinary lessons,,How to make Caramelized Onions,https://www.youtube.com/watch?v=haLd8STXTqM
2942,Culinary Arts,Culinary lessons,,Top 5 Spices To Have In Your Kitchen,https://www.youtube.com/watch?v=nY2JABq-kCs
2943,Culinary Arts,Culinary lessons,,Culinary Classroom Lesson 1: Culinary Terms,https://www.youtube.com/watch?v=kRh6gpBQvWQ
2944,Culinary Arts,Culinary lessons,,How to make an Omelette the French Way - Culinary Basics,https://www.youtube.com/watch?v=2fqahITH4Ho
2945,Culinary Arts,Culinary lessons,,What Is The First Thing Culinary College Students Learn?,https://www.youtube.com/watch?v=JiztjkB0TDk
2946,Culinary Arts,Culinary lessons,,The Chef Test Tells The 7 Skills You Must Have If You Want To Learn To Cook,https://www.youtube.com/watch?v=Nti79Cj527g
2947,Culinary Arts,Culinary lessons,,"Cooking Vocabulary in English - chop, grill, saute, boil, slice...",https://www.youtube.com/watch?v=EOT2NxyWBbg
2948,Culinary Arts,Culinary lessons,,Gordon Gives Tatiana Cooking Lessons - Kitchen Nightmares,https://www.youtube.com/watch?v=Zmtmzj6Klj0
2949,Culinary Arts,Culinary lessons,,Culinary Classroom Lesson 2:  Cooking Essentials,https://www.youtube.com/watch?v=hwkUPk7rML4
2950,Culinary Arts,Culinary lessons,,10 Incredibly Useful Cooking Tips | Gordon Ramsay,https://www.youtube.com/watch?v=wHRXUeVsAQQ
2951,Culinary Arts,Culinary lessons,,Cooking Lessons : How to Cut Scallions,https://www.youtube.com/watch?v=WTVoyHfdt-4
2952,Culinary Arts,Culinary lessons,,Julie & Julia cooking lessons,https://www.youtube.com/watch?v=8SAfA91tjv0
2953,Culinary Arts,Culinary lessons,,French Lesson 227 - COOKING VERBS Part 1 Kitchen Utensils Food Vocabulary French cuisine recipes,https://www.youtube.com/watch?v=8JcdHXYtL6g
2954,Culinary Arts,Culinary lessons,,Day 232 | Vietnamese Cooking Lessons | Hoi An,https://www.youtube.com/watch?v=jN7iUrR9qjU
2955,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 2,https://www.youtube.com/watch?v=t0ZZaRC_F3E
2956,Culinary Arts,Culinary lessons,,15 Cooking Tricks Chefs Reveal Only at Culinary Schools,https://www.youtube.com/watch?v=NCZaq9pSBxQ
2957,Culinary Arts,Culinary lessons,,How To Master 5 Basic Cooking Skills | Gordon Ramsay,https://www.youtube.com/watch?v=ZJy1ajvMU1k
2958,Culinary Arts,Culinary lessons,,Basic Knife Skills – Bruno Albouze,https://www.youtube.com/watch?v=8VBnaFhOEn8
2959,Culinary Arts,Culinary lessons,,How To Cut Onions Like A Pro | Different Ways To Chop An Onion | Basic Cooking,https://www.youtube.com/watch?v=mVXvoQOMS2E
2960,Culinary Arts,Culinary lessons,,Cuisinart Culinary School - Episode 3,https://www.youtube.com/watch?v=3cXtULqadGk
2961,Culinary Arts,Culinary lessons,,The Chef Test Tells The 7 Skills You Must Have If You Want To Learn To Cook,https://www.youtube.com/watch?v=Nti79Cj527g
2962,Culinary Arts,Culinary lessons,,Methods of Cooking: How to Choose?,https://www.youtube.com/watch?v=mBT5O3OXXkY
