Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9052,Education,Become an Instructional Designer,97hrs 10min,How to Become an Instructional Designer in 2024,https://www.youtube.com/watch?v=eaLCPR-_M5U
9053,Education,Become an Instructional Designer,,Is Instructional Design Right for You?,https://www.youtube.com/watch?v=xQfvnc0bzm0
9054,Education,Become an Instructional Designer,,The ADDIE Model of Instructional Design,https://www.youtube.com/watch?v=JB6aDdq3HTI
9055,Education,Become an Instructional Designer,,Gagne's Nine Events of Instruction,https://www.youtube.com/watch?v=-31fCUQ2htU
9056,Education,Become an Instructional Designer,,The Kirkpatrick Model of Training Evaluation,https://www.youtube.com/watch?v=7ThFfgocqrc
9057,Education,Become an Instructional Designer,,Action Mapping for Instructional Designers,https://www.youtube.com/watch?v=b12Xe_Fg-yk
9058,Education,Become an Instructional Designer,,How to Write Learning Objectives with Blooms Taxonomy,https://www.youtube.com/watch?v=QXGOjzcQdhQ
9059,Education,Become an Instructional Designer,,Mayer's Principles of Multimedia Learning,https://www.youtube.com/watch?v=d9WpfWriY7A
9060,Education,Become an Instructional Designer,,How to Learn Articulate Storyline 360,https://www.youtube.com/watch?v=KkKBrQ6H5Ek
9061,Education,Become an Instructional Designer,,How to Create an Instructional Design Portfolio,https://www.youtube.com/watch?v=p-tBgyt3mBg
9062,Education,Become an Instructional Designer,,How to Use LinkedIn Effectively to Land Paid Work,https://www.youtube.com/watch?v=Usl8yQ7FEs8
9063,Education,Become an Instructional Designer,,How to Network Effectively Online (Low-stress Networking),https://www.youtube.com/watch?v=fC29ier_-BI
9064,Education,Become an Instructional Designer,,How to Create an Instructional Design Resume,https://www.youtube.com/watch?v=o18MOHHdmxw
9065,Education,Become an Instructional Designer,,Instructional Design Interview Tips,https://www.youtube.com/watch?v=mGU20-AnViA
9066,Education,Become an Instructional Designer,,Does your eLearning Project Need Narration?,https://www.youtube.com/watch?v=Fm3QLFDlUtw
9067,Education,Become an Instructional Designer,,Visual Design Principles for eLearning,https://www.youtube.com/watch?v=Tj5WzZW8KJM
9068,Education,Become an Instructional Designer,,Adobe Illustrator Basics for eLearning,https://www.youtube.com/watch?v=PufU9hx0WLw
9069,Education,Become an Instructional Designer,,How to Find Instructional Design Jobs,https://www.youtube.com/watch?v=Gaay6oD8kZQ
9070,Education,Become an Instructional Designer,,Best eLearning Books for Instructional Designers,https://www.youtube.com/watch?v=AP3_UHEBBbw
9071,Education,Become an Instructional Designer,,Top eLearning Tips for Instructional Designers,https://www.youtube.com/watch?v=UYu1Ro0EMOw
9072,Education,Become an Instructional Designer,,How to Work with Subject Matter Experts (SMEs),https://www.youtube.com/watch?v=KBFQjfxhaZ4
9073,Education,Become an Instructional Designer,,What are Instructional Design Hiring Managers Looking for?,https://www.youtube.com/watch?v=xVow8WQMzt0
9074,Education,Become an Instructional Designer,,How to Get an Instructional Design Job With No Experience,https://www.youtube.com/watch?v=z9T_DExI8ow
9075,Education,Become an Instructional Designer,,How to Use a Learning Management System (LMS),https://www.youtube.com/watch?v=Gp7R-8zHE_A
9076,Education,Become an Instructional Designer,,Instructional Design Mock Interview with Cara North and Aleks Drobik,https://www.youtube.com/watch?v=SL3y5sUA3LQ
9077,Education,Become an Instructional Designer,,Do You Need an Instructional Design Degree or Certificate?,https://www.youtube.com/watch?v=WvqmQo1Pomk
9078,Education,Become an Instructional Designer,,5 Types of Analysis for Instructional Design,https://www.youtube.com/watch?v=2qwVTiEbL3I
9079,Education,Become an Instructional Designer,,How to Land your Dream Instructional Design Job,https://www.youtube.com/watch?v=LSM21-6RuJc
9080,Education,Become an Instructional Designer,,Prioritizing your Instructional Design Skill-Building with Sara Stevick,https://www.youtube.com/watch?v=DywjLHy7h3I
9081,Education,Become an Instructional Designer,,Instructional Design Mock Interview with Alyssa Clark and Min Tang,https://www.youtube.com/watch?v=E8HJLUneAsM
9082,Education,Become an Instructional Designer,,How to Create a Storyboard for eLearning (Instructional Design),https://www.youtube.com/watch?v=B90v9HHyURs
9083,Education,Become an Instructional Designer,,How Much Do Instructional Designers Make?  Instructional Design Salary Explored,https://www.youtube.com/watch?v=5HqwEo6m4EM
9084,Education,Become an Instructional Designer,,How to Choose an Instructional Design Academy or Bootcamp,https://www.youtube.com/watch?v=QSmN0um1L0o
9085,Education,Become an Instructional Designer,,The ARCS Model of Motivation by John Keller,https://www.youtube.com/watch?v=jQnWcWorJjg
9086,Education,Become an Instructional Designer,,SAM - The Successive Approximation Model of Instructional Design,https://www.youtube.com/watch?v=zMq_cysOqbY
9087,Education,Become an Instructional Designer,,How to Create an Instructional Design Document,https://www.youtube.com/watch?v=7QyS4nvckMc
9088,Education,Become an Instructional Designer,,What is Instructional Design?,https://www.youtube.com/watch?v=5n-ea5gIEMk
9089,Education,Become an Instructional Designer,,How to Become an Instructional Designer (Abbreviated Approach),https://www.youtube.com/watch?v=XwpZFknaoEE
9090,Education,Become an Instructional Designer,,How to Become an Instructional Designer (ON A BUDGET),https://www.youtube.com/watch?v=ZLo7vRu6JrM
9091,Education,Become an Instructional Designer,,How to Transition from Teaching into Instructional Design,https://www.youtube.com/watch?v=5eJ_HOzZsR0
9092,Education,Become an Instructional Designer,,How to be Successful at Your First Instructional Design Job,https://www.youtube.com/watch?v=yVBMMfnEnCs
