Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9125,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),50hrs 2min,Educational Technology and ICT | Syllabus disscusion | B.Ed 2nd Semester 2023 | Vbspu & msdsu,https://www.youtube.com/watch?v=6HiodQ4zID4
9126,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 01 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=QG3xODIq5Qk
9127,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 02 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=Mpz2rPhJ4Wc
9128,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 03 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=uMSfyiz8C1M
9129,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 04 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=qQnygKIUJQ0
9130,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 05 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=99t2f6qXvvE
9131,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 06 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=dW_q4ln0FZQ
9132,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 07 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=3jfvydKO6Qw
9133,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 08 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=FYJmNXz5kqM
9134,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 09 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=A03wHpjZHpc
9135,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Class - 10 | B.Ed 2nd Sem 2023 | Vbspu & msdsu | The Perfect study,https://www.youtube.com/watch?v=VxaQ6LsNGuA
9136,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Micro Teaching | B.Ed 2nd Semester Class | Msdsu & Vbspu | The Perfect Study,https://www.youtube.com/watch?v=bXHvwivF9GU
9137,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Teaching Skills | B.Ed 2nd Semester Class | Msdsu & Vbspu | The Perfect Study,https://www.youtube.com/watch?v=RLRqQZ7WL4k
9138,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,EDUCATIONAL TECHNOLOGY & ICT | Important Question | B.Ed 2nd Semester | Vbspu | The Perfect Study,https://www.youtube.com/watch?v=AO1GjTGyw6k
9139,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Important Question | B.Ed 2nd Sem 2023 | msdsu | The Perfect study,https://www.youtube.com/watch?v=5JbEVMhYvq8
9140,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Syllabus | B.Ed 2nd Semester | Vbspu | The Perfect Study,https://www.youtube.com/watch?v=5l06x5PXhDo
9141,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Topic : शैक्षिक तकनीकी | B.Ed 2nd Semester |Vbspu|The Perfect Study,https://www.youtube.com/watch?v=cmycpzZT3AM
9142,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : अभिक्रमित अधिगम | B.Ed 2nd Semester |Vbspu|The Perfect Study,https://www.youtube.com/watch?v=CxIitsKnkWs
9143,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Micro Teaching ( सूक्ष्म शिक्षण ) | B.Ed and Other Teacher Exam | The Perfect Study,https://www.youtube.com/watch?v=B2jxtpIH8AM
9144,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Simulation Teaching ( अनुरूपित शिक्षण ) | B.Ed and Other Teacher Exam | The Perfect Study,https://www.youtube.com/watch?v=muA7rfkGTy8
9145,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology and ICT | Topic : शिक्षण | B.Ed 2nd Semester |Vbspu | The Perfect Study,https://www.youtube.com/watch?v=hl1pTj6Jzbg
9146,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,"Topic : Thinking, Thinking Skill | Educational Technology & ICT | B.Ed 2nd Sem. | The Perfect Study",https://www.youtube.com/watch?v=kgUlyDjFwW8
9147,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,"Topic : शैक्षिक उद्देश्यों का निर्धारण, Bloom's Taxonomy | B.Ed 2nd Semester | The Perfect Study",https://www.youtube.com/watch?v=G8BFR3bdvNA
9148,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : Level of Teaching |B.Ed 2nd Semester |Vbspu|The Perfect Study,https://www.youtube.com/watch?v=zfjcDU8qURI
9149,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : Stage of Teaching |B.Ed 2nd Semester |Vbspu|The Perfect Study,https://www.youtube.com/watch?v=Wt3T3XqU3Io
9150,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : बहुइन्द्रिय अनुदेशन | B.Ed 2nd Semester | The Perfect Study,https://www.youtube.com/watch?v=-x0I_EugOZU
9151,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : TEACHING STRATEGIES | B.Ed 2nd Semester | The Perfect Study,https://www.youtube.com/watch?v=RDQfE257aAI
9152,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,"Educational Technology & ICT | Topic : PIS , System Approach, Language Laboratory  | B.Ed 2nd Sem.",https://www.youtube.com/watch?v=csZOhjEtB8M
9153,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : शिक्षण के प्रतिमान | B.Ed 2nd Sem. | The Perfect Study,https://www.youtube.com/watch?v=20LmCGarQy8
9154,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,Educational Technology & ICT | Topic : शिक्षण के प्रतिमान | B.Ed 2nd Sem. | The Perfect Study,https://www.youtube.com/watch?v=pySjs0pDjX4
9155,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,"Topic: शिक्षण में सहायक सामग्री, दृश्य - श्रव्य सहायक सामग्री (Audio-visual Aids) |The Perfect Study",https://www.youtube.com/watch?v=Owxvb69k2a8
9156,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,पाठ योजना & इकाई योजना | Lesson Plan and Unit Plan | B.Ed 2nd Semester | Vbspu | The Perfect Study,https://www.youtube.com/watch?v=ZjARxDOmKPU
9157,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,पाठ योजना ( Lesson Plan ) | हरबार्ट उपागम | B.Ed 2nd Semester | Vbspu | The Perfect Study,https://www.youtube.com/watch?v=sI3SyHgyVv8
9158,Education,EDUCATIONAL TECHNOLOGY & ICT (B.Ed 2nd Semester),,शिक्षण विधियाँ (Teaching Method) Part-1 | B.Ed 2nd Semester | Vbspu | The Perfect Study,https://www.youtube.com/watch?v=bvmBBiDrt5k
