Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
13106,Education,Financial Literacy,16hrs 5min,Introduction to Financial Literacy - Money Management for Teens!,https://www.youtube.com/watch?v=2Aosql_3vBY
13107,Education,Financial Literacy,,Interest - Financial Literacy for Teens!,https://www.youtube.com/watch?v=BkwliVwClBE
13108,Education,Financial Literacy,,Forms of Financial Exchange - Financial Literacy for Teens!,https://www.youtube.com/watch?v=7looujGJSZk
13109,Education,Financial Literacy,,Introduction to Money Basics - Financial Literacy for Teens!,https://www.youtube.com/watch?v=GwAIu-RA_WA
13110,Education,Financial Literacy,,What is Money? - Financial Literacy for Teens!,https://www.youtube.com/watch?v=0gnlIMlznko
13111,Education,Financial Literacy,,Financial Institutions - Financial Literacy for Teens!,https://www.youtube.com/watch?v=Hh-beQj1OK4
13112,Education,Financial Literacy,,The 50-30-20 Rule - Finance for Teens!,https://www.youtube.com/watch?v=OZQQMYfaBT4
13113,Education,Financial Literacy,,Introduction to Budgeting - Finance for Teens!,https://www.youtube.com/watch?v=3HTa9FKSurs
13114,Education,Financial Literacy,,Financial Statements - Finance for Teens!,https://www.youtube.com/watch?v=85FfwBxIjRk
13115,Education,Financial Literacy,,Fixed and Variable Expenses - Finance for Teens!,https://www.youtube.com/watch?v=3_Q5g1kLOzY
13116,Education,Financial Literacy,,Envelope Budgeting - Finance for Teens!,https://www.youtube.com/watch?v=WoiNmSK6aWo
13117,Education,Financial Literacy,,Envelope Budgeting With Spreadsheets - Finance for Teens!,https://www.youtube.com/watch?v=ilmeVoil8FY
13118,Education,Financial Literacy,,Parts of a Spreadsheet - Finance for Teens!,https://www.youtube.com/watch?v=1m-3lPqCNiQ
13119,Education,Financial Literacy,,Formulas and Functions - Finance for Teens!,https://www.youtube.com/watch?v=0dSIYKN9BMo
13120,Education,Financial Literacy,,Useful Functions - Finance for Teens!,https://www.youtube.com/watch?v=S3S3JYci9cs
13121,Education,Financial Literacy,,Budgeting Apps - Finance for Teens!,https://www.youtube.com/watch?v=15UH1IuIdOY
13122,Education,Financial Literacy,,Active Streams of Income - Finance for Teens!,https://www.youtube.com/watch?v=czZhoRCasRk
13123,Education,Financial Literacy,,Passive Streams of Income - Finance for Teens!,https://www.youtube.com/watch?v=8Kn80ix5Cz4
13124,Education,Financial Literacy,,Forms of Compensation - Finance for Teens!,https://www.youtube.com/watch?v=NcX57ZjrRDA
13125,Education,Financial Literacy,,Types of Employment - Finance for Teens!,https://www.youtube.com/watch?v=yxtJgGDxVWc
13126,Education,Financial Literacy,,Employee Benefits - Finance for Teens!,https://www.youtube.com/watch?v=W6Jx4hZmgOk
13127,Education,Financial Literacy,,Total Compensation - Finance for Teens!,https://www.youtube.com/watch?v=9oeaH0hHgsU
13128,Education,Financial Literacy,,Introduction to Earning Money - Finance for Teens!,https://www.youtube.com/watch?v=A1wbl8FuVKQ
