Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
9817,Education,Learning Theories,33hrs 19min,Pavlov Theory of Classical Conditioning | B.Ed. | M.Ed. | UGC NET | Inculcate Learning | By Ravina,https://www.youtube.com/watch?v=mMoErEtc0CA
9818,Education,Learning Theories,,Skinner Theory of Operant Conditioning | Learning Theories | B.Ed. | M.Ed. | UGC NET | By Ravina,https://www.youtube.com/watch?v=YkDDuk0ReUY
9819,Education,Learning Theories,,Thorndike Trial and Error Theory | Theory of Learning | Laws of Learning | Inculcate Learning,https://www.youtube.com/watch?v=C_cwFmu2KPU
9820,Education,Learning Theories,,Kurt Lewin Field Theory | UGC NET Education | All Teaching Exams | In Detail | Inculcate Learning,https://www.youtube.com/watch?v=yO6i7kRUTOU
9821,Education,Learning Theories,,Insight Learning Theory by Kohler | B.Ed. | M.Ed. | UGC NET Education | Inculcate Learning | Ravina,https://www.youtube.com/watch?v=faWZ_Gr2kWA
9822,Education,Learning Theories,,Kolb Experiential Learning Theory | Learning Theories | In Detail | Inculcate Learning | Ravina,https://www.youtube.com/watch?v=1d3KfjY6gpw
9823,Education,Learning Theories,,Robert M. Gagne Learning Theory | B.Ed. | M.Ed. | UGC NET | Inculcate Learning | By Ravina,https://www.youtube.com/watch?v=-3z1lDHFhZQ
9824,Education,Learning Theories,,Social Learning Theory- Albert Bandura | UGC NET Education | All Teaching Exams| Inculcate Learning,https://www.youtube.com/watch?v=IE8NK9EdolI
9825,Education,Learning Theories,,Tolman's Sign Learning Theory | UGC NET Education | All Teaching Exams | Detail | Inculcate Learning,https://www.youtube.com/watch?v=y9NHfu0SSG0
9826,Education,Learning Theories,,Ausubel's Meaningful Verbal Learning/Subsumption Theory | TETs/B.Ed./M.Ed./UGC NET Education| Ravina,https://www.youtube.com/watch?v=P9MhZ8V8h5E
9827,Education,Learning Theories,,Hull's Reinforcement Theory & Drive Reduction Model | Theory of Learning & Motivation Model | Ravina,https://www.youtube.com/watch?v=xru40QfQ9Nk
