Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
13228,Education,Unit-10 Inclusive Education (UGC NET Education),26hrs 0min,Philosophy of Inclusive Education | B.Ed. | M.Ed.| Creating an Inclusive School | Inculcate Learning,https://www.youtube.com/watch?v=f2yYh0JxRak
13229,Education,Unit-10 Inclusive Education (UGC NET Education),,Marginalization vs Inclusive Education | B.Ed. | M.Ed. | UGC NET Education | Inculcate Learning |,https://www.youtube.com/watch?v=bZ9M6o0oJm4
13230,Education,Unit-10 Inclusive Education (UGC NET Education),,Advantages/Benefits of Inclusive Education | B.Ed. | M.Ed. | UGC NET Education | Inculcate Learning,https://www.youtube.com/watch?v=psaJhhPt9GQ
13231,Education,Unit-10 Inclusive Education (UGC NET Education),,Creating an Inclusive School | B.Ed. | M.Ed. | Complete Syllabus | PPT Notes | Inculcate Learning,https://www.youtube.com/watch?v=mitwnMBxHXs
13232,Education,Unit-10 Inclusive Education (UGC NET Education),,Rehabilitation Council of India (RCI) | M.Ed. | UGC NET Paper-1 | Inculcate Learning | By Ravina,https://www.youtube.com/watch?v=l560lh1Ips0
13233,Education,Unit-10 Inclusive Education (UGC NET Education),,"PWD Act, 1995 | B.Ed |  M.Ed. | UGC NET Paper-1 | Inculcate Learning | By Ravina",https://www.youtube.com/watch?v=QCekueq9hMI
13234,Education,Unit-10 Inclusive Education (UGC NET Education),,"National Policy for Persons with Disabilities, 2006 | B.Ed. | M.Ed. | UGC NET | Inculcate Learning",https://www.youtube.com/watch?v=U6oXulOjKZg
13235,Education,Unit-10 Inclusive Education (UGC NET Education),,"Class-31a RPwD Act, 2016 By Ravina KVS Pedagogy - PRT/TGT/PGT  @InculcateLearning",https://www.youtube.com/watch?v=bgq4VIy2K-o
13236,Education,Unit-10 Inclusive Education (UGC NET Education),,"ICF Model, 2001 | Short & Crisp | NTA UGC NET/SET | Inculcate Learning | By Ravina",https://www.youtube.com/watch?v=uqf1BOReK04
13237,Education,Unit-10 Inclusive Education (UGC NET Education),,UNCRPD | UN Convention on Rights of PWD | Short & Crisp |NTA UC NET/SET | Inculcate Learning |Ravina,https://www.youtube.com/watch?v=wE3YDvAmNSc
13238,Education,Unit-10 Inclusive Education (UGC NET Education),,Autism Spectrum Disorder (ASD) | Concept/Causes/Types/Levels/Assessment of Autism |UGC NET Education,https://www.youtube.com/watch?v=wi4KsKkgaVw
