Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
3127,Electrical Engineering,Network Theory,23hrs 15min,Introduction to Network Theory,https://www.youtube.com/watch?v=NEhH6C7Fzw4
3128,Electrical Engineering,Network Theory,,Electric Charge,https://www.youtube.com/watch?v=5NiB6LXFl3Y
3129,Electrical Engineering,Network Theory,,Law of Conservation of Charge,https://www.youtube.com/watch?v=Mby06CynpQs
3130,Electrical Engineering,Network Theory,,Electric Current,https://www.youtube.com/watch?v=h8I_LdaK9v8
3131,Electrical Engineering,Network Theory,,Conventional Current vs. Electron Current,https://www.youtube.com/watch?v=hL95d-erkDw
3132,Electrical Engineering,Network Theory,,Is Current a Scalar or a Vector Quantity?,https://www.youtube.com/watch?v=g7DKec-IzoQ
3133,Electrical Engineering,Network Theory,,Electric Potential Difference (Voltage),https://www.youtube.com/watch?v=7ZqOCNOyOUg
3134,Electrical Engineering,Network Theory,,Electric Power,https://www.youtube.com/watch?v=S7PZAXEsDcY
3135,Electrical Engineering,Network Theory,,Electric Power (Solved Problem),https://www.youtube.com/watch?v=KWWiaLurzVM
3136,Electrical Engineering,Network Theory,,Circuit Elements (Resistor),https://www.youtube.com/watch?v=4lUmiTN-470
3137,Electrical Engineering,Network Theory,,Ohm's Law,https://www.youtube.com/watch?v=jiYb-qSWgYY
3138,Electrical Engineering,Network Theory,,The Concept of Short Circuit,https://www.youtube.com/watch?v=f5nhx6bWXN8
3139,Electrical Engineering,Network Theory,,The Concept of Open Circuit,https://www.youtube.com/watch?v=rP2LK5srl9s
3140,Electrical Engineering,Network Theory,,Circuit Elements (Inductor),https://www.youtube.com/watch?v=1eJTz4RmMHc
3141,Electrical Engineering,Network Theory,,Linear and Non-Linear Inductors,https://www.youtube.com/watch?v=e26A3-V19Nw
3142,Electrical Engineering,Network Theory,,Energy Stored in an Inductor,https://www.youtube.com/watch?v=_91Zv3CZ4qc
3143,Electrical Engineering,Network Theory,,Inductor (Important Points),https://www.youtube.com/watch?v=OfsAu7HAla8
3144,Electrical Engineering,Network Theory,,Circuit Elements (Capacitor),https://www.youtube.com/watch?v=mGJ7o3aQ4do
3145,Electrical Engineering,Network Theory,,Energy Stored in a Capacitor,https://www.youtube.com/watch?v=EysqPTxInvo
3146,Electrical Engineering,Network Theory,,Capacitor (Important Points),https://www.youtube.com/watch?v=dIqfUO000hc
3147,Electrical Engineering,Network Theory,,Dependent and Independent Sources,https://www.youtube.com/watch?v=u0TexU5_uwU
3148,Electrical Engineering,Network Theory,,Ideal and Practical Voltage Sources,https://www.youtube.com/watch?v=qjf9L-fmNWg
3149,Electrical Engineering,Network Theory,,Ideal and Practical Current Sources,https://www.youtube.com/watch?v=NI-ZnmFa3JA
3150,Electrical Engineering,Network Theory,,Voltage Source (Tips & Tricks),https://www.youtube.com/watch?v=YpAJxKs-EVc
3151,Electrical Engineering,Network Theory,,Current Source (Tips & Tricks),https://www.youtube.com/watch?v=AeLUVrkof_I
3152,Electrical Engineering,Network Theory,,Current & Voltage Source (Important Points),https://www.youtube.com/watch?v=OHFn8ZFB_Bs
3153,Electrical Engineering,Network Theory,,"Node, Path, Loop and Branch",https://www.youtube.com/watch?v=JpNQ-9_VEKA
3154,Electrical Engineering,Network Theory,,Kirchhoff's Current Law (KCL),https://www.youtube.com/watch?v=fPyZH1Hg4mU
