Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
8070,Entrepreneurship,Business Development: From Start to Scale,14hrs 13min,Business Development: From Start to Scale _ Introduction,https://www.youtube.com/watch?v=5RMqxtMwejM
8071,Entrepreneurship,Business Development: From Start to Scale,,Strategy Formulation,https://www.youtube.com/watch?v=IH8Ao6TKEqM
8072,Entrepreneurship,Business Development: From Start to Scale,,Successful Business,https://www.youtube.com/watch?v=Il9E4oHnuf8
8073,Entrepreneurship,Business Development: From Start to Scale,,Industry and Market,https://www.youtube.com/watch?v=KwJp4i8y_LY
8074,Entrepreneurship,Business Development: From Start to Scale,,Case Study of Business Development Excellence,https://www.youtube.com/watch?v=EqepKbip_R8
8075,Entrepreneurship,Business Development: From Start to Scale,,"Vision, Mission and Strategy",https://www.youtube.com/watch?v=_9LcCorweXM
8076,Entrepreneurship,Business Development: From Start to Scale,,Goals,https://www.youtube.com/watch?v=rxlj4CEhOqE
8077,Entrepreneurship,Business Development: From Start to Scale,,Industry and Business,https://www.youtube.com/watch?v=qT6dmMHUf_c
8078,Entrepreneurship,Business Development: From Start to Scale,,Porter's Five Forces Theory,https://www.youtube.com/watch?v=LmSS3S2VNbY
8079,Entrepreneurship,Business Development: From Start to Scale,,Industrial Transformations,https://www.youtube.com/watch?v=CjAFOxbjXxM
8080,Entrepreneurship,Business Development: From Start to Scale,,Competitive Strategies,https://www.youtube.com/watch?v=y6qo9SN2zuE
8081,Entrepreneurship,Business Development: From Start to Scale,,Company Analysis,https://www.youtube.com/watch?v=NBWG3QUF1h8
8082,Entrepreneurship,Business Development: From Start to Scale,,Demand Forecasting,https://www.youtube.com/watch?v=Sn-XUSxIJ1s
8083,Entrepreneurship,Business Development: From Start to Scale,,Competitor Analysis,https://www.youtube.com/watch?v=TdxRpQvcYhg
8084,Entrepreneurship,Business Development: From Start to Scale,,"Industry, Market and Business",https://www.youtube.com/watch?v=k_noVyd6O5I
8085,Entrepreneurship,Business Development: From Start to Scale,,Market Structures,https://www.youtube.com/watch?v=BXbvL0pJnIU
8086,Entrepreneurship,Business Development: From Start to Scale,,Industry and Market Analysis,https://www.youtube.com/watch?v=GeOUrmk3e5c
8087,Entrepreneurship,Business Development: From Start to Scale,,Market Research and Design Thinking,https://www.youtube.com/watch?v=HftooiuTZ4Y
8088,Entrepreneurship,Business Development: From Start to Scale,,Customer Typologies,https://www.youtube.com/watch?v=sd6c6O_8xX8
8089,Entrepreneurship,Business Development: From Start to Scale,,Customer Relationship Management,https://www.youtube.com/watch?v=-Arj98bABLU
8090,Entrepreneurship,Business Development: From Start to Scale,,Customer Bonding,https://www.youtube.com/watch?v=RIzTZ5bpTQQ
8091,Entrepreneurship,Business Development: From Start to Scale,,Customer Characteristics,https://www.youtube.com/watch?v=eN25Vht0C4U
8092,Entrepreneurship,Business Development: From Start to Scale,,Market and Market Descriptors,https://www.youtube.com/watch?v=eYU4oINqJ9Y
8093,Entrepreneurship,Business Development: From Start to Scale,,Segmentation Deep Dive,https://www.youtube.com/watch?v=nxSnuAEM8Rs
8094,Entrepreneurship,Business Development: From Start to Scale,,Market Attractivenesss and competitive positioning,https://www.youtube.com/watch?v=VaBZZ8dY_YE
8095,Entrepreneurship,Business Development: From Start to Scale,,Market and Product Segmentation,https://www.youtube.com/watch?v=Zs4EjNidbos
8096,Entrepreneurship,Business Development: From Start to Scale,,Product-Market Segmentation,https://www.youtube.com/watch?v=CDs4dwzs2DE
8097,Entrepreneurship,Business Development: From Start to Scale,,Branding,https://www.youtube.com/watch?v=gFuvWVI3UaU
8098,Entrepreneurship,Business Development: From Start to Scale,,Brand Organization,https://www.youtube.com/watch?v=rqXsrgknOEs
8099,Entrepreneurship,Business Development: From Start to Scale,,Advertising and Communication,https://www.youtube.com/watch?v=DE1cspDXJpk
8100,Entrepreneurship,Business Development: From Start to Scale,,Servitization,https://www.youtube.com/watch?v=UDDYE754PNA
8101,Entrepreneurship,Business Development: From Start to Scale,,Pricing,https://www.youtube.com/watch?v=TB8dSPkSGNE
8102,Entrepreneurship,Business Development: From Start to Scale,,Understanding Business Development,https://www.youtube.com/watch?v=xnHDY75ALSs
8103,Entrepreneurship,Business Development: From Start to Scale,,Marketing and Business Development,https://www.youtube.com/watch?v=E0mAnAWgwtU
8104,Entrepreneurship,Business Development: From Start to Scale,,Markets and Marketing,https://www.youtube.com/watch?v=HKGh0UxdSnk
8105,Entrepreneurship,Business Development: From Start to Scale,,Business Development Cases,https://www.youtube.com/watch?v=Scuild85xAU
8106,Entrepreneurship,Business Development: From Start to Scale,,A New IT Start-up,https://www.youtube.com/watch?v=D8-iWLSe5m8
8107,Entrepreneurship,Business Development: From Start to Scale,,An FMCG Start-up,https://www.youtube.com/watch?v=adM3MHzeY8Q
8108,Entrepreneurship,Business Development: From Start to Scale,,A logistics start-up,https://www.youtube.com/watch?v=ZAiPksH1pn4
8109,Entrepreneurship,Business Development: From Start to Scale,,A Nutraceuticals Start-up,https://www.youtube.com/watch?v=3tbapgSTidc
8110,Entrepreneurship,Business Development: From Start to Scale,,A Telecom Fightback,https://www.youtube.com/watch?v=FZNRbNJjThM
8111,Entrepreneurship,Business Development: From Start to Scale,,Case Study of Business Development Excellence,https://www.youtube.com/watch?v=OxwFn2ugBdE
8112,Entrepreneurship,Business Development: From Start to Scale,,Company Analysis,https://www.youtube.com/watch?v=hISTEWW5mk8
8113,Entrepreneurship,Business Development: From Start to Scale,,Competitor Analysis,https://www.youtube.com/watch?v=GvxhR9C0W70
8114,Entrepreneurship,Business Development: From Start to Scale,,Customer Characteristics,https://www.youtube.com/watch?v=uM92rp3Lt7E
8115,Entrepreneurship,Business Development: From Start to Scale,,Collaborations,https://www.youtube.com/watch?v=ntqKTWEAWiQ
8116,Entrepreneurship,Business Development: From Start to Scale,,Strategic Alliances,https://www.youtube.com/watch?v=FglM6xv7fR8
